1,向後 龍一,向後 龍一.1,2,岡崎 恭裕,岡崎 恭裕.1,3,菊地 敬介,菊地 敬介.1,4,石田 章央,石田 章央.1,5,奥田 誠,奥田 誠.1,6,三好 勇人,三好 勇人.1
2.0,3.0,11.7,1.0,3.0,31.6,1.0,2.0,263.2,1.0,2.0,36.2,1.0,2.0,558.9,1.0,2.0,253.2
2.0,4.0,4.6,1.0,4.0,11.0,1.0,4.0,320.1,1.0,3.0,181.0,1.0,3.0,1226.0,1.0,3.0,1092.0
2.0,5.0,24.8,1.0,5.0,48.5,1.0,5.0,484.2,1.0,5.0,77.5,1.0,4.0,569.2,1.0,4.0,344.8
2.0,6.0,12.2,1.0,6.0,19.9,1.0,6.0,401.0,1.0,6.0,53.1,1.0,6.0,749.3,1.0,5.0,1084.0
3.0,2.0,33.6,3.0,1.0,158.5,2.0,1.0,313.9,2.0,1.0,47.0,2.0,1.0,830.1,2.0,1.0,301.9
3.0,4.0,44.6,3.0,4.0,179.3,2.0,4.0,434.3,2.0,3.0,252.6,2.0,3.0,2109.0,2.0,3.0,1047.0
3.0,5.0,113.2,3.0,5.0,402.0,2.0,5.0,779.6,2.0,5.0,132.9,2.0,4.0,804.1,2.0,4.0,344.8
3.0,6.0,73.3,3.0,6.0,263.4,2.0,6.0,625.9,2.0,6.0,72.7,2.0,6.0,999.9,2.0,5.0,1288.0
4.0,2.0,10.3,4.0,1.0,31.7,4.0,1.0,569.2,3.0,1.0,518.4,3.0,1.0,1769.0,3.0,1.0,1949.0
4.0,3.0,43.5,4.0,3.0,144.9,4.0,2.0,464.5,3.0,2.0,521.1,3.0,2.0,3142.0,3.0,2.0,2012.0
4.0,5.0,46.3,4.0,5.0,122.7,4.0,5.0,1115.0,3.0,5.0,867.5,3.0,4.0,2483.0,3.0,4.0,2369.0
4.0,6.0,21.0,4.0,6.0,50.4,4.0,6.0,777.7,3.0,6.0,583.2,3.0,6.0,3499.0,3.0,5.0,3666.0
5.0,2.0,99.5,5.0,1.0,277.9,5.0,1.0,1288.0,5.0,1.0,127.4,4.0,1.0,461.7,4.0,1.0,394.8
5.0,3.0,211.2,5.0,3.0,716.2,5.0,2.0,1701.0,5.0,2.0,146.3,4.0,2.0,522.8,4.0,2.0,377.4
5.0,4.0,132.4,5.0,4.0,369.7,5.0,4.0,1901.0,5.0,3.0,563.0,4.0,3.0,1720.0,4.0,3.0,1866.0
5.0,6.0,148.1,5.0,6.0,434.3,5.0,6.0,2281.0,5.0,6.0,143.2,4.0,6.0,488.0,4.0,5.0,825.6
6.0,2.0,40.1,6.0,1.0,94.0,6.0,1.0,1080.0,6.0,1.0,89.8,6.0,1.0,1179.0,5.0,1.0,1924.0
6.0,3.0,138.1,6.0,3.0,344.1,6.0,2.0,1170.0,6.0,2.0,97.8,6.0,2.0,1162.0,5.0,2.0,2026.0
6.0,4.0,52.1,6.0,4.0,113.7,6.0,4.0,1595.0,6.0,3.0,506.5,6.0,3.0,3421.0,5.0,3.0,4052.0
6.0,5.0,157.2,6.0,5.0,374.2,6.0,5.0,2588.0,6.0,5.0,178.8,6.0,4.0,785.6,5.0,4.0,1344.0
