1,淺田　千亜希,淺田　千亜希.1,2,松尾 夏海,松尾 夏海.1,3,宇野 弥生,宇野 弥生.1,4,津田 裕絵,津田 裕絵.1,5,池田 紫乃,池田 紫乃.1,6,犬童 千秋,犬童 千秋.1
2.0,3.0,7.7,1.0,3.0,14.9,1.0,2.0,35.9,1.0,2.0,123.1,1.0,2.0,352.6,1.0,2.0,754.1
2.0,4.0,8.9,1.0,4.0,17.2,1.0,4.0,43.9,1.0,3.0,182.3,1.0,3.0,381.8,1.0,3.0,890.2
2.0,5.0,32.8,1.0,5.0,50.8,1.0,5.0,79.6,1.0,5.0,274.0,1.0,4.0,520.0,1.0,4.0,1262.0
2.0,6.0,32.5,1.0,6.0,49.8,1.0,6.0,96.8,1.0,6.0,326.7,1.0,6.0,555.9,1.0,5.0,1603.0
3.0,2.0,11.6,3.0,1.0,24.5,2.0,1.0,42.7,2.0,1.0,156.3,2.0,1.0,491.8,2.0,1.0,846.4
3.0,4.0,14.8,3.0,4.0,27.2,2.0,4.0,44.6,2.0,3.0,151.4,2.0,3.0,479.6,2.0,3.0,828.7
3.0,5.0,36.6,3.0,5.0,63.6,2.0,5.0,92.6,2.0,5.0,396.5,2.0,4.0,716.7,2.0,4.0,902.8
3.0,6.0,48.0,3.0,6.0,75.3,2.0,6.0,107.9,2.0,6.0,361.6,2.0,6.0,828.7,2.0,5.0,1900.0
4.0,2.0,24.1,4.0,1.0,50.1,4.0,1.0,85.8,3.0,1.0,250.4,3.0,1.0,491.8,3.0,1.0,1185.0
4.0,3.0,34.7,4.0,3.0,53.4,4.0,2.0,73.6,3.0,2.0,163.2,3.0,2.0,535.3,3.0,2.0,982.2
4.0,5.0,69.6,4.0,5.0,128.5,4.0,5.0,134.1,3.0,5.0,464.9,3.0,4.0,841.9,3.0,4.0,1436.0
4.0,6.0,74.9,4.0,6.0,125.4,4.0,6.0,165.4,3.0,6.0,477.5,3.0,6.0,812.9,3.0,5.0,1466.0
5.0,2.0,87.2,5.0,1.0,190.6,5.0,1.0,198.4,5.0,1.0,435.0,4.0,1.0,818.1,4.0,1.0,1563.0
5.0,3.0,99.1,5.0,3.0,180.9,5.0,2.0,200.0,5.0,2.0,537.5,4.0,2.0,930.5,4.0,2.0,1161.0
5.0,4.0,137.7,5.0,4.0,266.8,5.0,4.0,238.3,5.0,3.0,602.7,4.0,3.0,1008.0,4.0,3.0,1803.0
5.0,6.0,165.4,5.0,6.0,341.4,5.0,6.0,272.2,5.0,6.0,703.3,4.0,6.0,1183.0,4.0,5.0,2505.0
6.0,2.0,142.8,6.0,1.0,226.5,6.0,1.0,323.7,6.0,1.0,688.8,6.0,1.0,1153.0,5.0,1.0,1995.0
6.0,3.0,156.9,6.0,3.0,236.5,6.0,2.0,293.0,6.0,2.0,642.2,6.0,2.0,1331.0,5.0,2.0,2086.0
6.0,4.0,171.0,6.0,4.0,274.9,6.0,4.0,336.0,6.0,3.0,867.1,6.0,3.0,1036.0,5.0,3.0,1560.0
6.0,5.0,316.5,6.0,5.0,493.0,6.0,5.0,436.2,6.0,5.0,1105.0,6.0,4.0,1490.0,5.0,4.0,2476.0
