1,正木 聖賢,正木 聖賢.1,2,浜野 孝志,浜野 孝志.1,3,森 弘行,森 弘行.1,4,吉島 祥之,吉島 祥之.1,5,大田 直弥,大田 直弥.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,7.8,1.0,3.0,60.1,1.0,2.0,90.1,1.0,2.0,42.9,1.0,2.0,248.0,1.0,2.0,1589.0
2.0,4.0,4.9,1.0,4.0,35.1,1.0,4.0,88.6,1.0,3.0,96.3,1.0,3.0,448.1,1.0,3.0,2177.0
2.0,5.0,10.5,1.0,5.0,60.2,1.0,5.0,134.6,1.0,5.0,44.7,1.0,4.0,229.9,1.0,4.0,1927.0
2.0,6.0,120.9,1.0,6.0,411.7,1.0,6.0,506.4,1.0,6.0,291.5,1.0,6.0,1190.0,1.0,5.0,3457.0
3.0,2.0,14.2,3.0,1.0,172.9,2.0,1.0,200.7,2.0,1.0,78.0,2.0,1.0,403.3,2.0,1.0,2268.0
3.0,4.0,13.4,3.0,4.0,264.3,2.0,4.0,258.0,2.0,3.0,246.6,2.0,3.0,930.7,2.0,3.0,4734.0
3.0,5.0,26.4,3.0,5.0,342.9,2.0,5.0,406.3,2.0,5.0,113.3,2.0,4.0,487.2,2.0,4.0,4734.0
3.0,6.0,142.5,3.0,6.0,1512.0,2.0,6.0,1281.0,2.0,6.0,772.3,2.0,6.0,2474.0,2.0,5.0,4839.0
4.0,2.0,7.4,4.0,1.0,96.2,4.0,1.0,216.4,3.0,1.0,257.4,3.0,1.0,831.2,3.0,1.0,3755.0
4.0,3.0,14.6,4.0,3.0,282.8,4.0,2.0,342.9,3.0,2.0,462.4,3.0,2.0,1158.0,3.0,2.0,4839.0
4.0,5.0,14.0,4.0,5.0,198.7,4.0,5.0,366.6,3.0,5.0,404.0,3.0,4.0,1230.0,3.0,4.0,5311.0
4.0,6.0,119.8,4.0,6.0,1047.0,4.0,6.0,1369.0,3.0,6.0,1387.0,3.0,6.0,2983.0,3.0,5.0,4949.0
5.0,2.0,28.8,5.0,1.0,258.0,5.0,1.0,431.2,5.0,1.0,77.4,4.0,1.0,315.1,4.0,1.0,3457.0
5.0,3.0,53.3,5.0,3.0,573.1,5.0,2.0,634.9,5.0,2.0,106.8,4.0,2.0,420.4,4.0,2.0,3570.0
5.0,4.0,33.0,5.0,4.0,324.5,5.0,4.0,631.2,5.0,3.0,231.9,4.0,3.0,972.2,4.0,3.0,5731.0
5.0,6.0,282.4,5.0,6.0,2094.0,5.0,6.0,1662.0,5.0,6.0,369.7,4.0,6.0,1244.0,4.0,5.0,5444.0
6.0,2.0,359.3,6.0,1.0,1237.0,6.0,1.0,1861.0,6.0,1.0,831.2,6.0,1.0,3512.0,5.0,1.0,5185.0
6.0,3.0,449.0,6.0,3.0,2094.0,6.0,2.0,2865.0,6.0,2.0,1451.0,6.0,2.0,3570.0,5.0,2.0,5311.0
6.0,4.0,449.9,6.0,4.0,2316.0,6.0,4.0,2592.0,6.0,3.0,1512.0,6.0,3.0,3250.0,5.0,3.0,5311.0
6.0,5.0,585.4,6.0,5.0,3024.0,6.0,5.0,2623.0,6.0,5.0,1057.0,6.0,4.0,3457.0,5.0,4.0,4949.0
