1,小澤 学,小澤 学.1,2,大江 純,大江 純.1,3,杉山 喜一,杉山 喜一.1,4,百武 翔,百武 翔.1,5,峰重 侑治,峰重 侑治.1,6,松尾 基成,松尾 基成.1
2.0,3.0,75.2,1.0,3.0,57.3,1.0,2.0,144.1,1.0,2.0,35.4,1.0,2.0,131.1,1.0,2.0,1576.0
2.0,4.0,42.3,1.0,4.0,28.6,1.0,4.0,79.8,1.0,3.0,43.5,1.0,3.0,239.2,1.0,3.0,2295.0
2.0,5.0,69.0,1.0,5.0,67.9,1.0,5.0,158.9,1.0,5.0,27.7,1.0,4.0,85.7,1.0,4.0,949.4
2.0,6.0,260.9,1.0,6.0,219.0,1.0,6.0,430.7,1.0,6.0,85.8,1.0,6.0,182.9,1.0,5.0,1007.0
3.0,2.0,89.8,3.0,1.0,83.1,2.0,1.0,168.2,2.0,1.0,43.4,2.0,1.0,182.8,2.0,1.0,2158.0
3.0,4.0,52.7,3.0,4.0,39.4,2.0,4.0,70.3,2.0,3.0,53.0,2.0,3.0,177.7,2.0,3.0,2747.0
3.0,5.0,70.2,3.0,5.0,65.4,2.0,5.0,101.6,2.0,5.0,24.1,2.0,4.0,84.6,2.0,4.0,758.7
3.0,6.0,162.0,3.0,6.0,291.5,2.0,6.0,338.9,2.0,6.0,72.0,2.0,6.0,212.8,2.0,5.0,1648.0
4.0,2.0,35.5,4.0,1.0,34.5,4.0,1.0,80.8,3.0,1.0,61.9,3.0,1.0,312.6,3.0,1.0,3073.0
4.0,3.0,49.6,4.0,3.0,40.6,4.0,2.0,74.8,3.0,2.0,72.5,3.0,2.0,330.3,3.0,2.0,2878.0
4.0,5.0,29.1,4.0,5.0,32.7,4.0,5.0,62.8,3.0,5.0,54.2,3.0,4.0,184.4,3.0,4.0,1394.0
4.0,6.0,106.6,4.0,6.0,124.8,4.0,6.0,179.0,3.0,6.0,142.1,3.0,6.0,337.0,3.0,5.0,2037.0
5.0,2.0,79.9,5.0,1.0,135.2,5.0,1.0,226.3,5.0,1.0,20.1,4.0,1.0,52.2,4.0,1.0,1105.0
5.0,3.0,98.9,5.0,3.0,94.4,5.0,2.0,181.3,5.0,2.0,15.2,4.0,2.0,44.0,4.0,2.0,863.5
5.0,4.0,55.2,5.0,4.0,47.2,5.0,4.0,102.1,5.0,3.0,38.4,4.0,3.0,81.9,4.0,3.0,1576.0
5.0,6.0,134.6,5.0,6.0,199.4,5.0,6.0,241.7,5.0,6.0,17.5,4.0,6.0,41.4,4.0,5.0,260.1
6.0,2.0,367.0,6.0,1.0,843.4,6.0,1.0,915.8,6.0,1.0,169.0,6.0,1.0,309.4,5.0,1.0,1384.0
6.0,3.0,365.6,6.0,3.0,725.3,6.0,2.0,843.4,6.0,2.0,156.3,6.0,2.0,330.9,5.0,2.0,1563.0
6.0,4.0,263.1,6.0,4.0,417.8,6.0,4.0,563.1,6.0,3.0,279.4,6.0,3.0,471.0,5.0,3.0,1888.0
6.0,5.0,262.0,6.0,5.0,475.9,6.0,5.0,563.1,6.0,5.0,71.9,6.0,4.0,111.8,5.0,4.0,273.1
