1,石田 貴洋,石田 貴洋.1,2,柳瀬 幹太,柳瀬 幹太.1,3,中野 仁照,中野 仁照.1,4,村松 栄太,村松 栄太.1,5,田中 駿兵,田中 駿兵.1,6,久永 祥平,久永 祥平.1
2.0,3.0,10.4,1.0,3.0,47.9,1.0,2.0,60.1,1.0,2.0,158.6,1.0,2.0,116.9,1.0,2.0,604.6
2.0,4.0,14.6,1.0,4.0,59.9,1.0,4.0,65.7,1.0,3.0,167.2,1.0,3.0,108.3,1.0,3.0,406.7
2.0,5.0,13.9,1.0,5.0,56.3,1.0,5.0,47.8,1.0,5.0,109.0,1.0,4.0,134.2,1.0,4.0,723.0
2.0,6.0,27.8,1.0,6.0,80.9,1.0,6.0,62.6,1.0,6.0,152.2,1.0,6.0,114.7,1.0,5.0,562.0
3.0,2.0,10.2,3.0,1.0,117.4,2.0,1.0,132.2,2.0,1.0,285.7,2.0,1.0,251.8,2.0,1.0,887.2
3.0,4.0,13.4,3.0,4.0,237.0,2.0,4.0,336.8,2.0,3.0,637.5,2.0,3.0,523.1,2.0,3.0,1427.0
3.0,5.0,10.7,3.0,5.0,186.8,2.0,5.0,276.3,2.0,5.0,448.5,2.0,4.0,595.5,2.0,4.0,1679.0
3.0,6.0,17.7,3.0,6.0,216.6,2.0,6.0,343.0,2.0,6.0,541.1,2.0,6.0,433.6,2.0,5.0,1308.0
4.0,2.0,25.0,4.0,1.0,173.6,4.0,1.0,154.5,3.0,1.0,325.8,3.0,1.0,221.3,3.0,1.0,572.2
4.0,3.0,26.3,4.0,3.0,385.2,4.0,2.0,438.0,3.0,2.0,751.2,3.0,2.0,611.4,3.0,2.0,1472.0
4.0,5.0,27.9,4.0,5.0,327.8,4.0,5.0,306.1,3.0,5.0,527.7,3.0,4.0,638.8,3.0,4.0,1693.0
4.0,6.0,44.9,4.0,6.0,386.2,4.0,6.0,337.8,3.0,6.0,610.1,3.0,6.0,569.5,3.0,5.0,1565.0
5.0,2.0,23.6,5.0,1.0,161.7,5.0,1.0,153.4,5.0,1.0,151.1,4.0,1.0,226.5,4.0,1.0,996.6
5.0,3.0,23.6,5.0,3.0,311.2,5.0,2.0,368.2,5.0,2.0,345.4,4.0,2.0,517.2,4.0,2.0,2006.0
5.0,4.0,38.5,5.0,4.0,399.7,5.0,4.0,402.4,5.0,3.0,407.6,4.0,3.0,593.2,4.0,3.0,1839.0
5.0,6.0,37.6,5.0,6.0,275.9,5.0,6.0,350.3,5.0,6.0,225.2,4.0,6.0,391.6,4.0,5.0,1480.0
6.0,2.0,77.6,6.0,1.0,323.4,6.0,1.0,223.5,6.0,1.0,344.2,6.0,1.0,304.9,5.0,1.0,736.4
6.0,3.0,61.4,6.0,3.0,566.2,6.0,2.0,549.1,6.0,2.0,623.5,6.0,2.0,532.4,5.0,2.0,1235.0
6.0,4.0,98.7,6.0,4.0,697.7,6.0,4.0,620.9,6.0,3.0,747.4,6.0,3.0,681.0,5.0,3.0,1624.0
6.0,5.0,77.5,6.0,5.0,541.6,6.0,5.0,449.2,6.0,5.0,421.1,6.0,4.0,616.4,5.0,4.0,1440.0
