1,関野 文,関野 文.1,2,安井 瑞紀,安井 瑞紀.1,3,池田　奈津美,池田　奈津美.1,4,戸敷 晃美,戸敷 晃美.1,5,嶋田 有里,嶋田 有里.1,6,増本 杏珠,増本 杏珠.1
2.0,3.0,7.7,1.0,3.0,28.5,1.0,2.0,37.2,1.0,2.0,51.5,1.0,2.0,522.5,1.0,2.0,1437.0
2.0,4.0,8.2,1.0,4.0,27.0,1.0,4.0,28.3,1.0,3.0,45.9,1.0,3.0,443.5,1.0,3.0,1226.0
2.0,5.0,40.1,1.0,5.0,135.1,1.0,5.0,95.9,1.0,5.0,116.6,1.0,4.0,491.3,1.0,4.0,1671.0
2.0,6.0,95.1,1.0,6.0,247.2,1.0,6.0,187.0,1.0,6.0,260.7,1.0,6.0,1198.0,1.0,5.0,2512.0
3.0,2.0,7.5,3.0,1.0,81.5,2.0,1.0,78.8,2.0,1.0,89.9,2.0,1.0,794.7,2.0,1.0,2163.0
3.0,4.0,5.9,3.0,4.0,126.7,2.0,4.0,117.4,2.0,3.0,168.3,2.0,3.0,1178.0,2.0,3.0,1970.0
3.0,5.0,29.9,3.0,5.0,391.4,2.0,5.0,303.4,2.0,5.0,341.9,2.0,4.0,1107.0,2.0,4.0,3155.0
3.0,6.0,66.0,3.0,6.0,637.7,2.0,6.0,453.1,2.0,6.0,657.7,2.0,6.0,2384.0,2.0,5.0,3885.0
4.0,2.0,12.2,4.0,1.0,75.9,4.0,1.0,49.4,3.0,1.0,72.3,3.0,1.0,648.5,3.0,1.0,1565.0
4.0,3.0,10.5,4.0,3.0,154.2,4.0,2.0,93.7,3.0,2.0,132.9,3.0,2.0,1332.0,3.0,2.0,2482.0
4.0,5.0,40.5,4.0,5.0,331.9,4.0,5.0,162.5,3.0,5.0,230.4,3.0,4.0,1089.0,3.0,4.0,2130.0
4.0,6.0,95.6,4.0,6.0,728.5,4.0,6.0,323.2,3.0,6.0,442.6,3.0,6.0,2574.0,3.0,5.0,3814.0
5.0,2.0,110.4,5.0,1.0,493.6,5.0,1.0,313.1,5.0,1.0,247.8,4.0,1.0,650.5,4.0,1.0,2357.0
5.0,3.0,103.5,5.0,3.0,758.8,5.0,2.0,516.7,5.0,2.0,362.0,4.0,2.0,1067.0,4.0,2.0,3304.0
5.0,4.0,116.7,5.0,4.0,693.5,5.0,4.0,447.3,5.0,3.0,380.0,4.0,3.0,1104.0,4.0,3.0,3018.0
5.0,6.0,255.7,5.0,6.0,1595.0,5.0,6.0,916.2,5.0,6.0,727.2,4.0,6.0,1840.0,4.0,5.0,4154.0
6.0,2.0,279.0,6.0,1.0,1001.0,6.0,1.0,674.6,6.0,1.0,747.9,6.0,1.0,1988.0,5.0,1.0,3108.0
6.0,3.0,224.3,6.0,3.0,1366.0,6.0,2.0,898.5,6.0,2.0,1023.0,6.0,2.0,2689.0,5.0,2.0,4371.0
6.0,4.0,324.5,6.0,4.0,1890.0,6.0,4.0,1146.0,6.0,3.0,987.3,6.0,3.0,2397.0,5.0,3.0,4154.0
6.0,5.0,373.9,6.0,5.0,2497.0,6.0,5.0,1504.0,6.0,5.0,1084.0,6.0,4.0,2606.0,5.0,4.0,3996.0
