1,渡邉 優美,渡邉 優美.1,2,溝口　海義也,溝口　海義也.1,3,原田　才一郎,原田　才一郎.1,4,大場 広孝,大場 広孝.1,5,谷村 啓司,谷村 啓司.1,6,大庭 元明,大庭 元明.1
2.0,3.0,4.3,1.0,3.0,23.4,1.0,2.0,24.4,1.0,2.0,198.1,1.0,2.0,614.2,1.0,2.0,744.7
2.0,4.0,11.2,1.0,4.0,49.7,1.0,4.0,42.8,1.0,3.0,258.0,1.0,3.0,526.2,1.0,3.0,786.5
2.0,5.0,27.1,1.0,5.0,116.6,1.0,5.0,85.1,1.0,5.0,679.2,1.0,4.0,1244.0,1.0,4.0,1385.0
2.0,6.0,21.5,1.0,6.0,89.5,1.0,6.0,73.1,1.0,6.0,455.8,1.0,6.0,1093.0,1.0,5.0,1891.0
3.0,2.0,5.0,3.0,1.0,47.3,2.0,1.0,45.6,2.0,1.0,303.1,2.0,1.0,900.8,2.0,1.0,980.1
3.0,4.0,9.4,3.0,4.0,123.2,2.0,4.0,109.4,2.0,3.0,458.6,2.0,3.0,920.5,2.0,3.0,1411.0
3.0,5.0,26.1,3.0,5.0,230.1,2.0,5.0,188.0,2.0,5.0,1449.0,2.0,4.0,1767.0,2.0,4.0,1920.0
3.0,6.0,21.2,3.0,6.0,187.4,2.0,6.0,158.1,2.0,6.0,840.7,2.0,6.0,1873.0,2.0,5.0,2910.0
4.0,2.0,24.6,4.0,1.0,178.4,4.0,1.0,111.5,3.0,1.0,399.1,3.0,1.0,744.7,3.0,1.0,1149.0
4.0,3.0,27.7,4.0,3.0,237.0,4.0,2.0,147.1,3.0,2.0,475.3,3.0,2.0,982.7,3.0,2.0,1406.0
4.0,5.0,128.6,4.0,5.0,818.9,4.0,5.0,338.1,3.0,5.0,1313.0,3.0,4.0,1873.0,3.0,4.0,2067.0
4.0,6.0,89.9,4.0,6.0,596.7,4.0,6.0,255.1,3.0,6.0,863.8,3.0,6.0,2125.0,3.0,5.0,3152.0
5.0,2.0,91.7,5.0,1.0,492.0,5.0,1.0,248.5,5.0,1.0,1036.0,4.0,1.0,2174.0,4.0,1.0,2394.0
5.0,3.0,104.2,5.0,3.0,604.3,5.0,2.0,293.5,5.0,2.0,1666.0,4.0,2.0,2609.0,4.0,2.0,2409.0
5.0,4.0,194.7,5.0,4.0,1182.0,5.0,4.0,485.6,5.0,3.0,1589.0,4.0,3.0,2489.0,4.0,3.0,2823.0
5.0,6.0,204.1,5.0,6.0,1119.0,5.0,6.0,448.2,5.0,6.0,1153.0,4.0,6.0,2279.0,4.0,5.0,3941.0
6.0,2.0,76.8,6.0,1.0,430.4,6.0,1.0,278.1,6.0,1.0,1417.0,6.0,1.0,1930.0,5.0,1.0,2979.0
6.0,3.0,86.9,6.0,3.0,559.6,6.0,2.0,335.7,6.0,2.0,1681.0,6.0,2.0,2645.0,5.0,2.0,3318.0
6.0,4.0,170.2,6.0,4.0,886.0,6.0,4.0,501.1,6.0,3.0,1873.0,6.0,3.0,2866.0,5.0,3.0,3261.0
6.0,5.0,238.4,6.0,5.0,1341.0,6.0,5.0,650.0,6.0,5.0,2174.0,6.0,4.0,2721.0,5.0,4.0,3206.0
