1,藤田 美代,藤田 美代.1,2,岸 恵子,岸 恵子.1,3,宇野 弥生,宇野 弥生.1,4,松尾 夏海,松尾 夏海.1,5,片岡 恵里,片岡 恵里.1,6,松本 怜,松本 怜.1
2.0,3.0,29.7,1.0,3.0,52.9,1.0,2.0,36.6,1.0,2.0,68.1,1.0,2.0,349.5,1.0,2.0,1004.0
2.0,4.0,37.3,1.0,4.0,53.9,1.0,4.0,19.0,1.0,3.0,43.6,1.0,3.0,244.7,1.0,3.0,1380.0
2.0,5.0,85.5,1.0,5.0,95.2,1.0,5.0,41.6,1.0,5.0,67.8,1.0,4.0,302.9,1.0,4.0,1336.0
2.0,6.0,216.8,1.0,6.0,302.3,1.0,6.0,150.7,1.0,6.0,185.9,1.0,6.0,684.7,1.0,5.0,1904.0
3.0,2.0,25.4,3.0,1.0,47.3,2.0,1.0,41.7,2.0,1.0,92.7,2.0,1.0,543.2,2.0,1.0,1104.0
3.0,4.0,15.8,3.0,4.0,32.7,2.0,4.0,23.7,2.0,3.0,53.9,2.0,3.0,392.6,2.0,3.0,1548.0
3.0,5.0,40.0,3.0,5.0,53.4,2.0,5.0,38.1,2.0,5.0,76.7,2.0,4.0,466.7,2.0,4.0,1801.0
3.0,6.0,149.0,3.0,6.0,216.3,2.0,6.0,169.2,2.0,6.0,255.7,2.0,6.0,963.3,2.0,5.0,1820.0
4.0,2.0,36.5,4.0,1.0,68.2,4.0,1.0,17.0,3.0,1.0,34.6,3.0,1.0,246.5,3.0,1.0,1453.0
4.0,3.0,25.8,4.0,3.0,42.8,4.0,2.0,16.0,3.0,2.0,33.2,3.0,2.0,294.8,3.0,2.0,1548.0
4.0,5.0,56.9,4.0,5.0,74.6,4.0,5.0,15.4,3.0,5.0,33.5,3.0,4.0,157.8,3.0,4.0,804.3
4.0,6.0,175.7,4.0,6.0,257.7,4.0,6.0,59.7,3.0,6.0,103.4,3.0,6.0,573.3,3.0,5.0,2071.0
5.0,2.0,147.9,5.0,1.0,219.7,5.0,1.0,79.1,5.0,1.0,86.3,4.0,1.0,239.8,4.0,1.0,1466.0
5.0,3.0,100.9,5.0,3.0,163.4,5.0,2.0,83.0,5.0,2.0,102.0,4.0,2.0,326.8,4.0,2.0,1996.0
5.0,4.0,137.0,5.0,4.0,174.7,5.0,4.0,46.9,5.0,3.0,64.5,4.0,3.0,156.0,4.0,3.0,1192.0
5.0,6.0,336.7,5.0,6.0,575.3,5.0,6.0,169.0,5.0,6.0,149.2,4.0,6.0,393.5,4.0,5.0,1726.0
6.0,2.0,644.7,6.0,1.0,863.0,6.0,1.0,450.2,6.0,1.0,449.0,6.0,1.0,1392.0,5.0,1.0,2124.0
6.0,3.0,548.6,6.0,3.0,800.4,6.0,2.0,550.5,6.0,2.0,615.9,6.0,2.0,1479.0,5.0,2.0,2510.0
6.0,4.0,618.2,6.0,4.0,998.2,6.0,4.0,304.0,6.0,3.0,307.9,6.0,3.0,1083.0,5.0,3.0,2209.0
6.0,5.0,796.6,6.0,5.0,905.4,6.0,5.0,393.5,6.0,5.0,339.5,6.0,4.0,1069.0,5.0,4.0,1690.0
