1,山ノ内　雅人,山ノ内　雅人.1,2,水摩 敦,水摩 敦.1,3,渡邉 翼,渡邉 翼.1,4,竹上 真司,竹上 真司.1,5,片岡 恵里,片岡 恵里.1,6,中村 泰平,中村 泰平.1
2.0,3.0,6.8,1.0,3.0,16.8,1.0,2.0,72.2,1.0,2.0,184.6,1.0,2.0,625.3,1.0,2.0,39.9
2.0,4.0,15.5,1.0,4.0,32.0,1.0,4.0,112.7,1.0,3.0,396.0,1.0,3.0,1297.0,1.0,3.0,88.1
2.0,5.0,50.6,1.0,5.0,88.5,1.0,5.0,189.1,1.0,5.0,522.5,1.0,4.0,1403.0,1.0,4.0,168.2
2.0,6.0,7.3,1.0,6.0,14.1,1.0,6.0,82.0,1.0,6.0,264.7,1.0,6.0,976.7,1.0,5.0,276.1
3.0,2.0,14.4,3.0,1.0,37.3,2.0,1.0,86.4,2.0,1.0,204.1,2.0,1.0,894.5,2.0,1.0,44.2
3.0,4.0,37.5,3.0,4.0,67.8,2.0,4.0,121.2,2.0,3.0,365.1,2.0,3.0,1335.0,2.0,3.0,87.7
3.0,5.0,89.1,3.0,5.0,144.5,2.0,5.0,235.6,2.0,5.0,739.0,2.0,4.0,1794.0,2.0,4.0,136.3
3.0,6.0,22.0,3.0,6.0,36.4,2.0,6.0,79.4,2.0,6.0,238.4,2.0,6.0,1092.0,2.0,5.0,265.0
4.0,2.0,40.6,4.0,1.0,92.5,4.0,1.0,245.2,3.0,1.0,725.5,3.0,1.0,1738.0,3.0,1.0,206.7
4.0,3.0,73.3,4.0,3.0,128.3,4.0,2.0,272.5,3.0,2.0,562.9,3.0,2.0,1527.0,3.0,2.0,179.4
4.0,5.0,172.1,4.0,5.0,309.5,4.0,5.0,616.9,3.0,5.0,1510.0,3.0,4.0,2535.0,3.0,4.0,427.2
4.0,6.0,62.2,4.0,6.0,93.7,4.0,6.0,309.5,3.0,6.0,588.1,3.0,6.0,1818.0,3.0,5.0,672.5
5.0,2.0,186.8,5.0,1.0,331.4,5.0,1.0,874.7,5.0,1.0,1146.0,4.0,1.0,1561.0,4.0,1.0,375.5
5.0,3.0,229.0,5.0,3.0,414.4,5.0,2.0,735.1,5.0,2.0,1424.0,4.0,2.0,2193.0,4.0,2.0,299.4
5.0,4.0,398.2,5.0,4.0,567.5,5.0,4.0,1191.0,5.0,3.0,1354.0,4.0,3.0,2607.0,4.0,3.0,650.3
5.0,6.0,236.2,5.0,6.0,290.6,5.0,6.0,780.8,5.0,6.0,842.7,4.0,6.0,1518.0,4.0,5.0,1019.0
6.0,2.0,18.4,6.0,1.0,36.8,6.0,1.0,171.7,6.0,1.0,389.8,6.0,1.0,1239.0,5.0,1.0,716.1
6.0,3.0,34.3,6.0,3.0,60.5,6.0,2.0,154.8,6.0,2.0,333.4,6.0,2.0,1494.0,5.0,2.0,667.6
6.0,4.0,81.7,6.0,4.0,103.2,6.0,4.0,414.4,6.0,3.0,602.2,6.0,3.0,2382.0,5.0,3.0,1217.0
6.0,5.0,157.2,6.0,5.0,208.7,6.0,5.0,615.6,6.0,5.0,924.4,6.0,4.0,2003.0,5.0,4.0,1212.0
