1,田中 堅,田中 堅.1,2,海老澤　泰行,海老澤　泰行.1,3,松下 知幸,松下 知幸.1,4,宇野 博之,宇野 博之.1,5,今坂 晃広,今坂 晃広.1,6,相原 利章,相原 利章.1
2.0,3.0,9.8,1.0,3.0,36.8,1.0,2.0,84.8,1.0,2.0,94.1,1.0,2.0,141.0,1.0,2.0,308.8
2.0,4.0,9.9,1.0,4.0,36.2,1.0,4.0,79.0,1.0,3.0,140.8,1.0,3.0,145.3,1.0,3.0,378.2
2.0,5.0,16.4,1.0,5.0,52.9,1.0,5.0,71.8,1.0,5.0,111.2,1.0,4.0,203.0,1.0,4.0,441.4
2.0,6.0,21.5,1.0,6.0,69.3,1.0,6.0,100.7,1.0,6.0,103.7,1.0,6.0,155.6,1.0,5.0,518.4
3.0,2.0,13.3,3.0,1.0,85.7,2.0,1.0,125.3,2.0,1.0,152.5,2.0,1.0,271.5,2.0,1.0,505.6
3.0,4.0,13.4,3.0,4.0,139.3,2.0,4.0,184.3,2.0,3.0,376.1,2.0,3.0,542.1,2.0,3.0,907.4
3.0,5.0,17.9,3.0,5.0,211.1,2.0,5.0,248.0,2.0,5.0,259.3,2.0,4.0,545.3,2.0,4.0,850.3
3.0,6.0,27.6,3.0,6.0,189.2,2.0,6.0,222.1,2.0,6.0,247.5,2.0,6.0,485.4,2.0,5.0,1281.0
4.0,2.0,16.6,4.0,1.0,117.9,4.0,1.0,162.8,3.0,1.0,250.8,3.0,1.0,280.5,3.0,1.0,561.5
4.0,3.0,22.3,4.0,3.0,233.4,4.0,2.0,293.1,3.0,2.0,465.8,3.0,2.0,685.2,3.0,2.0,1176.0
4.0,5.0,25.0,4.0,5.0,240.2,4.0,5.0,227.5,3.0,5.0,380.9,3.0,4.0,780.1,3.0,4.0,1221.0
4.0,6.0,32.1,4.0,6.0,240.4,4.0,6.0,268.0,3.0,6.0,357.3,3.0,6.0,525.3,3.0,5.0,1045.0
5.0,2.0,33.4,5.0,1.0,188.5,5.0,1.0,168.9,5.0,1.0,163.4,4.0,1.0,311.4,4.0,1.0,572.3
5.0,3.0,39.5,5.0,3.0,391.7,5.0,2.0,334.5,5.0,2.0,278.2,4.0,2.0,521.8,4.0,2.0,1041.0
5.0,4.0,47.9,5.0,4.0,377.9,5.0,4.0,333.4,5.0,3.0,406.5,4.0,3.0,698.3,4.0,3.0,1339.0
5.0,6.0,48.3,5.0,6.0,407.2,5.0,6.0,274.5,5.0,6.0,208.0,4.0,6.0,406.5,4.0,5.0,1112.0
6.0,2.0,57.8,6.0,1.0,293.2,6.0,1.0,283.4,6.0,1.0,201.1,6.0,1.0,302.1,5.0,1.0,698.3
6.0,3.0,74.3,6.0,3.0,557.5,6.0,2.0,531.2,6.0,2.0,364.8,6.0,2.0,603.0,5.0,2.0,1267.0
6.0,4.0,79.7,6.0,4.0,539.7,6.0,4.0,502.4,6.0,3.0,495.0,6.0,3.0,495.0,5.0,3.0,1048.0
6.0,5.0,92.9,6.0,5.0,668.7,6.0,5.0,419.1,6.0,5.0,319.4,6.0,4.0,583.6,5.0,4.0,1167.0
