1,岡瀬 正人,岡瀬 正人.1,2,下田 哲也,下田 哲也.1,3,中田 元泰,中田 元泰.1,4,玄馬 徹,玄馬 徹.1,5,宮嵜　隆太郎,宮嵜　隆太郎.1,6,土井 歩夢,土井 歩夢.1
2.0,3.0,11.0,1.0,3.0,32.9,1.0,2.0,10.7,1.0,2.0,433.0,1.0,2.0,504.4,1.0,2.0,417.6
2.0,4.0,48.0,1.0,4.0,113.7,1.0,4.0,14.4,1.0,3.0,241.8,1.0,3.0,313.1,1.0,3.0,305.1
2.0,5.0,84.4,1.0,5.0,196.2,1.0,5.0,26.2,1.0,5.0,587.9,1.0,4.0,762.3,1.0,4.0,1094.0
2.0,6.0,49.1,1.0,6.0,109.2,1.0,6.0,21.5,1.0,6.0,461.9,1.0,6.0,537.4,1.0,5.0,1160.0
3.0,2.0,7.3,3.0,1.0,43.6,2.0,1.0,21.8,2.0,1.0,545.5,2.0,1.0,797.1,2.0,1.0,654.7
3.0,4.0,14.8,3.0,4.0,63.3,2.0,4.0,27.2,2.0,3.0,333.6,2.0,3.0,656.2,2.0,3.0,500.9
3.0,5.0,26.7,3.0,5.0,131.0,2.0,5.0,61.2,2.0,5.0,1081.0,2.0,4.0,1396.0,2.0,4.0,1267.0
3.0,6.0,20.3,3.0,6.0,74.8,2.0,6.0,34.9,2.0,6.0,707.0,2.0,6.0,972.2,2.0,5.0,1438.0
4.0,2.0,104.6,4.0,1.0,275.7,4.0,1.0,35.3,3.0,1.0,196.0,3.0,1.0,299.1,3.0,1.0,304.5
4.0,3.0,66.8,4.0,3.0,174.3,4.0,2.0,39.8,3.0,2.0,226.3,3.0,2.0,472.5,3.0,2.0,342.8
4.0,5.0,167.6,4.0,5.0,600.7,4.0,5.0,60.2,3.0,5.0,366.8,3.0,4.0,546.0,3.0,4.0,529.0
4.0,6.0,153.2,4.0,6.0,296.0,4.0,6.0,38.0,3.0,6.0,278.3,3.0,6.0,448.6,3.0,5.0,714.9
5.0,2.0,187.1,5.0,1.0,626.9,5.0,1.0,69.4,5.0,1.0,728.5,4.0,1.0,1386.0,4.0,1.0,1862.0
5.0,3.0,105.0,5.0,3.0,416.7,5.0,2.0,97.1,5.0,2.0,975.5,4.0,2.0,1793.0,4.0,2.0,1728.0
5.0,4.0,240.4,5.0,4.0,937.3,5.0,4.0,98.1,5.0,3.0,592.1,4.0,3.0,973.8,4.0,3.0,960.8
5.0,6.0,256.3,5.0,6.0,640.9,5.0,6.0,75.0,5.0,6.0,570.9,4.0,6.0,1153.0,4.0,5.0,1793.0
6.0,2.0,127.2,6.0,1.0,355.0,6.0,1.0,62.8,6.0,1.0,762.3,6.0,1.0,906.3,5.0,1.0,1506.0
6.0,3.0,90.1,6.0,3.0,276.7,6.0,2.0,73.4,6.0,2.0,983.8,6.0,2.0,1119.0,5.0,2.0,1663.0
6.0,4.0,272.1,6.0,4.0,570.4,6.0,4.0,72.8,6.0,3.0,618.8,6.0,3.0,721.2,5.0,3.0,1037.0
6.0,5.0,380.4,6.0,5.0,870.7,6.0,5.0,109.0,6.0,5.0,997.5,6.0,4.0,1308.0,5.0,4.0,1668.0
