1,高山 秀雄,高山 秀雄.1,2,花本 夏樹,花本 夏樹.1,3,為本 智也,為本 智也.1,4,畑 竜生,畑 竜生.1,5,黒柳 浩孝,黒柳 浩孝.1,6,江夏 満,江夏 満.1
2.0,3.0,66.9,1.0,3.0,86.6,1.0,2.0,65.8,1.0,2.0,192.7,1.0,2.0,167.3,1.0,2.0,371.0
2.0,4.0,87.7,1.0,4.0,109.9,1.0,4.0,41.8,1.0,3.0,140.6,1.0,3.0,112.5,1.0,3.0,229.3
2.0,5.0,100.2,1.0,5.0,103.8,1.0,5.0,33.1,1.0,5.0,133.8,1.0,4.0,175.7,1.0,4.0,377.8
2.0,6.0,106.8,1.0,6.0,95.4,1.0,6.0,37.6,1.0,6.0,105.3,1.0,6.0,119.7,1.0,5.0,278.6
3.0,2.0,48.1,3.0,1.0,111.6,2.0,1.0,102.3,2.0,1.0,227.6,2.0,1.0,236.4,2.0,1.0,595.0
3.0,4.0,39.5,3.0,4.0,115.4,2.0,4.0,74.7,2.0,3.0,154.3,2.0,3.0,165.7,2.0,3.0,402.5
3.0,5.0,33.4,3.0,5.0,98.9,2.0,5.0,59.4,2.0,5.0,170.1,2.0,4.0,222.7,2.0,4.0,567.6
3.0,6.0,39.3,3.0,6.0,92.9,2.0,6.0,59.8,2.0,6.0,128.4,2.0,6.0,142.7,2.0,5.0,366.6
4.0,2.0,97.5,4.0,1.0,176.4,4.0,1.0,62.5,3.0,1.0,118.1,3.0,1.0,101.5,3.0,1.0,208.7
4.0,3.0,90.1,4.0,3.0,149.8,4.0,2.0,68.3,3.0,2.0,119.1,3.0,2.0,123.6,3.0,2.0,284.4
4.0,5.0,96.7,4.0,5.0,161.4,4.0,5.0,21.9,3.0,5.0,57.4,3.0,4.0,72.8,3.0,4.0,161.2
4.0,6.0,98.9,4.0,6.0,135.2,4.0,6.0,25.0,3.0,6.0,55.0,3.0,6.0,49.9,3.0,5.0,112.5
5.0,2.0,121.1,5.0,1.0,175.7,5.0,1.0,44.5,5.0,1.0,136.2,4.0,1.0,173.7,4.0,1.0,498.7
5.0,3.0,78.6,5.0,3.0,130.4,5.0,2.0,53.2,5.0,2.0,154.1,4.0,2.0,189.2,4.0,2.0,488.8
5.0,4.0,127.1,5.0,4.0,207.0,5.0,4.0,25.0,5.0,3.0,76.2,4.0,3.0,98.3,4.0,3.0,266.6
5.0,6.0,88.9,5.0,6.0,148.0,5.0,6.0,20.2,5.0,6.0,59.6,4.0,6.0,86.3,4.0,5.0,238.2
6.0,2.0,178.2,6.0,1.0,243.4,6.0,1.0,65.5,6.0,1.0,153.9,6.0,1.0,118.9,5.0,1.0,260.9
6.0,3.0,106.0,6.0,3.0,188.0,6.0,2.0,75.8,6.0,2.0,150.9,6.0,2.0,125.5,5.0,2.0,264.3
6.0,4.0,162.7,6.0,4.0,240.1,6.0,4.0,40.6,6.0,3.0,99.9,6.0,3.0,65.6,5.0,3.0,112.2
6.0,5.0,126.3,6.0,5.0,198.9,6.0,5.0,30.2,6.0,5.0,83.2,6.0,4.0,96.9,5.0,4.0,188.0
