1,赤澤 文香,赤澤 文香.1,2,仁科　さやか,仁科　さやか.1,3,石井 裕美,石井 裕美.1,4,喜井　つかさ,喜井　つかさ.1,5,大澤 真菜,大澤 真菜.1,6,佐々木　裕美,佐々木　裕美.1
2.0,3.0,18.7,1.0,3.0,34.6,1.0,2.0,82.5,1.0,2.0,41.3,1.0,2.0,537.8,1.0,2.0,437.6
2.0,4.0,14.3,1.0,4.0,24.9,1.0,4.0,35.2,1.0,3.0,26.2,1.0,3.0,509.5,1.0,3.0,379.0
2.0,5.0,69.7,1.0,5.0,134.8,1.0,5.0,124.8,1.0,5.0,58.7,1.0,4.0,373.0,1.0,4.0,203.7
2.0,6.0,42.2,1.0,6.0,85.3,1.0,6.0,89.1,1.0,6.0,28.8,1.0,6.0,576.0,1.0,5.0,760.3
3.0,2.0,23.3,3.0,1.0,79.6,2.0,1.0,134.6,2.0,1.0,74.8,2.0,1.0,726.9,2.0,1.0,669.3
3.0,4.0,11.2,3.0,4.0,90.3,2.0,4.0,139.3,2.0,3.0,140.5,2.0,3.0,1236.0,2.0,3.0,1188.0
3.0,5.0,47.6,3.0,5.0,344.2,2.0,5.0,445.4,2.0,5.0,226.2,2.0,4.0,857.2,2.0,4.0,569.4
3.0,6.0,29.9,3.0,6.0,277.7,2.0,6.0,361.4,2.0,6.0,133.4,2.0,6.0,1153.0,2.0,5.0,1532.0
4.0,2.0,15.8,4.0,1.0,51.2,4.0,1.0,41.6,3.0,1.0,46.2,3.0,1.0,710.0,3.0,1.0,534.1
4.0,3.0,10.7,4.0,3.0,84.5,4.0,2.0,117.3,3.0,2.0,147.0,3.0,2.0,1503.0,3.0,2.0,1323.0
4.0,5.0,37.5,4.0,5.0,207.2,4.0,5.0,134.5,3.0,5.0,170.7,3.0,4.0,954.1,3.0,4.0,428.6
4.0,6.0,15.9,4.0,6.0,121.6,4.0,6.0,74.1,3.0,6.0,77.9,3.0,6.0,1309.0,3.0,5.0,1733.0
5.0,2.0,182.3,5.0,1.0,386.0,5.0,1.0,304.1,5.0,1.0,110.8,4.0,1.0,380.9,4.0,1.0,190.1
5.0,3.0,156.8,5.0,3.0,657.1,5.0,2.0,584.5,5.0,2.0,220.8,4.0,2.0,720.3,4.0,2.0,463.6
5.0,4.0,136.3,5.0,4.0,437.6,5.0,4.0,364.1,5.0,3.0,212.7,4.0,3.0,681.9,4.0,3.0,325.0
5.0,6.0,189.9,5.0,6.0,778.2,5.0,6.0,498.6,5.0,6.0,104.2,4.0,6.0,414.7,4.0,5.0,488.2
6.0,2.0,114.4,6.0,1.0,220.9,6.0,1.0,226.1,6.0,1.0,51.3,6.0,1.0,868.5,5.0,1.0,1260.0
6.0,3.0,85.0,6.0,3.0,392.2,6.0,2.0,503.6,6.0,2.0,121.2,6.0,2.0,1225.0,5.0,2.0,2307.0
6.0,4.0,57.9,6.0,4.0,236.3,6.0,4.0,196.2,6.0,3.0,90.8,6.0,3.0,1305.0,5.0,3.0,1984.0
6.0,5.0,213.2,6.0,5.0,716.4,6.0,5.0,537.8,6.0,5.0,110.9,6.0,4.0,555.8,5.0,4.0,722.9
