1,牧山 敦也,牧山 敦也.1,2,青木 蓮,青木 蓮.1,3,阪本 勇介,阪本 勇介.1,4,大谷 直弘,大谷 直弘.1,5,畑田 希咲,畑田 希咲.1,6,古賀 繁輝,古賀 繁輝.1
2.0,3.0,26.0,1.0,3.0,35.7,1.0,2.0,144.9,1.0,2.0,128.4,1.0,2.0,1495.0,1.0,2.0,41.2
2.0,4.0,22.2,1.0,4.0,27.9,1.0,4.0,127.4,1.0,3.0,193.9,1.0,3.0,1929.0,1.0,3.0,77.9
2.0,5.0,365.3,1.0,5.0,320.6,1.0,5.0,660.7,1.0,5.0,662.5,1.0,4.0,2072.0,1.0,4.0,61.7
2.0,6.0,14.5,1.0,6.0,16.3,1.0,6.0,94.0,1.0,6.0,88.5,1.0,6.0,1741.0,1.0,5.0,511.1
3.0,2.0,43.4,3.0,1.0,63.5,2.0,1.0,135.8,2.0,1.0,129.4,2.0,1.0,2126.0,2.0,1.0,41.3
3.0,4.0,43.7,3.0,4.0,36.0,2.0,4.0,64.8,2.0,3.0,145.5,2.0,3.0,2539.0,2.0,3.0,60.9
3.0,5.0,447.0,3.0,5.0,473.1,2.0,5.0,572.7,2.0,5.0,691.9,2.0,4.0,2382.0,2.0,4.0,39.7
3.0,6.0,36.8,3.0,6.0,25.7,2.0,6.0,54.5,2.0,6.0,63.8,2.0,6.0,1899.0,2.0,5.0,425.2
4.0,2.0,39.4,4.0,1.0,44.6,4.0,1.0,162.3,3.0,1.0,260.9,3.0,1.0,3022.0,3.0,1.0,152.8
4.0,3.0,55.3,4.0,3.0,42.9,4.0,2.0,102.7,3.0,2.0,190.7,3.0,2.0,2382.0,3.0,2.0,113.8
4.0,5.0,540.9,4.0,5.0,383.7,4.0,5.0,678.4,3.0,5.0,1060.0,3.0,4.0,2781.0,3.0,4.0,132.9
4.0,6.0,30.8,4.0,6.0,19.9,4.0,6.0,92.0,3.0,6.0,152.5,3.0,6.0,3193.0,3.0,5.0,891.9
5.0,2.0,799.3,5.0,1.0,679.7,5.0,1.0,1448.0,5.0,1.0,1669.0,4.0,1.0,2398.0,4.0,1.0,86.5
5.0,3.0,650.7,5.0,3.0,1022.0,5.0,2.0,1265.0,5.0,2.0,1292.0,4.0,2.0,2813.0,4.0,2.0,60.7
5.0,4.0,1185.0,5.0,4.0,954.8,5.0,4.0,1382.0,5.0,3.0,1697.0,4.0,3.0,2985.0,4.0,3.0,120.6
5.0,6.0,798.4,5.0,6.0,548.7,5.0,6.0,1325.0,5.0,6.0,980.4,4.0,6.0,1966.0,4.0,5.0,510.0
6.0,2.0,19.9,6.0,1.0,21.7,6.0,1.0,111.3,6.0,1.0,77.6,6.0,1.0,2405.0,5.0,1.0,1137.0
6.0,3.0,40.0,6.0,3.0,25.1,6.0,2.0,75.6,6.0,2.0,58.3,6.0,2.0,1889.0,5.0,2.0,815.4
6.0,4.0,32.8,6.0,4.0,17.9,6.0,4.0,92.5,6.0,3.0,111.7,6.0,3.0,2760.0,5.0,3.0,1387.0
6.0,5.0,438.7,6.0,5.0,293.5,6.0,5.0,622.4,6.0,5.0,454.5,6.0,4.0,1758.0,5.0,4.0,1063.0
