1,松崎　祐太郎,松崎　祐太郎.1,2,宮地 秀祈,宮地 秀祈.1,3,丸山 祐也,丸山 祐也.1,4,小川 晃司,小川 晃司.1,5,水摩 敦,水摩 敦.1,6,前田 将太,前田 将太.1
2.0,3.0,62.7,1.0,3.0,621.9,1.0,2.0,391.7,1.0,2.0,1007.0,1.0,2.0,107.4,1.0,2.0,86.3
2.0,4.0,102.2,1.0,4.0,801.6,1.0,4.0,280.3,1.0,3.0,974.6,1.0,3.0,82.6,1.0,3.0,72.1
2.0,5.0,41.9,1.0,5.0,514.2,1.0,5.0,126.3,1.0,5.0,368.1,1.0,4.0,50.7,1.0,4.0,42.9
2.0,6.0,38.8,1.0,6.0,380.4,1.0,6.0,108.1,1.0,6.0,383.4,1.0,6.0,16.7,1.0,5.0,25.5
3.0,2.0,65.6,3.0,1.0,866.6,2.0,1.0,722.0,2.0,1.0,1331.0,2.0,1.0,307.7,2.0,1.0,282.2
3.0,4.0,75.7,3.0,4.0,1743.0,2.0,4.0,1364.0,2.0,3.0,1959.0,2.0,3.0,750.3,2.0,3.0,677.0
3.0,5.0,21.7,3.0,5.0,1850.0,2.0,5.0,1157.0,2.0,5.0,1264.0,2.0,4.0,460.4,2.0,4.0,409.4
3.0,6.0,22.3,3.0,6.0,1384.0,2.0,6.0,997.4,2.0,6.0,1266.0,2.0,6.0,229.9,2.0,5.0,347.0
4.0,2.0,171.2,4.0,1.0,1756.0,4.0,1.0,793.7,3.0,1.0,1623.0,3.0,1.0,172.2,3.0,1.0,179.2
4.0,3.0,143.1,4.0,3.0,2775.0,4.0,2.0,1735.0,3.0,2.0,2775.0,3.0,2.0,691.8,3.0,2.0,636.1
4.0,5.0,88.5,4.0,5.0,2048.0,4.0,5.0,745.7,3.0,5.0,1556.0,3.0,4.0,258.1,3.0,4.0,277.3
4.0,6.0,61.3,4.0,6.0,1530.0,4.0,6.0,689.8,3.0,6.0,1377.0,3.0,6.0,114.7,3.0,5.0,185.2
5.0,2.0,33.4,5.0,1.0,724.9,5.0,1.0,163.5,5.0,1.0,476.1,4.0,1.0,124.2,4.0,1.0,110.7
5.0,3.0,21.8,5.0,3.0,1371.0,5.0,2.0,729.2,5.0,2.0,1366.0,4.0,2.0,449.3,4.0,2.0,359.0
5.0,4.0,30.8,5.0,4.0,1477.0,5.0,4.0,324.8,5.0,3.0,1145.0,4.0,3.0,422.9,4.0,3.0,295.9
5.0,6.0,7.6,5.0,6.0,697.1,5.0,6.0,120.9,5.0,6.0,234.9,4.0,6.0,70.5,4.0,5.0,101.6
6.0,2.0,29.6,6.0,1.0,697.8,6.0,1.0,167.6,6.0,1.0,422.2,6.0,1.0,15.0,5.0,1.0,24.7
6.0,3.0,22.1,6.0,3.0,1560.0,6.0,2.0,678.9,6.0,2.0,1289.0,6.0,2.0,82.8,5.0,2.0,126.0
6.0,4.0,23.7,6.0,4.0,1339.0,6.0,4.0,308.2,6.0,3.0,1080.0,6.0,3.0,68.4,5.0,3.0,99.5
6.0,5.0,10.5,6.0,5.0,811.5,6.0,5.0,147.3,6.0,5.0,262.3,6.0,4.0,20.4,5.0,4.0,34.7
