1,宮武 英司,宮武 英司.1,2,山口 達也,山口 達也.1,3,門間 雄大,門間 雄大.1,4,寺嶋 雄,寺嶋 雄.1,5,船越 健吾,船越 健吾.1,6,井上 大輔,井上 大輔.1
2.0,3.0,7.7,1.0,3.0,7.5,1.0,2.0,93.6,1.0,2.0,149.9,1.0,2.0,210.9,1.0,2.0,219.9
2.0,4.0,10.1,1.0,4.0,11.6,1.0,4.0,189.9,1.0,3.0,345.1,1.0,3.0,491.2,1.0,3.0,837.7
2.0,5.0,16.7,1.0,5.0,15.9,1.0,5.0,210.0,1.0,5.0,360.5,1.0,4.0,556.1,1.0,4.0,590.3
2.0,6.0,15.6,1.0,6.0,14.2,1.0,6.0,243.2,1.0,6.0,316.4,1.0,6.0,356.6,1.0,5.0,810.7
3.0,2.0,18.1,3.0,1.0,35.4,2.0,1.0,115.9,2.0,1.0,164.6,2.0,1.0,268.4,2.0,1.0,242.9
3.0,4.0,38.6,3.0,4.0,85.2,2.0,4.0,241.4,2.0,3.0,338.1,2.0,3.0,545.6,2.0,3.0,666.2
3.0,5.0,52.3,3.0,5.0,89.1,2.0,5.0,236.9,2.0,5.0,405.3,2.0,4.0,736.8,2.0,4.0,573.5
3.0,6.0,53.1,3.0,6.0,81.9,2.0,6.0,246.2,2.0,6.0,316.9,2.0,6.0,388.9,2.0,5.0,859.0
4.0,2.0,28.7,4.0,1.0,56.1,4.0,1.0,404.5,3.0,1.0,677.4,3.0,1.0,794.8,3.0,1.0,1328.0
4.0,3.0,56.6,4.0,3.0,119.6,4.0,2.0,446.6,3.0,2.0,739.5,3.0,2.0,794.8,3.0,2.0,1166.0
4.0,5.0,91.4,4.0,5.0,185.7,4.0,5.0,606.2,3.0,5.0,1085.0,3.0,4.0,1770.0,3.0,4.0,1577.0
4.0,6.0,69.8,4.0,6.0,118.4,4.0,6.0,507.2,3.0,6.0,965.9,3.0,6.0,1319.0,3.0,5.0,1998.0
5.0,2.0,50.4,5.0,1.0,54.3,5.0,1.0,463.0,5.0,1.0,468.4,4.0,1.0,794.8,4.0,1.0,885.4
5.0,3.0,102.7,5.0,3.0,163.7,5.0,2.0,484.1,5.0,2.0,460.9,4.0,2.0,901.2,4.0,2.0,820.6
5.0,4.0,143.2,5.0,4.0,221.8,5.0,4.0,980.0,5.0,3.0,1319.0,4.0,3.0,2018.0,4.0,3.0,2194.0
5.0,6.0,118.8,5.0,6.0,105.9,5.0,6.0,862.7,5.0,6.0,557.6,4.0,6.0,1019.0,4.0,5.0,1786.0
6.0,2.0,56.8,6.0,1.0,50.7,6.0,1.0,567.0,6.0,1.0,392.7,6.0,1.0,689.0,5.0,1.0,1253.0
6.0,3.0,163.6,6.0,3.0,167.9,6.0,2.0,556.1,6.0,2.0,442.7,6.0,2.0,628.9,5.0,2.0,1046.0
6.0,4.0,151.6,6.0,4.0,175.4,6.0,4.0,841.1,6.0,3.0,984.8,6.0,3.0,1628.0,5.0,3.0,2462.0
6.0,5.0,191.1,6.0,5.0,135.3,6.0,5.0,939.0,6.0,5.0,794.8,6.0,4.0,1216.0,5.0,4.0,1922.0
