1,出畑 孝典,出畑 孝典.1,2,大神 康司,大神 康司.1,3,芦澤 望,芦澤 望.1,4,嶋田 有里,嶋田 有里.1,5,眞田 英二,眞田 英二.1,6,福嶋 智之,福嶋 智之.1
2.0,3.0,3.3,1.0,3.0,15.6,1.0,2.0,44.3,1.0,2.0,681.4,1.0,2.0,249.9,1.0,2.0,798.2
2.0,4.0,29.0,1.0,4.0,90.4,1.0,4.0,137.8,1.0,3.0,647.0,1.0,3.0,283.7,1.0,3.0,878.2
2.0,5.0,10.4,1.0,5.0,43.7,1.0,5.0,67.9,1.0,5.0,1338.0,1.0,4.0,1146.0,1.0,4.0,2591.0
2.0,6.0,23.4,1.0,6.0,86.1,1.0,6.0,120.1,1.0,6.0,1575.0,1.0,6.0,555.5,1.0,5.0,1524.0
3.0,2.0,4.5,3.0,1.0,44.3,2.0,1.0,78.7,2.0,1.0,961.7,2.0,1.0,381.4,2.0,1.0,1283.0
3.0,4.0,23.8,3.0,4.0,314.4,2.0,4.0,472.6,2.0,3.0,1649.0,2.0,3.0,656.7,2.0,3.0,1789.0
3.0,5.0,9.1,3.0,5.0,143.5,2.0,5.0,229.4,2.0,5.0,2469.0,2.0,4.0,1551.0,2.0,4.0,3372.0
3.0,6.0,19.6,3.0,6.0,266.6,2.0,6.0,397.6,2.0,6.0,2238.0,2.0,6.0,929.4,2.0,5.0,2739.0
4.0,2.0,99.9,4.0,1.0,546.8,4.0,1.0,612.4,3.0,1.0,1302.0,3.0,1.0,502.9,3.0,1.0,1292.0
4.0,3.0,109.9,4.0,3.0,855.4,4.0,2.0,967.0,3.0,2.0,2039.0,3.0,2.0,788.7,3.0,2.0,1919.0
4.0,5.0,176.1,4.0,5.0,1258.0,4.0,5.0,1133.0,3.0,5.0,2783.0,3.0,4.0,2493.0,3.0,4.0,3350.0
4.0,6.0,225.5,4.0,6.0,1433.0,4.0,6.0,1305.0,3.0,6.0,3247.0,3.0,6.0,1759.0,3.0,5.0,2798.0
5.0,2.0,31.6,5.0,1.0,217.7,5.0,1.0,258.1,5.0,1.0,1885.0,4.0,1.0,2529.0,4.0,1.0,2906.0
5.0,3.0,29.4,5.0,3.0,290.1,5.0,2.0,367.1,5.0,2.0,2670.0,4.0,2.0,3372.0,4.0,2.0,4916.0
5.0,4.0,185.6,5.0,4.0,1169.0,5.0,4.0,1011.0,5.0,3.0,2813.0,4.0,3.0,3554.0,4.0,3.0,5157.0
5.0,6.0,95.1,5.0,6.0,642.3,5.0,6.0,666.7,5.0,6.0,2201.0,4.0,6.0,3006.0,4.0,5.0,5107.0
6.0,2.0,123.6,6.0,1.0,651.8,6.0,1.0,666.7,6.0,1.0,2604.0,6.0,1.0,1025.0,5.0,1.0,2413.0
6.0,3.0,120.6,6.0,3.0,988.8,6.0,2.0,932.7,6.0,2.0,3507.0,6.0,2.0,1366.0,5.0,2.0,3350.0
6.0,4.0,356.9,6.0,4.0,1507.0,6.0,4.0,1941.0,6.0,3.0,3704.0,6.0,3.0,1747.0,5.0,3.0,3955.0
6.0,5.0,205.2,6.0,5.0,1425.0,6.0,5.0,1148.0,6.0,5.0,2989.0,6.0,4.0,2617.0,5.0,4.0,3925.0
