1,金子 賢志,金子 賢志.1,2,高橋 直哉,高橋 直哉.1,3,長畑 友輔,長畑 友輔.1,4,柴田 大輔,柴田 大輔.1,5,森 雄利,森 雄利.1,6,樋口 亮,樋口 亮.1
2.0,3.0,10.2,1.0,3.0,50.3,1.0,2.0,49.9,1.0,2.0,184.6,1.0,2.0,1098.0,1.0,2.0,51.0
2.0,4.0,20.0,1.0,4.0,107.5,1.0,4.0,74.9,1.0,3.0,177.3,1.0,3.0,1216.0,1.0,3.0,50.6
2.0,5.0,187.8,1.0,5.0,534.1,1.0,5.0,305.8,1.0,5.0,487.3,1.0,4.0,1586.0,1.0,4.0,90.0
2.0,6.0,9.7,1.0,6.0,50.8,1.0,6.0,31.3,1.0,6.0,106.0,1.0,6.0,1383.0,1.0,5.0,260.9
3.0,2.0,10.8,3.0,1.0,87.4,2.0,1.0,91.4,2.0,1.0,344.7,2.0,1.0,2142.0,2.0,1.0,107.2
3.0,4.0,17.3,3.0,4.0,187.6,2.0,4.0,207.3,2.0,3.0,505.4,2.0,3.0,2993.0,2.0,3.0,135.2
3.0,5.0,140.1,3.0,5.0,817.8,2.0,5.0,741.6,2.0,5.0,1182.0,2.0,4.0,4350.0,2.0,4.0,278.7
3.0,6.0,8.0,3.0,6.0,85.0,2.0,6.0,83.9,2.0,6.0,304.7,2.0,6.0,2637.0,2.0,5.0,730.1
4.0,2.0,36.6,4.0,1.0,293.0,4.0,1.0,178.8,3.0,1.0,324.3,3.0,1.0,1765.0,3.0,1.0,90.8
4.0,3.0,36.2,4.0,3.0,392.2,4.0,2.0,292.6,3.0,2.0,475.2,3.0,2.0,2153.0,3.0,2.0,127.8
4.0,5.0,191.6,4.0,5.0,1736.0,4.0,5.0,859.5,3.0,5.0,1031.0,3.0,4.0,2993.0,3.0,4.0,221.5
4.0,6.0,28.5,4.0,6.0,302.0,4.0,6.0,146.0,3.0,6.0,248.3,3.0,6.0,2048.0,3.0,5.0,646.2
5.0,2.0,357.9,5.0,1.0,1470.0,5.0,1.0,1140.0,5.0,1.0,963.5,4.0,1.0,1867.0,4.0,1.0,149.7
5.0,3.0,394.0,5.0,3.0,2028.0,5.0,2.0,1137.0,5.0,2.0,1485.0,4.0,2.0,3907.0,4.0,2.0,258.1
5.0,4.0,470.4,5.0,4.0,3036.0,5.0,4.0,1765.0,5.0,3.0,2078.0,4.0,3.0,4178.0,4.0,3.0,239.9
5.0,6.0,325.8,5.0,6.0,2099.0,5.0,6.0,1110.0,5.0,6.0,790.2,4.0,6.0,2068.0,4.0,5.0,500.0
6.0,2.0,11.8,6.0,1.0,100.0,6.0,1.0,55.8,6.0,1.0,110.2,6.0,1.0,1875.0,5.0,1.0,782.9
6.0,3.0,11.4,6.0,3.0,121.5,6.0,2.0,84.3,6.0,2.0,194.5,6.0,2.0,2851.0,5.0,2.0,1110.0
6.0,4.0,25.2,6.0,4.0,279.2,6.0,4.0,128.9,6.0,3.0,186.7,6.0,3.0,2910.0,5.0,3.0,1195.0
6.0,5.0,122.1,6.0,5.0,944.1,6.0,5.0,517.1,6.0,5.0,352.5,6.0,4.0,2197.0,5.0,4.0,1082.0
