1,乙藤 智史,乙藤 智史.1,2,大場 広孝,大場 広孝.1,3,田中 勇輔,田中 勇輔.1,4,津留　浩一郎,津留　浩一郎.1,5,冨田 秀幸,冨田 秀幸.1,6,中井 俊祐,中井 俊祐.1
2.0,3.0,10.0,1.0,3.0,46.7,1.0,2.0,55.8,1.0,2.0,39.4,1.0,2.0,916.3,1.0,2.0,349.9
2.0,4.0,8.7,1.0,4.0,42.2,1.0,4.0,43.1,1.0,3.0,47.1,1.0,3.0,978.2,1.0,3.0,352.1
2.0,5.0,48.5,1.0,5.0,176.8,1.0,5.0,134.3,1.0,5.0,61.5,1.0,4.0,829.0,1.0,4.0,342.6
2.0,6.0,26.1,1.0,6.0,104.9,1.0,6.0,73.9,1.0,6.0,61.1,1.0,6.0,1127.0,1.0,5.0,667.7
3.0,2.0,13.6,3.0,1.0,112.3,2.0,1.0,104.0,2.0,1.0,69.8,2.0,1.0,1203.0,2.0,1.0,551.8
3.0,4.0,12.8,3.0,4.0,125.2,2.0,4.0,82.1,2.0,3.0,102.9,2.0,3.0,1522.0,2.0,3.0,673.4
3.0,5.0,58.8,3.0,5.0,473.7,2.0,5.0,252.1,2.0,5.0,143.6,2.0,4.0,1487.0,2.0,4.0,659.8
3.0,6.0,24.3,3.0,6.0,243.3,2.0,6.0,161.5,2.0,6.0,137.7,2.0,6.0,1278.0,2.0,5.0,1218.0
4.0,2.0,13.0,4.0,1.0,102.5,4.0,1.0,46.1,3.0,1.0,58.4,3.0,1.0,1308.0,3.0,1.0,606.6
4.0,3.0,17.7,4.0,3.0,132.5,4.0,2.0,64.8,3.0,2.0,76.3,3.0,2.0,1665.0,3.0,2.0,705.0
4.0,5.0,56.1,4.0,5.0,417.6,4.0,5.0,69.9,3.0,5.0,93.1,3.0,4.0,1266.0,3.0,4.0,646.7
4.0,6.0,29.9,4.0,6.0,213.3,4.0,6.0,54.3,3.0,6.0,84.8,3.0,6.0,1623.0,3.0,5.0,1258.0
5.0,2.0,151.1,5.0,1.0,679.3,5.0,1.0,416.7,5.0,1.0,103.3,4.0,1.0,897.4,4.0,1.0,373.7
5.0,3.0,165.1,5.0,3.0,859.9,5.0,2.0,472.0,5.0,2.0,170.2,4.0,2.0,1250.0,4.0,2.0,467.4
5.0,4.0,190.5,5.0,4.0,988.1,5.0,4.0,234.5,5.0,3.0,220.8,4.0,3.0,922.8,4.0,3.0,502.3
5.0,6.0,217.3,5.0,6.0,1083.0,5.0,6.0,434.7,5.0,6.0,105.2,4.0,6.0,899.5,4.0,5.0,604.7
6.0,2.0,73.8,6.0,1.0,347.5,6.0,1.0,190.4,6.0,1.0,72.7,6.0,1.0,1651.0,5.0,1.0,1487.0
6.0,3.0,78.6,6.0,3.0,447.1,6.0,2.0,244.0,6.0,2.0,125.0,6.0,2.0,1644.0,5.0,2.0,1565.0
6.0,4.0,68.7,6.0,4.0,440.1,6.0,4.0,160.6,6.0,3.0,154.2,6.0,3.0,2126.0,5.0,3.0,1686.0
6.0,5.0,197.0,6.0,5.0,1043.0,6.0,5.0,450.2,6.0,5.0,106.8,6.0,4.0,1274.0,5.0,4.0,1121.0
