1,前原 大道,前原 大道.1,2,津田 陸翔,津田 陸翔.1,3,仲本 舜,仲本 舜.1,4,藤森 陸斗,藤森 陸斗.1,5,栗原 一馬,栗原 一馬.1,6,西丸　侑太朗,西丸　侑太朗.1
2.0,3.0,8.1,1.0,3.0,31.7,1.0,2.0,105.3,1.0,2.0,84.2,1.0,2.0,560.6,1.0,2.0,190.2
2.0,4.0,5.7,1.0,4.0,18.3,1.0,4.0,125.4,1.0,3.0,222.9,1.0,3.0,906.6,1.0,3.0,503.2
2.0,5.0,14.7,1.0,5.0,47.1,1.0,5.0,205.3,1.0,5.0,171.4,1.0,4.0,726.4,1.0,4.0,338.6
2.0,6.0,12.7,1.0,6.0,30.3,1.0,6.0,151.4,1.0,6.0,116.4,1.0,6.0,894.1,1.0,5.0,754.5
3.0,2.0,17.4,3.0,1.0,96.2,2.0,1.0,162.5,2.0,1.0,114.7,2.0,1.0,788.0,2.0,1.0,260.3
3.0,4.0,24.5,3.0,4.0,106.1,2.0,4.0,181.2,2.0,3.0,307.4,2.0,3.0,1429.0,2.0,3.0,721.9
3.0,5.0,44.7,3.0,5.0,186.0,2.0,5.0,302.2,2.0,5.0,237.1,2.0,4.0,1069.0,2.0,4.0,375.0
3.0,6.0,36.8,3.0,6.0,134.0,2.0,6.0,214.1,2.0,6.0,143.1,2.0,6.0,1220.0,2.0,5.0,905.2
4.0,2.0,14.1,4.0,1.0,53.6,4.0,1.0,245.0,3.0,1.0,404.1,3.0,1.0,1338.0,3.0,1.0,947.7
4.0,3.0,32.3,4.0,3.0,108.3,4.0,2.0,284.6,3.0,2.0,462.2,3.0,2.0,1856.0,3.0,2.0,1051.0
4.0,5.0,38.9,4.0,5.0,125.8,4.0,5.0,417.3,3.0,5.0,694.4,3.0,4.0,2266.0,3.0,4.0,1405.0
4.0,6.0,32.4,4.0,6.0,66.2,4.0,6.0,277.9,3.0,6.0,398.3,3.0,6.0,2386.0,3.0,5.0,1929.0
5.0,2.0,49.8,5.0,1.0,213.2,5.0,1.0,578.4,5.0,1.0,256.5,4.0,1.0,857.4,4.0,1.0,539.9
5.0,3.0,93.2,5.0,3.0,373.8,5.0,2.0,766.4,5.0,2.0,324.5,4.0,2.0,958.6,4.0,2.0,445.3
5.0,4.0,90.2,5.0,4.0,278.3,5.0,4.0,716.6,5.0,3.0,643.3,4.0,3.0,1761.0,4.0,3.0,1208.0
5.0,6.0,106.4,5.0,6.0,339.7,5.0,6.0,849.9,5.0,6.0,291.5,4.0,6.0,1046.0,4.0,5.0,1157.0
6.0,2.0,41.5,6.0,1.0,105.4,6.0,1.0,375.0,6.0,1.0,188.6,6.0,1.0,1302.0,5.0,1.0,1624.0
6.0,3.0,91.9,6.0,3.0,245.4,6.0,2.0,425.2,6.0,2.0,190.7,6.0,2.0,1563.0,5.0,2.0,1584.0
6.0,4.0,69.0,6.0,4.0,120.3,6.0,4.0,457.2,6.0,3.0,486.0,6.0,3.0,2157.0,5.0,3.0,2658.0
6.0,5.0,161.8,6.0,5.0,306.8,6.0,5.0,905.2,6.0,5.0,357.8,6.0,4.0,1148.0,5.0,4.0,1571.0
