1,岩津 徹郎,岩津 徹郎.1,2,檀 将太,檀 将太.1,3,藤田 竜弘,藤田 竜弘.1,4,今泉 友吾,今泉 友吾.1,5,西野 翔太,西野 翔太.1,6,山口 修路,山口 修路.1
2.0,3.0,73.0,1.0,3.0,244.7,1.0,2.0,152.2,1.0,2.0,134.2,1.0,2.0,274.7,1.0,2.0,1950.0
2.0,4.0,60.5,1.0,4.0,184.7,1.0,4.0,20.3,1.0,3.0,38.3,1.0,3.0,88.0,1.0,3.0,1208.0
2.0,5.0,118.8,1.0,5.0,361.8,1.0,5.0,22.3,1.0,5.0,31.0,1.0,4.0,71.0,1.0,4.0,1208.0
2.0,6.0,271.8,1.0,6.0,690.7,1.0,6.0,109.0,1.0,6.0,83.2,1.0,6.0,195.0,1.0,5.0,1569.0
3.0,2.0,56.4,3.0,1.0,368.2,2.0,1.0,356.0,2.0,1.0,261.0,2.0,1.0,409.5,2.0,1.0,2673.0
3.0,4.0,9.9,3.0,4.0,346.2,2.0,4.0,252.6,2.0,3.0,333.8,2.0,3.0,755.8,2.0,3.0,2187.0
3.0,5.0,13.1,3.0,5.0,481.2,2.0,5.0,318.7,2.0,5.0,306.5,2.0,4.0,618.3,2.0,4.0,2138.0
3.0,6.0,72.4,3.0,6.0,651.7,2.0,6.0,666.8,2.0,6.0,497.8,2.0,6.0,943.6,2.0,5.0,2426.0
4.0,2.0,46.9,4.0,1.0,333.8,4.0,1.0,30.7,3.0,1.0,49.7,3.0,1.0,91.1,3.0,1.0,1343.0
4.0,3.0,11.8,4.0,3.0,425.2,4.0,2.0,155.6,3.0,2.0,209.6,3.0,2.0,346.2,3.0,2.0,2171.0
4.0,5.0,13.7,4.0,5.0,495.2,4.0,5.0,19.5,3.0,5.0,27.2,3.0,4.0,56.8,3.0,4.0,627.7
4.0,6.0,39.0,4.0,6.0,714.7,4.0,6.0,59.1,3.0,6.0,99.7,3.0,6.0,185.9,3.0,5.0,985.4
5.0,2.0,123.6,5.0,1.0,723.6,5.0,1.0,42.8,5.0,1.0,34.3,4.0,1.0,71.8,4.0,1.0,1552.0
5.0,3.0,29.9,5.0,3.0,697.4,5.0,2.0,233.4,5.0,2.0,149.9,4.0,2.0,241.0,4.0,2.0,1850.0
5.0,4.0,27.3,5.0,4.0,663.7,5.0,4.0,25.6,5.0,3.0,25.7,4.0,3.0,47.0,4.0,3.0,742.2
5.0,6.0,115.8,5.0,6.0,1249.0,5.0,6.0,104.6,5.0,6.0,53.7,4.0,6.0,95.0,4.0,5.0,634.6
6.0,2.0,694.1,6.0,1.0,1950.0,6.0,1.0,369.7,6.0,1.0,255.0,6.0,1.0,436.1,5.0,1.0,1552.0
6.0,3.0,308.4,6.0,3.0,1527.0,6.0,2.0,653.2,6.0,2.0,614.3,6.0,2.0,919.5,5.0,2.0,1739.0
6.0,4.0,191.3,6.0,4.0,1496.0,6.0,4.0,218.7,6.0,3.0,240.2,6.0,3.0,338.1,5.0,3.0,1006.0
6.0,5.0,379.4,6.0,5.0,2123.0,6.0,5.0,274.2,6.0,5.0,175.5,6.0,4.0,259.6,5.0,4.0,584.5
