1,宮武 英司,宮武 英司.1,2,水原 慎,水原 慎.1,3,海野　ゆかり,海野　ゆかり.1,4,中北 涼,中北 涼.1,5,笠 雅雄,笠 雅雄.1,6,芝田 浩治,芝田 浩治.1
2.0,3.0,19.2,1.0,3.0,45.7,1.0,2.0,30.2,1.0,2.0,539.1,1.0,2.0,333.6,1.0,2.0,119.6
2.0,4.0,69.7,1.0,4.0,138.7,1.0,4.0,45.5,1.0,3.0,323.1,1.0,3.0,188.3,1.0,3.0,53.2
2.0,5.0,43.6,1.0,5.0,120.6,1.0,5.0,29.3,1.0,5.0,635.0,1.0,4.0,793.5,1.0,4.0,259.3
2.0,6.0,25.5,1.0,6.0,62.5,1.0,6.0,12.7,1.0,6.0,349.7,1.0,6.0,161.1,1.0,5.0,129.0
3.0,2.0,13.8,3.0,1.0,85.3,2.0,1.0,72.4,2.0,1.0,735.5,2.0,1.0,601.7,2.0,1.0,281.6
3.0,4.0,27.4,3.0,4.0,312.4,2.0,4.0,248.8,2.0,3.0,1112.0,2.0,3.0,866.0,2.0,3.0,329.1
3.0,5.0,15.6,3.0,5.0,276.5,2.0,5.0,191.9,2.0,5.0,1445.0,2.0,4.0,1917.0,2.0,4.0,935.1
3.0,6.0,7.4,3.0,6.0,142.3,2.0,6.0,87.8,2.0,6.0,1011.0,2.0,6.0,645.0,2.0,5.0,630.9
4.0,2.0,109.5,4.0,1.0,427.7,4.0,1.0,103.1,3.0,1.0,369.4,3.0,1.0,256.2,3.0,1.0,62.6
4.0,3.0,76.7,4.0,3.0,706.0,4.0,2.0,246.2,3.0,2.0,828.2,3.0,2.0,753.5,3.0,2.0,195.8
4.0,5.0,159.3,4.0,5.0,1066.0,4.0,5.0,184.4,3.0,5.0,667.7,3.0,4.0,805.2,3.0,4.0,257.0
4.0,6.0,93.8,4.0,6.0,772.4,4.0,6.0,91.8,3.0,6.0,367.4,3.0,6.0,243.4,3.0,5.0,157.0
5.0,2.0,79.7,5.0,1.0,340.3,5.0,1.0,74.5,5.0,1.0,915.9,4.0,1.0,1412.0,4.0,1.0,593.7
5.0,3.0,38.5,5.0,3.0,538.5,5.0,2.0,190.5,5.0,2.0,1772.0,4.0,2.0,2250.0,4.0,2.0,1222.0
5.0,4.0,175.6,5.0,4.0,1263.0,5.0,4.0,226.2,5.0,3.0,936.8,4.0,3.0,1170.0,4.0,3.0,553.0
5.0,6.0,37.0,5.0,6.0,468.8,5.0,6.0,56.9,5.0,6.0,776.0,4.0,6.0,1005.0,4.0,5.0,981.6
6.0,2.0,35.2,6.0,1.0,179.3,6.0,1.0,21.7,6.0,1.0,443.9,6.0,1.0,203.6,5.0,1.0,240.6
6.0,3.0,15.1,6.0,3.0,226.5,6.0,2.0,63.9,6.0,2.0,947.7,6.0,2.0,496.2,5.0,2.0,595.8
6.0,4.0,78.1,6.0,4.0,712.1,6.0,4.0,73.6,6.0,3.0,456.7,6.0,3.0,248.6,5.0,3.0,258.2
6.0,5.0,33.0,6.0,5.0,443.1,6.0,5.0,46.2,6.0,5.0,727.9,6.0,4.0,752.3,5.0,4.0,860.0
