1,尾嶋 一広,尾嶋 一広.1,2,北川 潤二,北川 潤二.1,3,溝口　海義也,溝口　海義也.1,4,花本 夏樹,花本 夏樹.1,5,花田 和明,花田 和明.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,4.2,1.0,3.0,30.1,1.0,2.0,26.2,1.0,2.0,50.9,1.0,2.0,604.9,1.0,2.0,1159.0
2.0,4.0,11.0,1.0,4.0,57.3,1.0,4.0,32.9,1.0,3.0,56.3,1.0,3.0,567.6,1.0,3.0,1376.0
2.0,5.0,21.6,1.0,5.0,126.7,1.0,5.0,66.6,1.0,5.0,187.7,1.0,4.0,953.2,1.0,4.0,1112.0
2.0,6.0,192.4,1.0,6.0,486.7,1.0,6.0,247.4,1.0,6.0,150.7,1.0,6.0,2179.0,1.0,5.0,2450.0
3.0,2.0,5.2,3.0,1.0,56.0,2.0,1.0,52.7,2.0,1.0,88.8,2.0,1.0,955.3,2.0,1.0,1721.0
3.0,4.0,8.4,3.0,4.0,134.1,2.0,4.0,104.6,2.0,3.0,120.3,2.0,3.0,1376.0,2.0,3.0,2026.0
3.0,5.0,17.5,3.0,5.0,283.1,2.0,5.0,216.5,2.0,5.0,393.5,2.0,4.0,2055.0,2.0,4.0,1700.0
3.0,6.0,134.9,3.0,6.0,807.6,2.0,6.0,515.7,2.0,6.0,281.2,2.0,6.0,3675.0,2.0,5.0,3189.0
4.0,2.0,20.7,4.0,1.0,169.4,4.0,1.0,76.7,3.0,1.0,92.9,3.0,1.0,850.4,3.0,1.0,1998.0
4.0,3.0,20.3,4.0,3.0,218.1,4.0,2.0,105.6,3.0,2.0,129.7,3.0,2.0,1465.0,3.0,2.0,1727.0
4.0,5.0,75.1,4.0,5.0,501.9,4.0,5.0,237.0,3.0,5.0,342.3,3.0,4.0,1532.0,3.0,4.0,2055.0
4.0,6.0,192.0,4.0,6.0,801.6,4.0,6.0,305.0,3.0,6.0,297.6,3.0,6.0,4053.0,3.0,5.0,3285.0
5.0,2.0,71.7,5.0,1.0,571.4,5.0,1.0,305.0,5.0,1.0,495.1,4.0,1.0,1218.0,4.0,1.0,944.9
5.0,3.0,61.1,5.0,3.0,699.5,5.0,2.0,488.4,5.0,2.0,668.2,4.0,2.0,1885.0,4.0,2.0,1092.0
5.0,4.0,134.0,5.0,4.0,691.7,5.0,4.0,379.1,5.0,3.0,645.4,4.0,3.0,1436.0,4.0,3.0,1188.0
5.0,6.0,536.1,5.0,6.0,2157.0,5.0,6.0,1577.0,5.0,6.0,822.9,4.0,6.0,2762.0,4.0,5.0,1799.0
6.0,2.0,514.4,6.0,1.0,2147.0,6.0,1.0,1035.0,6.0,1.0,217.7,6.0,1.0,4337.0,5.0,1.0,2745.0
6.0,3.0,516.9,6.0,3.0,2344.0,6.0,2.0,1100.0,6.0,2.0,271.2,6.0,2.0,5289.0,5.0,2.0,4471.0
6.0,4.0,536.1,6.0,4.0,1201.0,6.0,4.0,760.9,6.0,3.0,303.0,6.0,3.0,4130.0,5.0,3.0,3979.0
6.0,5.0,770.3,6.0,5.0,4252.0,6.0,5.0,1807.0,6.0,5.0,542.8,6.0,4.0,4053.0,5.0,4.0,3054.0
