1,山本 修一,山本 修一.1,2,田川 大貴,田川 大貴.1,3,小川　日紀太,小川　日紀太.1,4,吉村 誠,吉村 誠.1,5,長畑 友輔,長畑 友輔.1,6,石丸 小槙,石丸 小槙.1
2.0,3.0,8.9,1.0,3.0,48.2,1.0,2.0,228.9,1.0,2.0,43.2,1.0,2.0,257.2,1.0,2.0,314.0
2.0,4.0,4.2,1.0,4.0,22.7,1.0,4.0,225.7,1.0,3.0,112.4,1.0,3.0,587.4,1.0,3.0,612.2
2.0,5.0,11.5,1.0,5.0,48.1,1.0,5.0,482.7,1.0,5.0,55.9,1.0,4.0,256.5,1.0,4.0,403.5
2.0,6.0,34.9,1.0,6.0,114.7,1.0,6.0,745.6,1.0,6.0,146.6,1.0,6.0,522.2,1.0,5.0,784.4
3.0,2.0,21.6,3.0,1.0,232.5,2.0,1.0,396.3,2.0,1.0,75.7,2.0,1.0,417.9,2.0,1.0,460.3
3.0,4.0,21.9,3.0,4.0,416.0,2.0,4.0,660.6,2.0,3.0,312.4,2.0,3.0,922.9,2.0,3.0,941.3
3.0,5.0,43.9,3.0,5.0,571.3,2.0,5.0,929.7,2.0,5.0,150.0,2.0,4.0,491.5,2.0,4.0,605.3
3.0,6.0,97.5,3.0,6.0,827.5,2.0,6.0,1330.0,2.0,6.0,290.5,2.0,6.0,955.6,2.0,5.0,1364.0
4.0,2.0,6.7,4.0,1.0,70.6,4.0,1.0,497.4,3.0,1.0,381.1,3.0,1.0,1321.0,3.0,1.0,1680.0
4.0,3.0,18.2,4.0,3.0,283.1,4.0,2.0,729.7,3.0,2.0,644.7,3.0,2.0,1575.0,3.0,2.0,2176.0
4.0,5.0,15.9,4.0,5.0,167.5,4.0,5.0,1026.0,3.0,5.0,654.8,3.0,4.0,1673.0,3.0,4.0,2493.0
4.0,6.0,43.8,4.0,6.0,312.7,4.0,6.0,1470.0,3.0,6.0,1004.0,3.0,6.0,2091.0,3.0,5.0,2874.0
5.0,2.0,37.6,5.0,1.0,202.6,5.0,1.0,1001.0,5.0,1.0,83.9,4.0,1.0,268.7,4.0,1.0,851.9
5.0,3.0,84.7,5.0,3.0,609.2,5.0,2.0,1210.0,5.0,2.0,115.7,4.0,2.0,375.4,4.0,2.0,1075.0
5.0,4.0,44.7,5.0,4.0,274.6,5.0,4.0,1374.0,5.0,3.0,343.8,4.0,3.0,774.7,4.0,3.0,1911.0
5.0,6.0,107.9,5.0,6.0,536.3,5.0,6.0,1680.0,5.0,6.0,202.3,4.0,6.0,581.0,4.0,5.0,1719.0
6.0,2.0,101.4,6.0,1.0,476.6,6.0,1.0,2151.0,6.0,1.0,311.9,6.0,1.0,890.1,5.0,1.0,1263.0
6.0,3.0,206.4,6.0,3.0,1311.0,6.0,2.0,2295.0,6.0,2.0,427.4,6.0,2.0,1330.0,5.0,2.0,1602.0
6.0,4.0,117.5,6.0,4.0,745.6,6.0,4.0,2398.0,6.0,3.0,900.8,6.0,3.0,2115.0,5.0,3.0,2338.0
6.0,5.0,183.8,6.0,5.0,941.3,6.0,5.0,2810.0,6.0,5.0,477.2,6.0,4.0,1176.0,5.0,4.0,1644.0
