1,佐藤 航,佐藤 航.1,2,高橋 竜矢,高橋 竜矢.1,3,市川 健太,市川 健太.1,4,西丸　侑太朗,西丸　侑太朗.1,5,藤原 碧生,藤原 碧生.1,6,大原 祥昌,大原 祥昌.1
2.0,3.0,27.2,1.0,3.0,95.8,1.0,2.0,252.5,1.0,2.0,29.4,1.0,2.0,63.3,1.0,2.0,1343.0
2.0,4.0,10.7,1.0,4.0,37.5,1.0,4.0,226.3,1.0,3.0,96.8,1.0,3.0,195.4,1.0,3.0,2462.0
2.0,5.0,14.2,1.0,5.0,41.7,1.0,5.0,236.2,1.0,5.0,20.4,1.0,4.0,56.7,1.0,4.0,1576.0
2.0,6.0,102.6,1.0,6.0,240.7,1.0,6.0,650.3,1.0,6.0,67.3,1.0,6.0,122.4,1.0,5.0,1623.0
3.0,2.0,44.2,3.0,1.0,312.8,2.0,1.0,449.0,2.0,1.0,53.9,2.0,1.0,99.5,2.0,1.0,1638.0
3.0,4.0,46.7,3.0,4.0,329.0,2.0,4.0,389.2,2.0,3.0,171.0,2.0,3.0,268.2,2.0,3.0,3080.0
3.0,5.0,54.9,3.0,5.0,330.9,2.0,5.0,417.0,2.0,5.0,33.1,2.0,4.0,80.0,2.0,4.0,1890.0
3.0,6.0,151.6,3.0,6.0,899.7,2.0,6.0,1057.0,2.0,6.0,123.8,2.0,6.0,193.8,2.0,5.0,1857.0
4.0,2.0,15.1,4.0,1.0,80.9,4.0,1.0,355.6,3.0,1.0,274.2,3.0,1.0,473.2,3.0,1.0,3341.0
4.0,3.0,44.2,4.0,3.0,221.4,4.0,2.0,416.3,3.0,2.0,285.8,3.0,2.0,443.7,3.0,2.0,3341.0
4.0,5.0,15.9,4.0,5.0,65.7,4.0,5.0,258.0,3.0,5.0,168.7,3.0,4.0,358.1,3.0,4.0,3839.0
4.0,6.0,82.2,4.0,6.0,310.7,4.0,6.0,775.7,3.0,6.0,415.8,3.0,6.0,667.2,3.0,5.0,3327.0
5.0,2.0,27.8,5.0,1.0,103.4,5.0,1.0,434.7,5.0,1.0,15.4,4.0,1.0,37.5,4.0,1.0,1648.0
5.0,3.0,63.8,5.0,3.0,261.2,5.0,2.0,419.3,5.0,2.0,16.2,4.0,2.0,37.4,4.0,2.0,1761.0
5.0,4.0,28.3,5.0,4.0,90.3,5.0,4.0,330.6,5.0,3.0,74.6,4.0,3.0,148.1,4.0,3.0,3006.0
5.0,6.0,97.8,5.0,6.0,346.0,5.0,6.0,814.5,5.0,6.0,20.6,4.0,6.0,44.4,4.0,5.0,884.8
6.0,2.0,257.1,6.0,1.0,813.7,6.0,1.0,1909.0,6.0,1.0,141.4,6.0,1.0,259.7,5.0,1.0,1630.0
6.0,3.0,445.0,6.0,3.0,1518.0,6.0,2.0,1985.0,6.0,2.0,155.2,6.0,2.0,282.2,5.0,2.0,1623.0
6.0,4.0,293.8,6.0,4.0,1025.0,6.0,4.0,1786.0,6.0,3.0,342.7,6.0,3.0,576.2,5.0,3.0,2924.0
6.0,5.0,325.3,6.0,5.0,924.2,6.0,5.0,1964.0,6.0,5.0,85.6,6.0,4.0,203.7,5.0,4.0,886.9
