1,三苫 晃幸,三苫 晃幸.1,2,岩永 雅人,岩永 雅人.1,3,鈴木 成美,鈴木 成美.1,4,渡邊　伸太郎,渡邊　伸太郎.1,5,梶山 涼斗,梶山 涼斗.1,6,竹田 吉行,竹田 吉行.1
2.0,3.0,9.6,1.0,3.0,42.2,1.0,2.0,210.6,1.0,2.0,114.3,1.0,2.0,133.6,1.0,2.0,216.2
2.0,4.0,6.3,1.0,4.0,24.7,1.0,4.0,245.2,1.0,3.0,302.2,1.0,3.0,315.2,1.0,3.0,646.7
2.0,5.0,10.0,1.0,5.0,30.5,1.0,5.0,253.8,1.0,5.0,150.1,1.0,4.0,204.6,1.0,4.0,485.0
2.0,6.0,8.5,1.0,6.0,27.0,1.0,6.0,268.3,1.0,6.0,126.6,1.0,6.0,167.7,1.0,5.0,472.3
3.0,2.0,17.8,3.0,1.0,182.7,2.0,1.0,332.3,2.0,1.0,213.1,2.0,1.0,289.7,2.0,1.0,303.5
3.0,4.0,30.2,3.0,4.0,447.9,2.0,4.0,714.3,2.0,3.0,707.2,2.0,3.0,891.7,2.0,3.0,1083.0
3.0,5.0,32.6,3.0,5.0,449.3,2.0,5.0,693.6,2.0,5.0,368.1,2.0,4.0,512.7,2.0,4.0,721.5
3.0,6.0,42.8,3.0,6.0,406.1,2.0,6.0,726.9,2.0,6.0,289.7,2.0,6.0,384.4,2.0,5.0,776.1
4.0,2.0,15.0,4.0,1.0,93.4,4.0,1.0,609.6,3.0,1.0,642.4,3.0,1.0,774.0,3.0,1.0,1335.0
4.0,3.0,46.2,4.0,3.0,462.4,4.0,2.0,862.3,3.0,2.0,990.2,3.0,2.0,1139.0,3.0,2.0,1719.0
4.0,5.0,32.4,4.0,5.0,265.3,4.0,5.0,827.5,3.0,5.0,976.7,3.0,4.0,1414.0,3.0,4.0,2208.0
4.0,6.0,27.9,4.0,6.0,187.1,4.0,6.0,862.3,3.0,6.0,1018.0,3.0,6.0,1287.0,3.0,5.0,2392.0
5.0,2.0,24.0,5.0,1.0,155.9,5.0,1.0,639.5,5.0,1.0,188.0,4.0,1.0,348.9,4.0,1.0,784.5
5.0,3.0,65.1,5.0,3.0,580.1,5.0,2.0,905.8,5.0,2.0,285.7,4.0,2.0,477.8,4.0,2.0,862.3
5.0,4.0,52.4,5.0,4.0,350.6,5.0,4.0,1153.0,5.0,3.0,566.3,4.0,3.0,990.2,4.0,3.0,2111.0
5.0,6.0,41.1,5.0,6.0,284.3,5.0,6.0,914.5,5.0,6.0,202.9,4.0,6.0,370.0,4.0,5.0,1044.0
6.0,2.0,29.6,6.0,1.0,120.4,6.0,1.0,886.2,6.0,1.0,238.9,6.0,1.0,360.7,5.0,1.0,759.6
6.0,3.0,99.3,6.0,3.0,524.9,6.0,2.0,1172.0,6.0,2.0,328.5,6.0,2.0,449.3,5.0,2.0,963.6
6.0,4.0,63.0,6.0,4.0,275.8,6.0,4.0,1840.0,6.0,3.0,920.3,6.0,3.0,1075.0,5.0,3.0,2243.0
6.0,5.0,70.5,6.0,5.0,342.6,6.0,5.0,1729.0,6.0,5.0,328.5,6.0,4.0,503.7,5.0,4.0,1063.0
