1,西丸　侑太朗,西丸　侑太朗.1,2,中島 秀治,中島 秀治.1,3,小林 孝彰,小林 孝彰.1,4,大森 翼,大森 翼.1,5,竹下 大樹,竹下 大樹.1,6,井上 慧人,井上 慧人.1
2.0,3.0,9.2,1.0,3.0,40.7,1.0,2.0,163.2,1.0,2.0,274.9,1.0,2.0,20.5,1.0,2.0,957.2
2.0,4.0,18.2,1.0,4.0,68.0,1.0,4.0,328.0,1.0,3.0,648.9,1.0,3.0,53.0,1.0,3.0,2444.0
2.0,5.0,5.6,1.0,5.0,19.7,1.0,5.0,135.7,1.0,5.0,177.6,1.0,4.0,68.1,1.0,4.0,2326.0
2.0,6.0,74.6,1.0,6.0,189.3,1.0,6.0,772.8,1.0,6.0,528.5,1.0,6.0,54.5,1.0,5.0,799.8
3.0,2.0,17.3,3.0,1.0,150.3,2.0,1.0,270.6,2.0,1.0,452.1,2.0,1.0,34.2,2.0,1.0,1399.0
3.0,4.0,42.8,3.0,4.0,281.4,2.0,4.0,580.8,2.0,3.0,1231.0,2.0,3.0,94.2,2.0,3.0,3732.0
3.0,5.0,18.1,3.0,5.0,149.6,2.0,5.0,274.6,2.0,5.0,394.3,2.0,4.0,143.0,2.0,4.0,3167.0
3.0,6.0,186.4,3.0,6.0,831.6,2.0,6.0,1757.0,2.0,6.0,1163.0,2.0,6.0,99.8,2.0,5.0,1514.0
4.0,2.0,38.5,4.0,1.0,258.5,4.0,1.0,672.4,3.0,1.0,1273.0,3.0,1.0,177.1,3.0,1.0,4377.0
4.0,3.0,69.8,4.0,3.0,469.7,4.0,2.0,869.1,3.0,2.0,1441.0,3.0,2.0,225.9,3.0,2.0,5471.0
4.0,5.0,37.6,4.0,5.0,242.9,4.0,5.0,635.2,3.0,5.0,1082.0,3.0,4.0,476.2,3.0,4.0,6018.0
4.0,6.0,213.2,4.0,6.0,915.4,4.0,6.0,1997.0,3.0,6.0,2631.0,3.0,6.0,513.8,3.0,5.0,4913.0
5.0,2.0,6.9,5.0,1.0,39.8,5.0,1.0,185.8,5.0,1.0,168.7,4.0,1.0,127.0,4.0,1.0,3464.0
5.0,3.0,16.0,5.0,3.0,105.5,5.0,2.0,285.9,5.0,2.0,227.8,4.0,2.0,172.8,4.0,2.0,3464.0
5.0,4.0,25.9,5.0,4.0,157.9,5.0,4.0,502.6,5.0,3.0,607.9,4.0,3.0,491.8,4.0,3.0,5598.0
5.0,6.0,46.5,5.0,6.0,247.3,5.0,6.0,1185.0,5.0,6.0,372.1,4.0,6.0,252.4,4.0,5.0,3106.0
6.0,2.0,191.3,6.0,1.0,617.3,6.0,1.0,1783.0,6.0,1.0,1330.0,6.0,1.0,100.2,5.0,1.0,846.2
6.0,3.0,375.8,6.0,3.0,1341.0,6.0,2.0,2494.0,6.0,2.0,1563.0,6.0,2.0,134.4,5.0,2.0,1051.0
6.0,4.0,435.3,6.0,4.0,1654.0,6.0,4.0,2720.0,6.0,3.0,3028.0,6.0,3.0,359.8,5.0,3.0,2705.0
6.0,5.0,165.0,6.0,5.0,682.9,6.0,5.0,2084.0,6.0,5.0,1146.0,6.0,4.0,320.1,5.0,4.0,1903.0
