1,大野 芳顕,大野 芳顕.1,2,木山 誠一,木山 誠一.1,3,下田 哲也,下田 哲也.1,4,丸岡 正典,丸岡 正典.1,5,池田 雷太,池田 雷太.1,6,中山 雄太,中山 雄太.1
2.0,3.0,48.7,1.0,3.0,354.0,1.0,2.0,387.5,1.0,2.0,67.6,1.0,2.0,690.9,1.0,2.0,64.0
2.0,4.0,19.6,1.0,4.0,175.3,1.0,4.0,183.2,1.0,3.0,61.2,1.0,3.0,697.8,1.0,3.0,68.4
2.0,5.0,79.5,1.0,5.0,384.5,1.0,5.0,354.0,1.0,5.0,51.9,1.0,4.0,374.1,1.0,4.0,26.8
2.0,6.0,31.3,1.0,6.0,259.1,1.0,6.0,226.0,1.0,6.0,18.2,1.0,6.0,366.8,1.0,5.0,89.7
3.0,2.0,54.0,3.0,1.0,696.8,2.0,1.0,889.2,2.0,1.0,198.9,2.0,1.0,1215.0,2.0,1.0,141.9
3.0,4.0,16.1,3.0,4.0,1013.0,2.0,4.0,1253.0,2.0,3.0,539.8,2.0,3.0,2142.0,2.0,3.0,360.0
3.0,5.0,59.8,3.0,5.0,1529.0,2.0,5.0,1671.0,2.0,5.0,486.3,2.0,4.0,1574.0,2.0,4.0,191.7
3.0,6.0,25.9,3.0,6.0,1374.0,2.0,6.0,1605.0,2.0,6.0,199.5,2.0,6.0,1700.0,2.0,5.0,462.3
4.0,2.0,16.3,4.0,1.0,324.0,4.0,1.0,273.1,3.0,1.0,184.1,3.0,1.0,1052.0,3.0,1.0,170.4
4.0,3.0,12.7,4.0,3.0,953.7,4.0,2.0,1052.0,3.0,2.0,653.7,3.0,2.0,2615.0,3.0,2.0,491.3
4.0,5.0,23.8,4.0,5.0,1174.0,4.0,5.0,721.6,3.0,5.0,484.4,3.0,4.0,1660.0,3.0,4.0,220.2
4.0,6.0,6.8,4.0,6.0,514.7,4.0,6.0,320.4,3.0,6.0,195.2,3.0,6.0,1052.0,3.0,5.0,438.1
5.0,2.0,126.2,5.0,1.0,1149.0,5.0,1.0,865.4,5.0,1.0,102.6,4.0,1.0,398.3,4.0,1.0,36.0
5.0,3.0,119.7,5.0,3.0,2078.0,5.0,2.0,1808.0,5.0,2.0,312.5,4.0,2.0,1059.0,4.0,2.0,121.7
5.0,4.0,64.9,5.0,4.0,2078.0,5.0,4.0,1293.0,5.0,3.0,356.3,4.0,3.0,1133.0,4.0,3.0,126.8
5.0,6.0,63.9,5.0,6.0,1821.0,5.0,6.0,787.0,5.0,6.0,63.2,4.0,6.0,324.2,4.0,5.0,113.1
6.0,2.0,31.9,6.0,1.0,458.4,6.0,1.0,361.3,6.0,1.0,22.6,6.0,1.0,452.0,5.0,1.0,215.3
6.0,3.0,27.1,6.0,3.0,1385.0,6.0,2.0,1203.0,6.0,2.0,92.7,6.0,2.0,1279.0,5.0,2.0,671.8
6.0,4.0,10.8,6.0,4.0,634.1,6.0,4.0,403.9,6.0,3.0,89.1,6.0,3.0,832.8,5.0,3.0,511.4
6.0,5.0,45.4,6.0,5.0,1339.0,6.0,5.0,678.3,6.0,5.0,53.4,6.0,4.0,386.3,5.0,4.0,236.9
