1,長谷川 充,長谷川 充.1,2,杉山 正樹,杉山 正樹.1,3,田路 朋史,田路 朋史.1,4,渡邉　真奈美,渡邉　真奈美.1,5,青木 蓮,青木 蓮.1,6,山本 隆幸,山本 隆幸.1
2.0,3.0,11.6,1.0,3.0,15.0,1.0,2.0,50.7,1.0,2.0,164.2,1.0,2.0,93.7,1.0,2.0,298.9
2.0,4.0,21.0,1.0,4.0,24.6,1.0,4.0,70.4,1.0,3.0,208.2,1.0,3.0,161.4,1.0,3.0,686.4
2.0,5.0,15.8,1.0,5.0,19.8,1.0,5.0,57.5,1.0,5.0,152.7,1.0,4.0,201.6,1.0,4.0,837.8
2.0,6.0,29.3,1.0,6.0,27.8,1.0,6.0,96.5,1.0,6.0,205.6,1.0,6.0,177.5,1.0,5.0,843.4
3.0,2.0,21.1,3.0,1.0,38.1,2.0,1.0,64.4,2.0,1.0,187.9,2.0,1.0,118.3,2.0,1.0,329.8
3.0,4.0,36.6,3.0,4.0,47.4,2.0,4.0,63.7,2.0,3.0,177.1,2.0,3.0,160.1,2.0,3.0,465.1
3.0,5.0,30.9,3.0,5.0,39.9,2.0,5.0,55.4,2.0,5.0,161.0,2.0,4.0,220.5,2.0,4.0,545.2
3.0,6.0,60.3,3.0,6.0,52.0,2.0,6.0,84.4,2.0,6.0,201.6,2.0,6.0,166.3,2.0,5.0,532.8
4.0,2.0,52.3,4.0,1.0,71.1,4.0,1.0,91.7,3.0,1.0,203.5,3.0,1.0,224.1,3.0,1.0,1008.0
4.0,3.0,74.5,4.0,3.0,78.7,4.0,2.0,82.3,3.0,2.0,189.1,3.0,2.0,179.4,3.0,2.0,630.9
4.0,5.0,91.9,4.0,5.0,86.2,4.0,5.0,79.7,3.0,5.0,162.5,3.0,4.0,290.6,3.0,4.0,1362.0
4.0,6.0,120.6,4.0,6.0,86.1,4.0,6.0,99.6,3.0,6.0,208.1,3.0,6.0,318.1,3.0,5.0,1087.0
5.0,2.0,40.5,5.0,1.0,69.5,5.0,1.0,117.1,5.0,1.0,206.1,4.0,1.0,346.6,4.0,1.0,1144.0
5.0,3.0,68.4,5.0,3.0,81.6,5.0,2.0,92.7,5.0,2.0,196.6,4.0,2.0,295.0,4.0,2.0,673.1
5.0,4.0,110.6,5.0,4.0,116.2,5.0,4.0,106.5,5.0,3.0,239.5,4.0,3.0,443.8,4.0,3.0,1514.0
5.0,6.0,106.8,5.0,6.0,92.8,5.0,6.0,137.5,5.0,6.0,256.9,4.0,6.0,413.4,4.0,5.0,1287.0
6.0,2.0,93.6,6.0,1.0,99.3,6.0,1.0,306.4,6.0,1.0,506.0,6.0,1.0,365.5,5.0,1.0,996.1
6.0,3.0,187.9,6.0,3.0,126.5,6.0,2.0,200.3,6.0,2.0,349.4,6.0,2.0,285.4,5.0,2.0,665.6
6.0,4.0,196.6,6.0,4.0,152.1,6.0,4.0,269.1,6.0,3.0,632.1,6.0,3.0,471.6,5.0,3.0,1121.0
6.0,5.0,202.1,6.0,5.0,138.6,6.0,5.0,289.6,6.0,5.0,458.3,6.0,4.0,495.3,5.0,4.0,1158.0
