1,佐々木　裕美,佐々木　裕美.1,2,伊藤 玲奈,伊藤 玲奈.1,3,西澤　日花里,西澤　日花里.1,4,中川 りな,中川 りな.1,5,戸敷 晃美,戸敷 晃美.1,6,井上 遥妃,井上 遥妃.1
2.0,3.0,30.0,1.0,3.0,165.4,1.0,2.0,181.1,1.0,2.0,90.8,1.0,2.0,36.4,1.0,2.0,700.9
2.0,4.0,28.3,1.0,4.0,150.8,1.0,4.0,150.1,1.0,3.0,109.3,1.0,3.0,38.7,1.0,3.0,840.0
2.0,5.0,21.8,1.0,5.0,108.3,1.0,5.0,102.2,1.0,5.0,36.9,1.0,4.0,23.6,1.0,4.0,512.6
2.0,6.0,92.5,1.0,6.0,326.9,1.0,6.0,292.2,1.0,6.0,102.7,1.0,6.0,46.0,1.0,5.0,394.0
3.0,2.0,30.3,3.0,1.0,294.4,2.0,1.0,354.4,2.0,1.0,220.7,2.0,1.0,92.3,2.0,1.0,964.9
3.0,4.0,23.7,3.0,4.0,470.5,2.0,4.0,429.8,2.0,3.0,419.7,2.0,3.0,139.9,2.0,3.0,1471.0
3.0,5.0,15.9,3.0,5.0,296.3,2.0,5.0,252.4,2.0,5.0,197.3,2.0,4.0,122.3,2.0,4.0,1333.0
3.0,6.0,73.9,3.0,6.0,790.3,2.0,6.0,608.2,2.0,6.0,358.0,2.0,6.0,162.2,2.0,5.0,1290.0
4.0,2.0,27.3,4.0,1.0,256.0,4.0,1.0,219.3,3.0,1.0,226.7,3.0,1.0,91.5,3.0,1.0,1419.0
4.0,3.0,29.7,4.0,3.0,516.9,4.0,2.0,445.2,3.0,2.0,464.7,3.0,2.0,137.3,3.0,2.0,2122.0
4.0,5.0,12.9,4.0,5.0,272.2,4.0,5.0,190.3,3.0,5.0,209.3,3.0,4.0,113.3,3.0,4.0,1871.0
4.0,6.0,57.1,4.0,6.0,589.3,4.0,6.0,492.2,3.0,6.0,489.7,3.0,6.0,160.0,3.0,5.0,1317.0
5.0,2.0,17.8,5.0,1.0,145.8,5.0,1.0,126.4,5.0,1.0,36.3,4.0,1.0,26.6,4.0,1.0,602.3
5.0,3.0,16.0,5.0,3.0,252.6,5.0,2.0,196.3,5.0,2.0,81.0,4.0,2.0,58.4,4.0,2.0,1051.0
5.0,4.0,12.6,5.0,4.0,233.2,5.0,4.0,162.0,5.0,3.0,100.2,4.0,3.0,75.7,4.0,3.0,1252.0
5.0,6.0,37.3,5.0,6.0,396.0,5.0,6.0,251.1,5.0,6.0,59.9,4.0,6.0,42.7,4.0,5.0,429.0
6.0,2.0,189.2,6.0,1.0,948.8,6.0,1.0,738.9,6.0,1.0,207.2,6.0,1.0,99.4,5.0,1.0,414.4
6.0,3.0,190.8,6.0,3.0,1407.0,6.0,2.0,913.2,6.0,2.0,398.6,6.0,2.0,174.1,5.0,2.0,859.1
6.0,4.0,155.5,6.0,4.0,1016.0,6.0,4.0,1032.0,6.0,3.0,505.4,6.0,3.0,198.1,5.0,3.0,931.9
6.0,5.0,117.0,6.0,5.0,920.6,6.0,5.0,669.2,6.0,5.0,168.5,6.0,4.0,106.3,5.0,4.0,399.1
