1,森永 隆,森永 隆.1,2,村岡 賢,村岡 賢.1,3,佐々木　英樹,佐々木　英樹.1,4,四宮 与寛,四宮 与寛.1,5,野見山　拓己,野見山　拓己.1,6,中 亮太,中 亮太.1
2.0,3.0,60.8,1.0,3.0,610.6,1.0,2.0,380.3,1.0,2.0,79.9,1.0,2.0,531.6,1.0,2.0,221.4
2.0,4.0,32.4,1.0,4.0,393.5,1.0,4.0,71.9,1.0,3.0,39.9,1.0,3.0,283.7,1.0,3.0,185.7
2.0,5.0,103.4,1.0,5.0,939.6,1.0,5.0,197.3,1.0,5.0,28.3,1.0,4.0,116.4,1.0,4.0,79.2
2.0,6.0,51.7,1.0,6.0,447.2,1.0,6.0,129.5,1.0,6.0,15.2,1.0,6.0,125.7,1.0,5.0,204.1
3.0,2.0,51.8,3.0,1.0,1014.0,2.0,1.0,841.1,2.0,1.0,238.7,2.0,1.0,1440.0,2.0,1.0,558.9
3.0,4.0,11.9,3.0,4.0,1786.0,2.0,4.0,1177.0,2.0,3.0,716.3,2.0,3.0,2594.0,2.0,3.0,1448.0
3.0,5.0,42.8,3.0,5.0,2688.0,2.0,5.0,1744.0,2.0,5.0,417.5,2.0,4.0,1552.0,2.0,4.0,798.6
3.0,6.0,25.1,3.0,6.0,2163.0,2.0,6.0,1481.0,2.0,6.0,275.9,2.0,6.0,1398.0,2.0,5.0,1444.0
4.0,2.0,19.4,4.0,1.0,590.6,4.0,1.0,105.8,3.0,1.0,82.4,3.0,1.0,525.1,3.0,1.0,418.2
4.0,3.0,9.6,4.0,3.0,1538.0,4.0,2.0,602.9,3.0,2.0,487.3,3.0,2.0,2172.0,3.0,2.0,1609.0
4.0,5.0,16.7,4.0,5.0,1896.0,4.0,5.0,304.2,3.0,5.0,205.4,3.0,4.0,680.8,3.0,4.0,461.5
4.0,6.0,6.0,4.0,6.0,1062.0,4.0,6.0,199.3,3.0,6.0,132.0,3.0,6.0,838.4,3.0,5.0,1128.0
5.0,2.0,129.5,5.0,1.0,1744.0,5.0,1.0,527.8,5.0,1.0,40.4,4.0,1.0,124.2,4.0,1.0,89.8
5.0,3.0,86.4,5.0,3.0,2803.0,5.0,2.0,1682.0,5.0,2.0,170.9,4.0,2.0,478.4,4.0,2.0,388.3
5.0,4.0,42.2,5.0,4.0,2803.0,5.0,4.0,671.1,5.0,3.0,185.6,4.0,3.0,434.9,4.0,3.0,275.4
5.0,6.0,50.8,5.0,6.0,2328.0,5.0,6.0,911.7,5.0,6.0,35.0,4.0,6.0,125.0,4.0,5.0,182.4
6.0,2.0,60.5,6.0,1.0,778.3,6.0,1.0,318.7,6.0,1.0,24.2,6.0,1.0,243.6,5.0,1.0,397.4
6.0,3.0,41.6,6.0,3.0,2370.0,6.0,2.0,1290.0,6.0,2.0,127.3,6.0,2.0,864.8,5.0,2.0,1187.0
6.0,4.0,18.7,6.0,4.0,1398.0,6.0,4.0,400.2,6.0,3.0,101.5,6.0,3.0,641.4,5.0,3.0,1084.0
6.0,5.0,61.9,6.0,5.0,2581.0,6.0,5.0,854.9,6.0,5.0,37.6,6.0,4.0,217.7,5.0,4.0,343.5
