1,室田 泰史,室田 泰史.1,2,中岡 健人,中岡 健人.1,3,岡瀬 正人,岡瀬 正人.1,4,鈴木 峻佑,鈴木 峻佑.1,5,深川 和仁,深川 和仁.1,6,小坂 宗司,小坂 宗司.1
2.0,3.0,8.5,1.0,3.0,35.9,1.0,2.0,52.5,1.0,2.0,177.0,1.0,2.0,83.1,1.0,2.0,450.1
2.0,4.0,16.2,1.0,4.0,68.8,1.0,4.0,65.9,1.0,3.0,165.7,1.0,3.0,87.5,1.0,3.0,307.1
2.0,5.0,15.8,1.0,5.0,51.8,1.0,5.0,53.8,1.0,5.0,146.2,1.0,4.0,135.2,1.0,4.0,628.4
2.0,6.0,23.4,1.0,6.0,70.2,1.0,6.0,49.3,1.0,6.0,159.8,1.0,6.0,96.8,1.0,5.0,522.7
3.0,2.0,9.4,3.0,1.0,93.6,2.0,1.0,116.4,2.0,1.0,330.0,2.0,1.0,150.2,2.0,1.0,732.1
3.0,4.0,16.1,3.0,4.0,322.9,2.0,4.0,261.3,2.0,3.0,445.5,2.0,3.0,273.7,2.0,3.0,897.7
3.0,5.0,12.4,3.0,5.0,202.4,2.0,5.0,216.5,2.0,5.0,395.3,2.0,4.0,413.7,2.0,4.0,1164.0
3.0,6.0,14.4,3.0,6.0,239.3,2.0,6.0,201.3,2.0,6.0,404.3,2.0,6.0,245.0,2.0,5.0,1160.0
4.0,2.0,34.2,4.0,1.0,231.1,4.0,1.0,201.7,3.0,1.0,308.1,3.0,1.0,165.8,3.0,1.0,417.1
4.0,3.0,31.6,4.0,3.0,351.1,4.0,2.0,338.1,3.0,2.0,504.4,3.0,2.0,321.2,3.0,2.0,933.8
4.0,5.0,52.7,4.0,5.0,441.6,4.0,5.0,335.5,3.0,5.0,510.3,3.0,4.0,435.2,3.0,4.0,752.2
4.0,6.0,58.3,4.0,6.0,478.0,4.0,6.0,238.4,3.0,6.0,331.4,3.0,6.0,291.4,3.0,5.0,963.6
5.0,2.0,29.9,5.0,1.0,127.8,5.0,1.0,148.3,5.0,1.0,168.7,4.0,1.0,242.2,4.0,1.0,1008.0
5.0,3.0,27.2,5.0,3.0,256.7,5.0,2.0,281.6,5.0,2.0,274.9,4.0,2.0,475.7,4.0,2.0,1500.0
5.0,4.0,61.7,5.0,4.0,449.5,5.0,4.0,322.2,5.0,3.0,365.1,4.0,3.0,550.4,4.0,3.0,777.4
5.0,6.0,48.8,5.0,6.0,317.8,5.0,6.0,228.6,5.0,6.0,197.1,4.0,6.0,351.1,4.0,5.0,847.2
6.0,2.0,77.3,6.0,1.0,285.6,6.0,1.0,165.0,6.0,1.0,294.5,6.0,1.0,195.4,5.0,1.0,609.3
6.0,3.0,53.1,6.0,3.0,460.5,6.0,2.0,342.3,6.0,2.0,464.7,6.0,2.0,290.0,5.0,2.0,911.2
6.0,4.0,119.6,6.0,4.0,804.3,6.0,4.0,341.2,6.0,3.0,398.9,6.0,3.0,308.7,5.0,3.0,864.2
6.0,5.0,113.2,6.0,5.0,587.9,6.0,5.0,351.1,6.0,5.0,338.9,6.0,4.0,391.7,5.0,4.0,1032.0
