1,木場　雄二郎,木場　雄二郎.1,2,村上 功祐,村上 功祐.1,3,樋口 亮,樋口 亮.1,4,西村 秀樹,西村 秀樹.1,5,鈴木 峻佑,鈴木 峻佑.1,6,三角 哲男,三角 哲男.1
2.0,3.0,8.4,1.0,3.0,26.3,1.0,2.0,42.6,1.0,2.0,328.8,1.0,2.0,183.5,1.0,2.0,103.9
2.0,4.0,37.4,1.0,4.0,77.2,1.0,4.0,103.7,1.0,3.0,341.1,1.0,3.0,202.7,1.0,3.0,78.5
2.0,5.0,32.2,1.0,5.0,49.9,1.0,5.0,54.1,1.0,5.0,301.9,1.0,4.0,350.8,1.0,4.0,269.5
2.0,6.0,16.0,1.0,6.0,28.1,1.0,6.0,31.9,1.0,6.0,214.7,1.0,6.0,126.4,1.0,5.0,228.9
3.0,2.0,10.3,3.0,1.0,47.1,2.0,1.0,64.9,2.0,1.0,365.6,2.0,1.0,277.7,2.0,1.0,134.6
3.0,4.0,46.3,3.0,4.0,179.7,2.0,4.0,199.8,2.0,3.0,446.6,2.0,3.0,255.2,2.0,3.0,115.7
3.0,5.0,30.5,3.0,5.0,96.3,2.0,5.0,101.9,2.0,5.0,364.8,2.0,4.0,437.6,2.0,4.0,315.1
3.0,6.0,15.4,3.0,6.0,47.6,2.0,6.0,54.5,2.0,6.0,255.6,2.0,6.0,145.1,2.0,5.0,235.7
4.0,2.0,107.9,4.0,1.0,217.4,4.0,1.0,244.0,3.0,1.0,481.4,3.0,1.0,277.7,3.0,1.0,99.6
4.0,3.0,118.4,4.0,3.0,267.4,4.0,2.0,324.5,3.0,2.0,514.2,3.0,2.0,305.6,3.0,2.0,106.9
4.0,5.0,118.7,4.0,5.0,272.0,4.0,5.0,274.6,3.0,5.0,480.0,3.0,4.0,490.9,3.0,4.0,325.7
4.0,6.0,95.0,4.0,6.0,191.0,4.0,6.0,172.9,3.0,6.0,358.8,3.0,6.0,188.5,3.0,5.0,222.1
5.0,2.0,75.9,5.0,1.0,146.7,5.0,1.0,130.0,5.0,1.0,282.2,4.0,1.0,445.5,4.0,1.0,533.2
5.0,3.0,74.1,5.0,3.0,166.0,5.0,2.0,161.5,5.0,2.0,325.1,4.0,2.0,520.4,4.0,2.0,435.4
5.0,4.0,183.7,5.0,4.0,382.5,5.0,4.0,311.7,5.0,3.0,405.8,4.0,3.0,612.4,4.0,3.0,528.3
5.0,6.0,73.1,5.0,6.0,114.0,5.0,6.0,102.0,5.0,6.0,165.8,4.0,6.0,265.0,4.0,5.0,337.1
6.0,2.0,36.2,6.0,1.0,78.9,6.0,1.0,59.8,6.0,1.0,239.3,6.0,1.0,175.0,5.0,1.0,300.3
6.0,3.0,35.6,6.0,3.0,70.6,6.0,2.0,63.3,6.0,2.0,234.5,6.0,2.0,166.4,5.0,2.0,262.9
6.0,4.0,121.1,6.0,4.0,231.3,6.0,4.0,177.2,6.0,3.0,314.5,6.0,3.0,177.2,5.0,3.0,246.1
6.0,5.0,89.1,6.0,5.0,124.5,6.0,5.0,99.8,6.0,5.0,209.5,6.0,4.0,254.8,5.0,4.0,361.8
