1,富田 恕生,富田 恕生.1,2,田中 豪,田中 豪.1,3,中辻 崇人,中辻 崇人.1,4,樋口 亮,樋口 亮.1,5,中辻 博訓,中辻 博訓.1,6,白井 友晴,白井 友晴.1
2.0,3.0,32.4,1.0,3.0,102.9,1.0,2.0,25.3,1.0,2.0,224.7,1.0,2.0,478.2,1.0,2.0,2900.0
2.0,4.0,49.6,1.0,4.0,158.2,1.0,4.0,13.5,1.0,3.0,95.4,1.0,3.0,222.7,1.0,3.0,1436.0
2.0,5.0,86.7,1.0,5.0,243.7,1.0,5.0,18.9,1.0,5.0,154.9,1.0,4.0,380.1,1.0,4.0,3055.0
2.0,6.0,147.0,1.0,6.0,422.1,1.0,6.0,34.0,1.0,6.0,231.6,1.0,6.0,586.0,1.0,5.0,3728.0
3.0,2.0,20.6,3.0,1.0,103.5,2.0,1.0,49.5,2.0,1.0,365.2,2.0,1.0,773.4,2.0,1.0,4041.0
3.0,4.0,14.0,3.0,4.0,92.4,2.0,4.0,42.2,2.0,3.0,235.0,2.0,3.0,480.4,2.0,3.0,2632.0
3.0,5.0,22.6,3.0,5.0,124.4,2.0,5.0,54.5,2.0,5.0,337.3,2.0,4.0,689.1,2.0,4.0,3461.0
3.0,6.0,51.2,3.0,6.0,247.0,2.0,6.0,76.4,2.0,6.0,442.1,2.0,6.0,977.3,2.0,5.0,5400.0
4.0,2.0,64.5,4.0,1.0,289.7,4.0,1.0,14.9,3.0,1.0,65.4,3.0,1.0,164.7,3.0,1.0,1398.0
4.0,3.0,36.3,4.0,3.0,180.2,4.0,2.0,31.4,3.0,2.0,107.4,3.0,2.0,274.4,3.0,2.0,2588.0
4.0,5.0,65.4,4.0,5.0,321.4,4.0,5.0,9.6,3.0,5.0,47.0,3.0,4.0,123.2,3.0,4.0,1221.0
4.0,6.0,136.2,4.0,6.0,527.3,4.0,6.0,18.1,3.0,6.0,75.8,3.0,6.0,229.8,3.0,5.0,2221.0
5.0,2.0,148.2,5.0,1.0,557.3,5.0,1.0,30.5,5.0,1.0,204.3,4.0,1.0,432.9,4.0,1.0,3539.0
5.0,3.0,76.6,5.0,3.0,316.5,5.0,2.0,52.7,5.0,2.0,294.2,4.0,2.0,589.3,4.0,2.0,3332.0
5.0,4.0,120.5,5.0,4.0,489.0,5.0,4.0,17.6,5.0,3.0,114.9,4.0,3.0,191.9,4.0,3.0,1644.0
5.0,6.0,269.6,5.0,6.0,881.1,5.0,6.0,33.8,5.0,6.0,253.5,4.0,6.0,545.7,4.0,5.0,3041.0
6.0,2.0,483.0,6.0,1.0,1420.0,6.0,1.0,105.2,6.0,1.0,740.5,6.0,1.0,1463.0,5.0,1.0,4894.0
6.0,3.0,321.9,6.0,3.0,1200.0,6.0,2.0,147.1,6.0,2.0,940.6,6.0,2.0,1622.0,5.0,2.0,5309.0
6.0,4.0,425.8,6.0,4.0,1520.0,6.0,4.0,67.0,6.0,3.0,451.3,6.0,3.0,972.7,5.0,3.0,3101.0
6.0,5.0,593.2,6.0,5.0,2027.0,6.0,5.0,82.7,6.0,5.0,658.7,6.0,4.0,1136.0,5.0,4.0,3196.0
