1,松田 竜馬,松田 竜馬.1,2,川村 正輝,川村 正輝.1,3,川上 清人,川上 清人.1,4,宮武 英司,宮武 英司.1,5,青木　幸太郎,青木　幸太郎.1,6,川口 貴久,川口 貴久.1
2.0,3.0,15.6,1.0,3.0,74.1,1.0,2.0,311.1,1.0,2.0,59.4,1.0,2.0,75.3,1.0,2.0,189.9
2.0,4.0,7.6,1.0,4.0,36.9,1.0,4.0,267.8,1.0,3.0,167.1,1.0,3.0,237.2,1.0,3.0,641.2
2.0,5.0,9.3,1.0,5.0,41.1,1.0,5.0,349.4,1.0,5.0,53.8,1.0,4.0,89.2,1.0,4.0,250.8
2.0,6.0,17.7,1.0,6.0,62.9,1.0,6.0,563.2,1.0,6.0,92.7,1.0,6.0,76.6,1.0,5.0,230.9
3.0,2.0,34.3,3.0,1.0,243.1,2.0,1.0,403.5,2.0,1.0,117.3,2.0,1.0,128.9,2.0,1.0,326.3
3.0,4.0,31.4,3.0,4.0,337.9,2.0,4.0,568.1,2.0,3.0,405.6,2.0,3.0,518.8,2.0,3.0,848.5
3.0,5.0,44.5,3.0,5.0,393.7,2.0,5.0,677.0,2.0,5.0,196.4,2.0,4.0,262.9,2.0,4.0,580.9
3.0,6.0,68.1,3.0,6.0,496.3,2.0,6.0,841.1,2.0,6.0,271.3,2.0,6.0,203.1,2.0,5.0,509.3
4.0,2.0,11.5,4.0,1.0,103.1,4.0,1.0,464.8,3.0,1.0,429.8,3.0,1.0,675.8,3.0,1.0,1317.0
4.0,3.0,28.6,4.0,3.0,330.4,4.0,2.0,763.5,3.0,2.0,580.0,3.0,2.0,954.8,3.0,2.0,1265.0
4.0,5.0,14.3,4.0,5.0,170.8,4.0,5.0,738.8,3.0,5.0,628.8,3.0,4.0,910.1,3.0,4.0,1466.0
4.0,6.0,28.0,4.0,6.0,244.5,4.0,6.0,821.6,3.0,6.0,727.7,3.0,6.0,897.5,3.0,5.0,1455.0
5.0,2.0,19.0,5.0,1.0,114.2,5.0,1.0,628.8,5.0,1.0,76.8,4.0,1.0,126.9,4.0,1.0,453.4
5.0,3.0,52.4,5.0,3.0,372.2,5.0,2.0,843.0,5.0,2.0,138.7,4.0,2.0,232.0,4.0,2.0,648.7
5.0,4.0,25.2,5.0,4.0,240.7,5.0,4.0,929.7,5.0,3.0,375.4,4.0,3.0,635.0,4.0,3.0,1286.0
5.0,6.0,28.9,5.0,6.0,210.7,5.0,6.0,1085.0,5.0,6.0,103.7,4.0,6.0,182.1,4.0,5.0,599.7
6.0,2.0,51.9,6.0,1.0,233.9,6.0,1.0,1136.0,6.0,1.0,189.5,6.0,1.0,166.2,5.0,1.0,305.5
6.0,3.0,120.7,6.0,3.0,620.8,6.0,2.0,1160.0,6.0,2.0,306.9,6.0,2.0,264.7,5.0,2.0,422.4
6.0,4.0,64.1,6.0,4.0,375.4,6.0,4.0,1460.0,6.0,3.0,614.9,6.0,3.0,652.0,5.0,3.0,1088.0
6.0,5.0,63.4,6.0,5.0,350.1,6.0,5.0,1567.0,6.0,5.0,205.4,6.0,4.0,296.8,5.0,4.0,456.1
