1,梅木 敬太,梅木 敬太.1,2,近藤 稔也,近藤 稔也.1,3,牧山 敦也,牧山 敦也.1,4,黒野 元基,黒野 元基.1,5,沼田 七華,沼田 七華.1,6,高山 智至,高山 智至.1
2.0,3.0,29.6,1.0,3.0,140.8,1.0,2.0,99.8,1.0,2.0,28.0,1.0,2.0,1548.0,1.0,2.0,299.0
2.0,4.0,18.6,1.0,4.0,101.9,1.0,4.0,34.8,1.0,3.0,14.5,1.0,3.0,1101.0,1.0,3.0,243.1
2.0,5.0,388.6,1.0,5.0,646.5,1.0,5.0,264.8,1.0,5.0,99.2,1.0,4.0,900.0,1.0,4.0,144.6
2.0,6.0,40.8,1.0,6.0,181.5,1.0,6.0,65.6,1.0,6.0,21.0,1.0,6.0,1271.0,1.0,5.0,953.9
3.0,2.0,29.9,3.0,1.0,193.7,2.0,1.0,153.7,2.0,1.0,61.6,2.0,1.0,1963.0,2.0,1.0,448.5
3.0,4.0,10.0,3.0,4.0,156.1,2.0,4.0,127.3,2.0,3.0,72.1,2.0,3.0,2202.0,2.0,3.0,610.1
3.0,5.0,271.4,3.0,5.0,1018.0,2.0,5.0,815.9,2.0,5.0,262.0,2.0,4.0,1736.0,2.0,4.0,360.7
3.0,6.0,24.6,3.0,6.0,278.4,2.0,6.0,264.3,2.0,6.0,86.7,2.0,6.0,1736.0,2.0,5.0,1418.0
4.0,2.0,13.6,4.0,1.0,139.2,4.0,1.0,39.0,3.0,1.0,23.5,3.0,1.0,1651.0,3.0,1.0,292.8
4.0,3.0,8.5,4.0,3.0,149.0,4.0,2.0,90.0,3.0,2.0,59.7,3.0,2.0,2335.0,3.0,2.0,563.2
4.0,5.0,126.5,4.0,5.0,756.7,4.0,5.0,311.3,3.0,5.0,171.6,3.0,4.0,1556.0,3.0,4.0,208.7
4.0,6.0,13.3,4.0,6.0,178.3,4.0,6.0,55.3,3.0,6.0,40.4,3.0,6.0,2604.0,3.0,5.0,1794.0
5.0,2.0,631.4,5.0,1.0,1214.0,5.0,1.0,782.9,5.0,1.0,170.0,4.0,1.0,1092.0,4.0,1.0,124.8
5.0,3.0,645.0,5.0,3.0,1736.0,5.0,2.0,1026.0,5.0,2.0,238.8,4.0,2.0,1693.0,4.0,2.0,228.2
5.0,4.0,511.1,5.0,4.0,1341.0,5.0,4.0,691.0,5.0,3.0,224.2,4.0,3.0,1204.0,4.0,3.0,176.0
5.0,6.0,767.4,5.0,6.0,1425.0,5.0,6.0,1290.0,5.0,6.0,230.1,4.0,6.0,1283.0,4.0,5.0,728.2
6.0,2.0,54.0,6.0,1.0,312.8,6.0,1.0,138.2,6.0,1.0,42.2,6.0,1.0,2630.0,5.0,1.0,1830.0
6.0,3.0,41.9,6.0,3.0,417.4,6.0,2.0,248.0,6.0,2.0,83.8,6.0,2.0,2083.0,5.0,2.0,1631.0
6.0,4.0,25.0,6.0,4.0,264.0,6.0,4.0,99.0,6.0,3.0,56.5,6.0,3.0,2792.0,5.0,3.0,2580.0
6.0,5.0,451.5,6.0,5.0,1361.0,6.0,5.0,1003.0,6.0,5.0,234.7,6.0,4.0,1418.0,5.0,4.0,1198.0
