1,赤井 睦,赤井 睦.1,2,藤田 美代,藤田 美代.1,3,原 加央理,原 加央理.1,4,伊藤 玲奈,伊藤 玲奈.1,5,藤堂 里香,藤堂 里香.1,6,岩崎 芳美,岩崎 芳美.1
2.0,3.0,18.6,1.0,3.0,73.1,1.0,2.0,52.5,1.0,2.0,589.1,1.0,2.0,175.4,1.0,2.0,245.6
2.0,4.0,46.5,1.0,4.0,158.8,1.0,4.0,95.2,1.0,3.0,553.2,1.0,3.0,100.5,1.0,3.0,132.1
2.0,5.0,37.7,1.0,5.0,111.8,1.0,5.0,31.5,1.0,5.0,644.9,1.0,4.0,388.2,1.0,4.0,493.9
2.0,6.0,27.7,1.0,6.0,101.7,1.0,6.0,31.1,1.0,6.0,567.0,1.0,6.0,91.0,1.0,5.0,177.4
3.0,2.0,17.4,3.0,1.0,87.8,2.0,1.0,82.1,2.0,1.0,710.6,2.0,1.0,264.7,2.0,1.0,368.8
3.0,4.0,35.7,3.0,4.0,160.1,2.0,4.0,134.4,2.0,3.0,596.8,2.0,3.0,174.0,2.0,3.0,265.7
3.0,5.0,16.6,3.0,5.0,71.7,2.0,5.0,62.1,2.0,5.0,762.4,2.0,4.0,558.8,2.0,4.0,745.6
3.0,6.0,16.3,3.0,6.0,79.4,2.0,6.0,60.9,2.0,6.0,576.6,2.0,6.0,173.0,2.0,5.0,375.4
4.0,2.0,114.6,4.0,1.0,400.2,4.0,1.0,182.0,3.0,1.0,524.4,3.0,1.0,91.9,3.0,1.0,146.9
4.0,3.0,106.7,4.0,3.0,368.8,4.0,2.0,200.7,3.0,2.0,606.1,3.0,2.0,112.9,3.0,2.0,208.5
4.0,5.0,160.0,4.0,5.0,473.3,4.0,5.0,109.5,3.0,5.0,395.6,3.0,4.0,196.0,3.0,4.0,271.6
4.0,6.0,91.8,4.0,6.0,346.7,4.0,6.0,89.3,3.0,6.0,338.9,3.0,6.0,42.8,3.0,5.0,73.7
5.0,2.0,57.8,5.0,1.0,195.6,5.0,1.0,38.9,5.0,1.0,682.1,4.0,1.0,611.6,4.0,1.0,1042.0
5.0,3.0,33.9,5.0,3.0,122.9,5.0,2.0,50.8,5.0,2.0,766.6,4.0,2.0,775.4,4.0,2.0,982.5
5.0,4.0,128.0,5.0,4.0,388.8,5.0,4.0,75.1,5.0,3.0,456.6,4.0,3.0,444.0,4.0,3.0,517.4
5.0,6.0,36.2,5.0,6.0,136.7,5.0,6.0,16.5,5.0,6.0,356.2,4.0,6.0,306.1,4.0,5.0,604.8
6.0,2.0,62.2,6.0,1.0,229.1,6.0,1.0,46.7,6.0,1.0,710.6,6.0,1.0,84.8,5.0,1.0,165.5
6.0,3.0,41.7,6.0,3.0,164.5,6.0,2.0,68.4,6.0,2.0,718.1,6.0,2.0,125.0,5.0,2.0,246.0
6.0,4.0,107.9,6.0,4.0,333.1,6.0,4.0,78.7,6.0,3.0,418.0,6.0,3.0,45.4,5.0,3.0,76.5
6.0,5.0,54.6,6.0,5.0,184.5,6.0,5.0,21.1,6.0,5.0,413.0,6.0,4.0,185.6,5.0,4.0,332.3
