1,富山 弘幸,富山 弘幸.1,2,峰重 力也,峰重 力也.1,3,谷 勝幸,谷 勝幸.1,4,塩田 北斗,塩田 北斗.1,5,佐竹 太一,佐竹 太一.1,6,岩永 雅人,岩永 雅人.1
2.0,3.0,48.5,1.0,3.0,99.0,1.0,2.0,195.9,1.0,2.0,27.5,1.0,2.0,378.2,1.0,2.0,602.7
2.0,4.0,20.1,1.0,4.0,43.2,1.0,4.0,84.2,1.0,3.0,33.0,1.0,3.0,451.7,1.0,3.0,717.7
2.0,5.0,61.5,1.0,5.0,102.6,1.0,5.0,186.1,1.0,5.0,19.3,1.0,4.0,177.5,1.0,4.0,273.5
2.0,6.0,81.1,1.0,6.0,111.5,1.0,6.0,192.6,1.0,6.0,18.2,1.0,6.0,283.3,1.0,5.0,655.9
3.0,2.0,61.1,3.0,1.0,166.2,2.0,1.0,230.6,2.0,1.0,45.1,2.0,1.0,528.0,2.0,1.0,722.0
3.0,4.0,28.6,3.0,4.0,106.7,2.0,4.0,164.3,2.0,3.0,91.9,2.0,3.0,965.7,2.0,3.0,1132.0
3.0,5.0,77.4,3.0,5.0,220.8,2.0,5.0,283.5,2.0,5.0,51.1,2.0,4.0,370.2,2.0,4.0,408.7
3.0,6.0,104.7,3.0,6.0,252.0,2.0,6.0,383.7,2.0,6.0,46.8,2.0,6.0,542.1,2.0,5.0,1020.0
4.0,2.0,14.0,4.0,1.0,47.1,4.0,1.0,89.9,3.0,1.0,61.9,3.0,1.0,743.1,3.0,1.0,1101.0
4.0,3.0,18.5,4.0,3.0,76.1,4.0,2.0,157.5,3.0,2.0,133.6,3.0,2.0,1039.0,3.0,2.0,1500.0
4.0,5.0,15.5,4.0,5.0,64.6,4.0,5.0,124.6,3.0,5.0,81.8,3.0,4.0,506.5,3.0,4.0,627.5
4.0,6.0,23.0,4.0,6.0,66.3,4.0,6.0,126.4,3.0,6.0,70.5,3.0,6.0,764.6,3.0,5.0,1360.0
5.0,2.0,117.1,5.0,1.0,288.6,5.0,1.0,411.4,5.0,1.0,26.9,4.0,1.0,138.8,4.0,1.0,243.1
5.0,3.0,137.4,5.0,3.0,435.2,5.0,2.0,593.3,5.0,2.0,48.1,4.0,2.0,229.5,4.0,2.0,345.4
5.0,4.0,63.6,5.0,4.0,190.0,5.0,4.0,282.2,5.0,3.0,69.0,4.0,3.0,312.6,4.0,3.0,469.4
5.0,6.0,131.2,5.0,6.0,318.2,5.0,6.0,457.8,5.0,6.0,22.0,4.0,6.0,125.0,4.0,5.0,250.4
6.0,2.0,192.7,6.0,1.0,348.6,6.0,1.0,461.6,6.0,1.0,33.7,6.0,1.0,487.5,5.0,1.0,853.4
6.0,3.0,194.6,6.0,3.0,563.7,6.0,2.0,815.7,6.0,2.0,54.6,6.0,2.0,626.9,5.0,2.0,1059.0
6.0,4.0,91.0,6.0,4.0,215.2,6.0,4.0,372.9,6.0,3.0,82.0,6.0,3.0,821.2,5.0,3.0,1209.0
6.0,5.0,169.6,6.0,5.0,462.3,6.0,5.0,630.8,6.0,5.0,33.4,6.0,4.0,250.3,5.0,4.0,322.2
