1,高橋 英之,高橋 英之.1,2,木村 亮太,木村 亮太.1,3,内田 圭,内田 圭.1,4,渡辺 浩司,渡辺 浩司.1,5,大橋　純一郎,大橋　純一郎.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,35.5,1.0,3.0,152.3,1.0,2.0,383.1,1.0,2.0,18.8,1.0,2.0,94.2,1.0,2.0,2381.0
2.0,4.0,10.1,1.0,4.0,47.5,1.0,4.0,164.3,1.0,3.0,56.8,1.0,3.0,217.1,1.0,3.0,3424.0
2.0,5.0,19.8,1.0,5.0,82.0,1.0,5.0,272.1,1.0,5.0,11.4,1.0,4.0,51.1,1.0,4.0,2453.0
2.0,6.0,346.7,1.0,6.0,851.5,1.0,6.0,1199.0,1.0,6.0,163.2,1.0,6.0,299.9,1.0,5.0,3043.0
3.0,2.0,49.7,3.0,1.0,317.2,2.0,1.0,493.5,2.0,1.0,41.0,2.0,1.0,180.6,2.0,1.0,3160.0
3.0,4.0,28.0,3.0,4.0,404.8,2.0,4.0,390.3,2.0,3.0,178.6,2.0,3.0,546.0,2.0,3.0,4442.0
3.0,5.0,46.5,3.0,5.0,578.7,2.0,5.0,450.2,2.0,5.0,37.8,2.0,4.0,144.4,2.0,4.0,4565.0
3.0,6.0,459.0,3.0,6.0,1199.0,2.0,6.0,1429.0,2.0,6.0,162.0,2.0,6.0,1002.0,2.0,5.0,5136.0
4.0,2.0,8.1,4.0,1.0,70.8,4.0,1.0,238.1,3.0,1.0,156.0,3.0,1.0,390.3,3.0,1.0,3572.0
4.0,3.0,20.6,4.0,3.0,283.3,4.0,2.0,403.8,3.0,2.0,256.0,3.0,2.0,764.4,3.0,2.0,4565.0
4.0,5.0,7.8,4.0,5.0,99.0,4.0,5.0,233.4,3.0,5.0,135.4,3.0,4.0,421.4,3.0,4.0,3222.0
4.0,6.0,165.8,4.0,6.0,996.1,4.0,6.0,1660.0,3.0,6.0,560.9,3.0,6.0,2785.0,3.0,5.0,5478.0
5.0,2.0,29.0,5.0,1.0,178.8,5.0,1.0,422.5,5.0,1.0,13.3,4.0,1.0,46.6,4.0,1.0,2490.0
5.0,3.0,47.0,5.0,3.0,470.9,5.0,2.0,679.1,5.0,2.0,22.9,4.0,2.0,75.2,4.0,2.0,4442.0
5.0,4.0,17.9,5.0,4.0,160.3,5.0,4.0,342.4,5.0,3.0,62.4,4.0,3.0,194.2,4.0,3.0,4214.0
5.0,6.0,225.7,5.0,6.0,1314.0,5.0,6.0,2417.0,5.0,6.0,89.5,4.0,6.0,212.6,4.0,5.0,2314.0
6.0,2.0,665.4,6.0,1.0,2191.0,6.0,1.0,2004.0,6.0,1.0,553.3,6.0,1.0,1141.0,5.0,1.0,3101.0
6.0,3.0,786.3,6.0,3.0,3287.0,6.0,2.0,3160.0,6.0,2.0,270.3,6.0,2.0,2029.0,5.0,2.0,6087.0
6.0,4.0,805.6,6.0,4.0,3160.0,6.0,4.0,3496.0,6.0,3.0,1190.0,6.0,3.0,2054.0,5.0,3.0,5869.0
6.0,5.0,771.6,6.0,5.0,3354.0,6.0,5.0,3222.0,6.0,5.0,419.2,6.0,4.0,1157.0,5.0,4.0,2785.0
