1,石田 勇斗,石田 勇斗.1,2,羽田 妃希,羽田 妃希.1,3,沖島 広和,沖島 広和.1,4,高橋 直哉,高橋 直哉.1,5,森林 太,森林 太.1,6,松崎　祐太郎,松崎　祐太郎.1
2.0,3.0,49.4,1.0,3.0,121.0,1.0,2.0,127.3,1.0,2.0,238.8,1.0,2.0,278.7,1.0,2.0,114.0
2.0,4.0,90.7,1.0,4.0,225.4,1.0,4.0,95.8,1.0,3.0,202.3,1.0,3.0,167.6,1.0,3.0,61.5
2.0,5.0,114.2,1.0,5.0,201.6,1.0,5.0,84.0,1.0,5.0,198.8,1.0,4.0,203.6,1.0,4.0,85.7
2.0,6.0,82.2,1.0,6.0,143.3,1.0,6.0,55.8,1.0,6.0,144.3,1.0,6.0,119.6,1.0,5.0,86.4
3.0,2.0,57.8,3.0,1.0,137.9,2.0,1.0,170.5,2.0,1.0,288.2,2.0,1.0,386.2,2.0,1.0,168.5
3.0,4.0,53.3,3.0,4.0,121.6,2.0,4.0,159.9,2.0,3.0,263.6,2.0,3.0,213.9,2.0,3.0,119.4
3.0,5.0,40.5,3.0,5.0,100.4,2.0,5.0,139.2,2.0,5.0,284.1,2.0,4.0,221.0,2.0,4.0,128.3
3.0,6.0,26.4,3.0,6.0,74.7,2.0,6.0,88.8,2.0,6.0,172.8,2.0,6.0,153.9,2.0,5.0,142.7
4.0,2.0,172.1,4.0,1.0,296.2,4.0,1.0,136.1,3.0,1.0,203.3,3.0,1.0,153.6,3.0,1.0,59.7
4.0,3.0,101.5,4.0,3.0,173.0,4.0,2.0,161.2,3.0,2.0,236.0,3.0,2.0,178.2,3.0,2.0,87.3
4.0,5.0,152.9,4.0,5.0,190.3,4.0,5.0,62.4,3.0,5.0,99.8,3.0,4.0,87.2,3.0,4.0,34.1
4.0,6.0,80.9,4.0,6.0,133.4,4.0,6.0,35.9,3.0,6.0,62.2,3.0,6.0,55.3,3.0,5.0,37.7
5.0,2.0,149.6,5.0,1.0,242.8,5.0,1.0,99.3,5.0,1.0,214.8,4.0,1.0,267.5,4.0,1.0,94.6
5.0,3.0,62.8,5.0,3.0,139.6,5.0,2.0,128.3,5.0,2.0,270.2,4.0,2.0,238.8,4.0,2.0,112.7
5.0,4.0,128.7,5.0,4.0,171.7,5.0,4.0,68.8,5.0,3.0,113.6,4.0,3.0,110.5,4.0,3.0,45.3
5.0,6.0,73.1,5.0,6.0,117.8,5.0,6.0,31.0,5.0,6.0,65.8,4.0,6.0,63.7,4.0,5.0,55.1
6.0,2.0,86.4,6.0,1.0,184.6,6.0,1.0,55.4,6.0,1.0,143.3,6.0,1.0,96.1,5.0,1.0,98.0
6.0,3.0,40.9,6.0,3.0,104.2,6.0,2.0,80.0,6.0,2.0,154.1,6.0,2.0,122.8,5.0,2.0,134.9
6.0,4.0,75.5,6.0,4.0,130.6,6.0,4.0,31.6,6.0,3.0,61.1,6.0,3.0,53.4,5.0,3.0,50.8
6.0,5.0,64.8,6.0,5.0,119.8,6.0,5.0,27.1,6.0,5.0,65.1,6.0,4.0,51.9,5.0,4.0,57.0
