1,若林 義人,若林 義人.1,2,佐々木　完太,佐々木　完太.1,3,杉山 正樹,杉山 正樹.1,4,吉武 真也,吉武 真也.1,5,牧 宏次,牧 宏次.1,6,若林 将,若林 将.1
2.0,3.0,5.8,1.0,3.0,28.2,1.0,2.0,62.0,1.0,2.0,63.7,1.0,2.0,450.7,1.0,2.0,285.0
2.0,4.0,9.1,1.0,4.0,42.9,1.0,4.0,99.1,1.0,3.0,126.6,1.0,3.0,587.5,1.0,3.0,403.3
2.0,5.0,26.1,1.0,5.0,110.3,1.0,5.0,139.6,1.0,5.0,104.7,1.0,4.0,460.4,1.0,4.0,441.1
2.0,6.0,15.0,1.0,6.0,51.0,1.0,6.0,93.0,1.0,6.0,86.7,1.0,6.0,444.7,1.0,5.0,698.4
3.0,2.0,8.9,3.0,1.0,59.8,2.0,1.0,93.8,2.0,1.0,122.9,2.0,1.0,813.9,2.0,1.0,430.1
3.0,4.0,15.8,3.0,4.0,158.4,2.0,4.0,228.5,2.0,3.0,271.4,2.0,3.0,1250.0,2.0,3.0,458.8
3.0,5.0,29.1,3.0,5.0,277.2,2.0,5.0,345.8,2.0,5.0,288.2,2.0,4.0,1259.0,2.0,4.0,913.8
3.0,6.0,19.0,3.0,6.0,112.2,2.0,6.0,158.0,2.0,6.0,214.4,2.0,6.0,1051.0,2.0,5.0,1334.0
4.0,2.0,16.2,4.0,1.0,114.1,4.0,1.0,228.2,3.0,1.0,274.2,3.0,1.0,825.2,3.0,1.0,568.8
4.0,3.0,23.3,4.0,3.0,227.4,4.0,2.0,329.2,3.0,2.0,398.8,3.0,2.0,1596.0,3.0,2.0,460.0
4.0,5.0,43.8,4.0,5.0,448.1,4.0,5.0,450.0,3.0,5.0,521.2,3.0,4.0,1782.0,3.0,4.0,1072.0
4.0,6.0,32.4,4.0,6.0,214.2,4.0,6.0,358.5,3.0,6.0,426.3,3.0,6.0,1550.0,3.0,5.0,1586.0
5.0,2.0,69.0,5.0,1.0,477.6,5.0,1.0,406.6,5.0,1.0,141.1,4.0,1.0,496.6,4.0,1.0,565.8
5.0,3.0,78.3,5.0,3.0,668.8,5.0,2.0,607.4,5.0,2.0,221.8,4.0,2.0,822.7,4.0,2.0,826.5
5.0,4.0,103.5,5.0,4.0,823.9,5.0,4.0,806.6,5.0,3.0,449.2,4.0,3.0,1311.0,4.0,3.0,1327.0
5.0,6.0,100.5,5.0,6.0,592.7,5.0,6.0,603.3,5.0,6.0,190.9,4.0,6.0,560.5,4.0,5.0,964.7
6.0,2.0,48.5,6.0,1.0,218.5,6.0,1.0,291.0,6.0,1.0,157.9,6.0,1.0,825.2,5.0,1.0,1351.0
6.0,3.0,54.1,6.0,3.0,259.8,6.0,2.0,289.3,6.0,2.0,233.2,6.0,2.0,1244.0,5.0,2.0,1523.0
6.0,4.0,87.1,6.0,4.0,466.8,6.0,4.0,636.3,6.0,3.0,422.6,6.0,3.0,1453.0,5.0,3.0,2009.0
6.0,5.0,117.0,6.0,5.0,687.6,6.0,5.0,673.8,6.0,5.0,240.8,6.0,4.0,1129.0,5.0,4.0,1692.0
