1,登玉 隼百,登玉 隼百.1,2,畑田 汰一,畑田 汰一.1,3,藤森 陸斗,藤森 陸斗.1,4,木谷 賢太,木谷 賢太.1,5,藤原 孝斗,藤原 孝斗.1,6,安河内鈴之介,安河内鈴之介.1
2.0,3.0,7.1,1.0,3.0,15.7,1.0,2.0,107.0,1.0,2.0,54.4,1.0,2.0,369.1,1.0,2.0,355.3
2.0,4.0,5.3,1.0,4.0,9.8,1.0,4.0,98.1,1.0,3.0,141.8,1.0,3.0,635.1,1.0,3.0,872.0
2.0,5.0,32.9,1.0,5.0,47.8,1.0,5.0,245.9,1.0,5.0,159.0,1.0,4.0,528.1,1.0,4.0,609.9
2.0,6.0,24.5,1.0,6.0,36.6,1.0,6.0,206.7,1.0,6.0,152.5,1.0,6.0,659.8,1.0,5.0,1333.0
3.0,2.0,15.0,3.0,1.0,67.1,2.0,1.0,156.0,2.0,1.0,65.9,2.0,1.0,584.5,2.0,1.0,418.5
3.0,4.0,17.1,3.0,4.0,69.5,2.0,4.0,115.4,2.0,3.0,170.5,2.0,3.0,1169.0,2.0,3.0,951.8
3.0,5.0,64.4,3.0,5.0,220.1,2.0,5.0,391.1,2.0,5.0,195.7,2.0,4.0,688.0,2.0,4.0,562.1
3.0,6.0,50.6,3.0,6.0,169.4,2.0,6.0,341.4,2.0,6.0,150.6,2.0,6.0,966.0,2.0,5.0,1373.0
4.0,2.0,13.3,4.0,1.0,29.9,4.0,1.0,204.8,3.0,1.0,293.8,3.0,1.0,1344.0,3.0,1.0,1390.0
4.0,3.0,24.6,4.0,3.0,76.1,4.0,2.0,176.3,3.0,2.0,303.8,3.0,2.0,1558.0,3.0,2.0,1500.0
4.0,5.0,63.4,4.0,5.0,121.1,4.0,5.0,380.0,3.0,5.0,567.0,3.0,4.0,1854.0,3.0,4.0,1373.0
4.0,6.0,43.1,4.0,6.0,89.6,4.0,6.0,297.1,3.0,6.0,392.5,3.0,6.0,1637.0,3.0,5.0,2987.0
5.0,2.0,106.3,5.0,1.0,198.6,5.0,1.0,771.9,5.0,1.0,273.9,4.0,1.0,849.1,4.0,1.0,1051.0
5.0,3.0,178.0,5.0,3.0,392.5,5.0,2.0,884.0,5.0,2.0,302.6,4.0,2.0,802.6,4.0,2.0,798.7
5.0,4.0,161.2,5.0,4.0,278.6,5.0,4.0,794.7,5.0,3.0,679.3,4.0,3.0,1551.0,4.0,3.0,1415.0
5.0,6.0,230.9,5.0,6.0,367.5,5.0,6.0,946.2,5.0,6.0,366.6,4.0,6.0,881.6,4.0,5.0,1378.0
6.0,2.0,90.4,6.0,1.0,173.3,6.0,1.0,712.3,6.0,1.0,364.6,6.0,1.0,1486.0,5.0,1.0,2256.0
6.0,3.0,175.3,6.0,3.0,391.1,6.0,2.0,818.9,6.0,2.0,321.7,6.0,2.0,1629.0,5.0,2.0,2288.0
6.0,4.0,128.4,6.0,4.0,226.4,6.0,4.0,668.0,6.0,3.0,665.3,6.0,3.0,2540.0,5.0,3.0,3752.0
6.0,5.0,338.9,6.0,5.0,483.7,6.0,5.0,1536.0,6.0,5.0,540.4,6.0,4.0,1486.0,5.0,4.0,2016.0
