1,中辻 崇人,中辻 崇人.1,2,星野 太郎,星野 太郎.1,3,井内　将太郎,井内　将太郎.1,4,富永 大一,富永 大一.1,5,向井田　直弥,向井田　直弥.1,6,久田 武,久田 武.1
2.0,3.0,5.1,1.0,3.0,36.3,1.0,2.0,44.0,1.0,2.0,218.2,1.0,2.0,190.7,1.0,2.0,413.3
2.0,4.0,14.2,1.0,4.0,78.0,1.0,4.0,70.4,1.0,3.0,253.7,1.0,3.0,184.6,1.0,3.0,468.5
2.0,5.0,14.0,1.0,5.0,72.0,1.0,5.0,61.8,1.0,5.0,338.1,1.0,4.0,328.4,1.0,4.0,896.3
2.0,6.0,17.0,1.0,6.0,82.6,1.0,6.0,67.3,1.0,6.0,341.0,1.0,6.0,255.4,1.0,5.0,765.8
3.0,2.0,6.4,3.0,1.0,93.6,2.0,1.0,95.0,2.0,1.0,419.3,2.0,1.0,347.3,2.0,1.0,850.4
3.0,4.0,12.4,3.0,4.0,328.4,2.0,4.0,296.0,2.0,3.0,717.8,2.0,3.0,669.3,2.0,3.0,1130.0
3.0,5.0,12.2,3.0,5.0,314.8,2.0,5.0,271.5,2.0,5.0,869.1,2.0,4.0,1037.0,2.0,4.0,1580.0
3.0,6.0,14.8,3.0,6.0,328.6,2.0,6.0,279.8,2.0,6.0,801.5,2.0,6.0,838.0,2.0,5.0,1765.0
4.0,2.0,33.3,4.0,1.0,361.4,4.0,1.0,281.1,3.0,1.0,483.0,3.0,1.0,297.0,3.0,1.0,648.3
4.0,3.0,33.2,4.0,3.0,592.4,4.0,2.0,479.4,3.0,2.0,771.5,3.0,2.0,590.3,3.0,2.0,1060.0
4.0,5.0,72.0,4.0,5.0,809.1,4.0,5.0,509.2,3.0,5.0,994.9,3.0,4.0,901.0,3.0,4.0,1464.0
4.0,6.0,81.8,4.0,6.0,765.8,4.0,6.0,468.9,3.0,6.0,963.3,3.0,6.0,678.1,3.0,5.0,1493.0
5.0,2.0,33.8,5.0,1.0,262.5,5.0,1.0,186.4,5.0,1.0,624.7,4.0,1.0,751.3,4.0,1.0,1511.0
5.0,3.0,30.9,5.0,3.0,460.5,5.0,2.0,344.7,5.0,2.0,1039.0,4.0,2.0,1108.0,4.0,2.0,1753.0
5.0,4.0,78.5,5.0,4.0,761.3,5.0,4.0,479.4,5.0,3.0,1224.0,4.0,3.0,1190.0,4.0,3.0,1695.0
5.0,6.0,61.8,5.0,6.0,554.7,5.0,6.0,315.8,5.0,6.0,810.3,4.0,6.0,956.2,4.0,5.0,1678.0
6.0,2.0,60.3,6.0,1.0,459.3,6.0,1.0,263.7,6.0,1.0,779.7,6.0,1.0,539.1,5.0,1.0,979.8
6.0,3.0,59.3,6.0,3.0,733.1,6.0,2.0,411.9,6.0,2.0,1091.0,6.0,2.0,890.1,5.0,2.0,1533.0
6.0,4.0,127.3,6.0,4.0,1010.0,6.0,4.0,602.1,6.0,3.0,1182.0,6.0,3.0,850.4,5.0,3.0,1481.0
6.0,5.0,96.6,6.0,5.0,979.8,6.0,5.0,473.7,6.0,5.0,1024.0,6.0,4.0,896.3,5.0,4.0,1557.0
