1,森 晋太郎,森 晋太郎.1,2,大場 広孝,大場 広孝.1,3,乙藤 智史,乙藤 智史.1,4,岡村 慶太,岡村 慶太.1,5,山口 広樹,山口 広樹.1,6,渡邉 優美,渡邉 優美.1
2.0,3.0,27.2,1.0,3.0,96.3,1.0,2.0,77.3,1.0,2.0,51.9,1.0,2.0,1082.0,1.0,2.0,265.9
2.0,4.0,23.2,1.0,4.0,75.6,1.0,4.0,26.8,1.0,3.0,24.6,1.0,3.0,913.3,1.0,3.0,205.9
2.0,5.0,169.0,1.0,5.0,369.8,1.0,5.0,147.5,1.0,5.0,107.9,1.0,4.0,685.0,1.0,4.0,131.1
2.0,6.0,54.3,1.0,6.0,143.9,1.0,6.0,46.7,1.0,6.0,25.4,1.0,6.0,750.4,1.0,5.0,495.4
3.0,2.0,24.3,3.0,1.0,164.2,2.0,1.0,152.8,2.0,1.0,102.6,2.0,1.0,1291.0,2.0,1.0,459.0
3.0,4.0,9.9,3.0,4.0,128.9,2.0,4.0,94.3,2.0,3.0,100.1,2.0,3.0,1039.0,2.0,3.0,522.6
3.0,5.0,82.2,3.0,5.0,454.3,2.0,5.0,347.1,2.0,5.0,228.0,2.0,4.0,747.3,2.0,4.0,316.7
3.0,6.0,23.5,3.0,6.0,225.2,2.0,6.0,127.3,2.0,6.0,79.7,2.0,6.0,1116.0,2.0,5.0,1089.0
4.0,2.0,19.0,4.0,1.0,124.0,4.0,1.0,34.8,3.0,1.0,37.5,3.0,1.0,1282.0,3.0,1.0,260.9
4.0,3.0,10.1,4.0,3.0,133.6,4.0,2.0,68.1,3.0,2.0,74.0,3.0,2.0,1109.0,3.0,2.0,411.9
4.0,5.0,80.6,4.0,5.0,467.3,4.0,5.0,120.1,3.0,5.0,126.4,3.0,4.0,634.5,3.0,4.0,140.5
4.0,6.0,16.1,4.0,6.0,150.2,4.0,6.0,30.1,3.0,6.0,30.9,3.0,6.0,825.7,3.0,5.0,720.5
5.0,2.0,392.2,5.0,1.0,1182.0,5.0,1.0,455.5,5.0,1.0,218.1,4.0,1.0,793.1,4.0,1.0,129.5
5.0,3.0,288.8,5.0,3.0,861.1,5.0,2.0,527.2,5.0,2.0,255.0,4.0,2.0,729.2,4.0,2.0,215.8
5.0,4.0,274.0,5.0,4.0,756.6,5.0,4.0,289.3,5.0,3.0,210.2,4.0,3.0,528.7,4.0,3.0,123.0
5.0,6.0,308.6,5.0,6.0,988.2,5.0,6.0,339.2,5.0,6.0,124.8,4.0,6.0,433.6,4.0,5.0,357.4
6.0,2.0,93.4,6.0,1.0,367.5,6.0,1.0,118.2,6.0,1.0,39.0,6.0,1.0,1123.0,5.0,1.0,913.3
6.0,3.0,53.7,6.0,3.0,438.9,6.0,2.0,208.5,6.0,2.0,71.7,6.0,2.0,1391.0,5.0,2.0,1282.0
6.0,4.0,42.5,6.0,4.0,284.3,6.0,4.0,69.7,6.0,3.0,40.5,6.0,3.0,853.0,5.0,3.0,845.0
6.0,5.0,211.0,6.0,5.0,982.8,6.0,5.0,321.2,6.0,5.0,111.6,6.0,4.0,617.2,5.0,4.0,518.1
