1,岩崎 芳美,岩崎 芳美.1,2,金田 幸子,金田 幸子.1,3,伊藤 玲奈,伊藤 玲奈.1,4,刑部　亜里紗,刑部　亜里紗.1,5,冨名腰　桃奈,冨名腰　桃奈.1,6,河内　悠利杏,河内　悠利杏.1
2.0,3.0,12.2,1.0,3.0,27.2,1.0,2.0,143.5,1.0,2.0,16.3,1.0,2.0,133.5,1.0,2.0,1141.0
2.0,4.0,5.9,1.0,4.0,16.5,1.0,4.0,163.3,1.0,3.0,39.3,1.0,3.0,242.1,1.0,3.0,1749.0
2.0,5.0,17.3,1.0,5.0,32.0,1.0,5.0,277.8,1.0,5.0,23.8,1.0,4.0,112.7,1.0,4.0,1384.0
2.0,6.0,159.2,1.0,6.0,256.5,1.0,6.0,944.9,1.0,6.0,121.9,1.0,6.0,496.7,1.0,5.0,2412.0
3.0,2.0,32.1,3.0,1.0,103.1,2.0,1.0,199.6,2.0,1.0,25.9,2.0,1.0,181.8,2.0,1.0,1641.0
3.0,4.0,38.5,3.0,4.0,150.6,2.0,4.0,269.1,2.0,3.0,90.9,2.0,3.0,567.6,2.0,3.0,2653.0
3.0,5.0,69.3,3.0,5.0,261.4,2.0,5.0,495.2,2.0,5.0,46.7,2.0,4.0,226.3,2.0,4.0,2067.0
3.0,6.0,362.6,3.0,6.0,976.8,2.0,6.0,1239.0,2.0,6.0,205.0,2.0,6.0,751.0,2.0,5.0,2894.0
4.0,2.0,8.8,4.0,1.0,32.2,4.0,1.0,237.1,3.0,1.0,143.0,3.0,1.0,547.1,3.0,1.0,2653.0
4.0,3.0,25.4,4.0,3.0,100.6,4.0,2.0,298.4,3.0,2.0,206.2,3.0,2.0,915.0,3.0,2.0,3980.0
4.0,5.0,18.1,4.0,5.0,77.4,4.0,5.0,477.4,3.0,5.0,269.6,3.0,4.0,818.6,3.0,4.0,3317.0
4.0,6.0,129.2,4.0,6.0,332.0,4.0,6.0,1258.0,3.0,6.0,698.3,3.0,6.0,2307.0,3.0,5.0,4824.0
5.0,2.0,42.3,5.0,1.0,114.1,5.0,1.0,534.2,5.0,1.0,31.9,4.0,1.0,113.3,4.0,1.0,1474.0
5.0,3.0,82.2,5.0,3.0,326.2,5.0,2.0,844.6,5.0,2.0,42.5,4.0,2.0,166.8,4.0,2.0,1788.0
5.0,4.0,46.5,5.0,4.0,158.9,5.0,4.0,812.3,5.0,3.0,125.0,4.0,3.0,432.6,4.0,3.0,3061.0
5.0,6.0,314.6,5.0,6.0,794.1,5.0,6.0,2181.0,5.0,6.0,112.6,4.0,6.0,361.8,4.0,5.0,1516.0
6.0,2.0,584.2,6.0,1.0,985.8,6.0,1.0,1918.0,6.0,1.0,285.5,6.0,1.0,1004.0,5.0,1.0,2568.0
6.0,3.0,849.1,6.0,3.0,2054.0,6.0,2.0,2324.0,6.0,2.0,368.1,6.0,2.0,1409.0,5.0,2.0,3032.0
6.0,4.0,507.0,6.0,4.0,1061.0,6.0,4.0,2449.0,6.0,3.0,696.8,6.0,3.0,2568.0,5.0,3.0,3702.0
6.0,5.0,696.8,6.0,5.0,1624.0,6.0,5.0,3282.0,6.0,5.0,272.1,6.0,4.0,907.2,5.0,4.0,1693.0
