1,岡村 慶太,岡村 慶太.1,2,松尾 宣邦,松尾 宣邦.1,3,田中 宏樹,田中 宏樹.1,4,下河 雅史,下河 雅史.1,5,青木　幸太郎,青木　幸太郎.1,6,原田　才一郎,原田　才一郎.1
2.0,3.0,49.2,1.0,3.0,420.8,1.0,2.0,84.5,1.0,2.0,216.8,1.0,2.0,265.5,1.0,2.0,123.5
2.0,4.0,22.5,1.0,4.0,310.7,1.0,4.0,68.8,1.0,3.0,197.1,1.0,3.0,191.9,1.0,3.0,76.7
2.0,5.0,32.8,1.0,5.0,466.8,1.0,5.0,83.3,1.0,5.0,112.9,1.0,4.0,145.1,1.0,4.0,62.0
2.0,6.0,23.7,1.0,6.0,302.1,1.0,6.0,49.6,1.0,6.0,76.8,1.0,6.0,75.2,1.0,5.0,72.8
3.0,2.0,49.9,3.0,1.0,669.9,2.0,1.0,162.0,2.0,1.0,451.2,2.0,1.0,645.3,2.0,1.0,329.4
3.0,4.0,30.7,3.0,4.0,1284.0,2.0,4.0,249.1,2.0,3.0,1251.0,2.0,3.0,1110.0,2.0,3.0,580.2
3.0,5.0,44.5,3.0,5.0,1409.0,2.0,5.0,316.3,2.0,5.0,810.0,2.0,4.0,1114.0,2.0,4.0,612.6
3.0,6.0,24.7,3.0,6.0,972.8,2.0,6.0,234.3,2.0,6.0,648.2,2.0,6.0,606.2,2.0,5.0,627.2
4.0,2.0,23.5,4.0,1.0,708.3,4.0,1.0,143.4,3.0,1.0,449.8,3.0,1.0,321.7,3.0,1.0,98.1
4.0,3.0,32.7,4.0,3.0,1200.0,4.0,2.0,298.4,3.0,2.0,1081.0,3.0,2.0,884.0,3.0,2.0,321.4
4.0,5.0,13.4,4.0,5.0,1202.0,4.0,5.0,267.2,3.0,5.0,657.7,3.0,4.0,717.0,3.0,4.0,184.7
4.0,6.0,8.7,4.0,6.0,955.2,4.0,6.0,159.5,3.0,6.0,398.3,3.0,6.0,294.0,3.0,5.0,210.1
5.0,2.0,38.5,5.0,1.0,938.3,5.0,1.0,171.6,5.0,1.0,184.5,4.0,1.0,245.3,4.0,1.0,122.4
5.0,3.0,58.0,5.0,3.0,1645.0,5.0,2.0,396.7,5.0,2.0,562.8,4.0,2.0,828.5,4.0,2.0,474.5
5.0,4.0,22.9,5.0,4.0,1302.0,5.0,4.0,312.6,5.0,3.0,495.5,4.0,3.0,724.2,4.0,3.0,265.0
5.0,6.0,17.4,5.0,6.0,1057.0,5.0,6.0,189.2,5.0,6.0,157.8,4.0,6.0,209.6,4.0,5.0,206.1
6.0,2.0,24.1,6.0,1.0,645.3,6.0,1.0,73.5,6.0,1.0,128.8,6.0,1.0,80.6,5.0,1.0,105.3
6.0,3.0,25.9,6.0,3.0,1207.0,6.0,2.0,220.9,6.0,2.0,508.1,6.0,2.0,300.9,5.0,2.0,379.8
6.0,4.0,12.2,6.0,4.0,1112.0,6.0,4.0,141.7,6.0,3.0,329.8,6.0,3.0,154.6,5.0,3.0,183.3
6.0,5.0,17.9,6.0,5.0,1238.0,6.0,5.0,152.8,6.0,5.0,183.5,6.0,4.0,155.5,5.0,4.0,192.3
