1,犬童 千秋,犬童 千秋.1,2,井上 未都,井上 未都.1,3,仁科　さやか,仁科　さやか.1,4,植木 美帆,植木 美帆.1,5,稲生 夏季,稲生 夏季.1,6,鈴木　祐美子,鈴木　祐美子.1
2.0,3.0,7.1,1.0,3.0,18.8,1.0,2.0,42.4,1.0,2.0,203.3,1.0,2.0,93.3,1.0,2.0,136.7
2.0,4.0,28.4,1.0,4.0,54.7,1.0,4.0,115.3,1.0,3.0,433.6,1.0,3.0,155.2,1.0,3.0,206.8
2.0,5.0,8.6,1.0,5.0,14.1,1.0,5.0,44.6,1.0,5.0,215.3,1.0,4.0,421.1,1.0,4.0,467.9
2.0,6.0,20.6,1.0,6.0,39.0,1.0,6.0,83.5,1.0,6.0,305.4,1.0,6.0,161.3,1.0,5.0,204.3
3.0,2.0,11.8,3.0,1.0,55.6,2.0,1.0,68.6,2.0,1.0,281.5,2.0,1.0,132.0,2.0,1.0,214.5
3.0,4.0,41.2,3.0,4.0,235.2,2.0,4.0,302.4,2.0,3.0,671.8,2.0,3.0,295.9,2.0,3.0,473.0
3.0,5.0,14.6,3.0,5.0,84.9,2.0,5.0,112.1,2.0,5.0,440.6,2.0,4.0,657.6,2.0,4.0,697.4
3.0,6.0,30.4,3.0,6.0,154.1,2.0,6.0,232.9,2.0,6.0,647.9,2.0,6.0,320.6,2.0,5.0,406.3
4.0,2.0,61.5,4.0,1.0,176.7,4.0,1.0,305.0,3.0,1.0,601.6,3.0,1.0,251.7,3.0,1.0,366.8
4.0,3.0,85.1,4.0,3.0,321.1,4.0,2.0,414.0,3.0,2.0,802.2,3.0,2.0,434.5,3.0,2.0,567.3
4.0,5.0,84.4,4.0,5.0,292.7,4.0,5.0,417.1,3.0,5.0,826.4,3.0,4.0,935.9,3.0,4.0,1123.0
4.0,6.0,105.8,4.0,6.0,400.3,4.0,6.0,479.2,3.0,6.0,1164.0,3.0,6.0,638.5,3.0,5.0,642.2
5.0,2.0,20.7,5.0,1.0,58.0,5.0,1.0,112.2,5.0,1.0,313.7,4.0,1.0,697.4,4.0,1.0,944.0
5.0,3.0,32.5,5.0,3.0,124.7,5.0,2.0,169.7,5.0,2.0,527.7,4.0,2.0,912.5,4.0,2.0,1158.0
5.0,4.0,105.8,5.0,4.0,293.9,5.0,4.0,431.9,5.0,3.0,776.6,4.0,3.0,1084.0,4.0,3.0,1422.0
5.0,6.0,38.5,5.0,6.0,143.8,5.0,6.0,229.3,5.0,6.0,502.3,4.0,6.0,832.7,4.0,5.0,1203.0
6.0,2.0,50.9,6.0,1.0,142.0,6.0,1.0,280.0,6.0,1.0,466.9,6.0,1.0,275.8,5.0,1.0,321.1
6.0,3.0,72.0,6.0,3.0,363.2,6.0,2.0,453.4,6.0,2.0,760.4,6.0,2.0,383.5,5.0,2.0,514.1
6.0,4.0,157.4,6.0,4.0,496.6,6.0,4.0,755.2,6.0,3.0,1152.0,6.0,3.0,661.6,5.0,3.0,649.8
6.0,5.0,72.2,6.0,5.0,231.2,6.0,5.0,413.2,6.0,5.0,647.9,6.0,4.0,904.9,5.0,4.0,1000.0
