1,枝尾 賢,枝尾 賢.1,2,前川 守嗣,前川 守嗣.1,3,木下 大將,木下 大將.1,4,植田 太一,植田 太一.1,5,上野 秀和,上野 秀和.1,6,松尾 怜実,松尾 怜実.1
2.0,3.0,5.2,1.0,3.0,62.4,1.0,2.0,30.6,1.0,2.0,214.2,1.0,2.0,900.7,1.0,2.0,645.6
2.0,4.0,13.6,1.0,4.0,158.4,1.0,4.0,25.8,1.0,3.0,119.5,1.0,3.0,448.4,1.0,3.0,582.5
2.0,5.0,26.4,1.0,5.0,233.3,1.0,5.0,45.3,1.0,5.0,230.1,1.0,4.0,873.7,1.0,4.0,1261.0
2.0,6.0,32.7,1.0,6.0,331.8,1.0,6.0,116.8,1.0,6.0,490.1,1.0,6.0,1468.0,1.0,5.0,1747.0
3.0,2.0,5.1,3.0,1.0,134.7,2.0,1.0,79.8,2.0,1.0,431.6,2.0,1.0,1468.0,2.0,1.0,1101.0
3.0,4.0,6.8,3.0,4.0,462.0,2.0,4.0,156.5,2.0,3.0,565.1,2.0,3.0,1848.0,2.0,3.0,1786.0
3.0,5.0,17.3,3.0,5.0,780.4,2.0,5.0,263.3,2.0,5.0,820.2,2.0,4.0,2074.0,2.0,4.0,2417.0
3.0,6.0,26.5,3.0,6.0,921.3,2.0,6.0,424.2,2.0,6.0,1632.0,2.0,6.0,3533.0,2.0,5.0,4019.0
4.0,2.0,20.7,4.0,1.0,435.1,4.0,1.0,43.5,3.0,1.0,122.8,3.0,1.0,541.3,3.0,1.0,820.2
4.0,3.0,17.1,4.0,3.0,716.1,4.0,2.0,94.1,3.0,2.0,296.3,3.0,2.0,1468.0,3.0,2.0,1607.0
4.0,5.0,50.0,4.0,5.0,1160.0,4.0,5.0,67.4,3.0,5.0,195.1,3.0,4.0,632.9,3.0,4.0,1560.0
4.0,6.0,77.6,4.0,6.0,1657.0,4.0,6.0,214.5,3.0,6.0,636.7,3.0,6.0,2115.0,3.0,5.0,2748.0
5.0,2.0,89.7,5.0,1.0,957.0,5.0,1.0,124.3,5.0,1.0,373.9,4.0,1.0,1108.0,4.0,1.0,2115.0
5.0,3.0,70.8,5.0,3.0,1553.0,5.0,2.0,273.2,5.0,2.0,668.5,4.0,2.0,1776.0,4.0,2.0,3696.0
5.0,4.0,124.9,5.0,4.0,1692.0,5.0,4.0,133.4,5.0,3.0,313.4,4.0,3.0,650.9,4.0,3.0,2280.0
5.0,6.0,210.4,5.0,6.0,2531.0,5.0,6.0,528.0,5.0,6.0,1112.0,4.0,6.0,2417.0,4.0,5.0,3828.0
6.0,2.0,71.5,6.0,1.0,809.9,6.0,1.0,381.4,6.0,1.0,1030.0,6.0,1.0,2657.0,5.0,1.0,2923.0
6.0,3.0,60.7,6.0,3.0,1568.0,6.0,2.0,765.6,6.0,2.0,2048.0,6.0,2.0,4287.0,5.0,2.0,5954.0
6.0,4.0,115.1,6.0,4.0,2061.0,6.0,4.0,681.2,6.0,3.0,1286.0,6.0,3.0,3091.0,5.0,3.0,3921.0
6.0,5.0,196.4,6.0,5.0,2796.0,6.0,5.0,1050.0,6.0,5.0,1997.0,6.0,4.0,4019.0,5.0,4.0,4528.0
