1,天野 友和,天野 友和.1,2,豊田 泰洋,豊田 泰洋.1,3,羽野 諒,羽野 諒.1,4,井内　将太郎,井内　将太郎.1,5,黒田 剛,黒田 剛.1,6,上野　真之介,上野　真之介.1
2.0,3.0,47.3,1.0,3.0,163.0,1.0,2.0,136.8,1.0,2.0,71.1,1.0,2.0,716.3,1.0,2.0,115.4
2.0,4.0,34.7,1.0,4.0,111.5,1.0,4.0,52.4,1.0,3.0,48.7,1.0,3.0,554.1,1.0,3.0,102.7
2.0,5.0,134.4,1.0,5.0,425.2,1.0,5.0,145.6,1.0,5.0,114.2,1.0,4.0,459.2,1.0,4.0,39.8
2.0,6.0,39.4,1.0,6.0,125.0,1.0,6.0,53.5,1.0,6.0,19.9,1.0,6.0,386.4,1.0,5.0,265.5
3.0,2.0,44.3,3.0,1.0,263.2,2.0,1.0,218.3,2.0,1.0,143.7,2.0,1.0,1146.0,2.0,1.0,220.6
3.0,4.0,20.1,3.0,4.0,201.7,2.0,4.0,142.7,2.0,3.0,150.2,2.0,3.0,1159.0,2.0,3.0,283.1
3.0,5.0,79.4,3.0,5.0,503.2,2.0,5.0,331.9,2.0,5.0,277.2,2.0,4.0,1050.0,2.0,4.0,154.9
3.0,6.0,23.2,3.0,6.0,234.9,2.0,6.0,169.9,2.0,6.0,70.8,2.0,6.0,840.5,2.0,5.0,518.8
4.0,2.0,32.2,4.0,1.0,170.6,4.0,1.0,51.8,3.0,1.0,77.5,3.0,1.0,707.2,3.0,1.0,155.6
4.0,3.0,21.6,4.0,3.0,186.0,4.0,2.0,94.4,3.0,2.0,130.4,3.0,2.0,1039.0,3.0,2.0,276.0
4.0,5.0,76.1,4.0,5.0,354.8,4.0,5.0,95.9,3.0,5.0,151.8,3.0,4.0,605.4,3.0,4.0,94.7
4.0,6.0,12.8,4.0,6.0,108.8,4.0,6.0,30.6,3.0,6.0,38.0,3.0,6.0,488.6,3.0,5.0,296.9
5.0,2.0,311.4,5.0,1.0,886.2,5.0,1.0,305.6,5.0,1.0,171.0,4.0,1.0,455.9,4.0,1.0,36.5
5.0,3.0,211.5,5.0,3.0,847.5,5.0,2.0,516.1,5.0,2.0,280.3,4.0,2.0,721.4,4.0,2.0,80.5
5.0,4.0,207.4,5.0,4.0,615.0,5.0,4.0,217.5,5.0,3.0,216.0,4.0,3.0,556.0,4.0,3.0,71.8
5.0,6.0,177.0,5.0,6.0,681.4,5.0,6.0,197.6,5.0,6.0,71.0,4.0,6.0,247.4,4.0,5.0,127.8
6.0,2.0,48.9,6.0,1.0,250.8,6.0,1.0,75.3,6.0,1.0,20.3,6.0,1.0,427.0,5.0,1.0,414.7
6.0,3.0,33.3,6.0,3.0,272.4,6.0,2.0,138.6,6.0,2.0,40.1,6.0,2.0,621.8,5.0,2.0,626.4
6.0,4.0,19.4,6.0,4.0,155.2,6.0,4.0,44.8,6.0,3.0,29.8,6.0,3.0,467.8,5.0,3.0,404.0
6.0,5.0,119.3,6.0,5.0,506.3,6.0,5.0,136.2,6.0,5.0,50.9,6.0,4.0,260.3,5.0,4.0,245.2
