1,渡 修平,渡 修平.1,2,鈴木 峻佑,鈴木 峻佑.1,3,前川 守嗣,前川 守嗣.1,4,宮内　由紀英,宮内　由紀英.1,5,高山 弘斗,高山 弘斗.1,6,亀本 勇樹,亀本 勇樹.1
2.0,3.0,12.1,1.0,3.0,18.7,1.0,2.0,70.0,1.0,2.0,50.3,1.0,2.0,636.3,1.0,2.0,41.1
2.0,4.0,11.3,1.0,4.0,15.5,1.0,4.0,75.0,1.0,3.0,111.8,1.0,3.0,770.9,1.0,3.0,62.3
2.0,5.0,76.4,1.0,5.0,94.8,1.0,5.0,221.7,1.0,5.0,142.3,1.0,4.0,668.4,1.0,4.0,78.8
2.0,6.0,28.2,1.0,6.0,38.1,1.0,6.0,93.4,1.0,6.0,123.5,1.0,6.0,1048.0,1.0,5.0,295.5
3.0,2.0,23.3,3.0,1.0,36.0,2.0,1.0,78.1,2.0,1.0,68.6,2.0,1.0,743.4,2.0,1.0,56.6
3.0,4.0,28.6,3.0,4.0,30.3,2.0,4.0,59.7,2.0,3.0,113.3,2.0,3.0,814.0,2.0,3.0,84.7
3.0,5.0,103.0,3.0,5.0,114.5,2.0,5.0,195.0,2.0,5.0,191.9,2.0,4.0,707.3,2.0,4.0,93.2
3.0,6.0,53.1,3.0,6.0,61.9,2.0,6.0,111.0,2.0,6.0,159.0,2.0,6.0,965.0,2.0,5.0,294.9
4.0,2.0,22.0,4.0,1.0,31.6,4.0,1.0,112.4,3.0,1.0,166.1,3.0,1.0,922.2,3.0,1.0,112.6
4.0,3.0,40.4,4.0,3.0,38.2,4.0,2.0,98.8,3.0,2.0,165.0,3.0,2.0,984.5,3.0,2.0,124.3
4.0,5.0,111.8,4.0,5.0,118.2,4.0,5.0,226.6,3.0,5.0,341.2,3.0,4.0,899.4,3.0,4.0,169.2
4.0,6.0,54.5,4.0,6.0,63.4,4.0,6.0,152.7,3.0,6.0,251.2,3.0,6.0,1204.0,3.0,5.0,497.3
5.0,2.0,227.3,5.0,1.0,323.8,5.0,1.0,415.1,5.0,1.0,306.7,4.0,1.0,823.2,4.0,1.0,180.3
5.0,3.0,254.7,5.0,3.0,297.3,5.0,2.0,412.7,5.0,2.0,341.2,4.0,2.0,791.9,4.0,2.0,184.4
5.0,4.0,284.6,5.0,4.0,313.3,5.0,4.0,400.3,5.0,3.0,415.1,4.0,3.0,809.5,4.0,3.0,261.1
5.0,6.0,377.5,5.0,6.0,410.4,5.0,6.0,471.5,5.0,6.0,434.9,4.0,6.0,910.7,4.0,5.0,602.1
6.0,2.0,32.8,6.0,1.0,67.3,6.0,1.0,150.5,6.0,1.0,188.7,6.0,1.0,1550.0,5.0,1.0,796.2
6.0,3.0,52.5,6.0,3.0,78.7,6.0,2.0,179.4,6.0,2.0,241.6,6.0,2.0,1517.0,5.0,2.0,796.2
6.0,4.0,41.8,6.0,4.0,58.2,6.0,4.0,146.5,6.0,3.0,334.2,6.0,3.0,1755.0,5.0,3.0,877.8
6.0,5.0,281.8,6.0,5.0,291.4,6.0,5.0,504.2,6.0,5.0,625.4,6.0,4.0,1349.0,5.0,4.0,805.0
