1,青木 蓮,青木 蓮.1,2,石田 政吾,石田 政吾.1,3,佐藤 悠,佐藤 悠.1,4,山田 哲也,山田 哲也.1,5,佐藤 大佑,佐藤 大佑.1,6,澤崎 雄哉,澤崎 雄哉.1
2.0,3.0,10.9,1.0,3.0,52.0,1.0,2.0,48.2,1.0,2.0,57.0,1.0,2.0,197.3,1.0,2.0,1353.0
2.0,4.0,13.0,1.0,4.0,49.5,1.0,4.0,29.3,1.0,3.0,59.3,1.0,3.0,158.8,1.0,3.0,1863.0
2.0,5.0,25.4,1.0,5.0,86.2,1.0,5.0,42.0,1.0,5.0,64.3,1.0,4.0,175.9,1.0,4.0,1515.0
2.0,6.0,57.6,1.0,6.0,190.3,1.0,6.0,103.2,1.0,6.0,141.9,1.0,6.0,261.8,1.0,5.0,2167.0
3.0,2.0,9.9,3.0,1.0,139.7,2.0,1.0,124.6,2.0,1.0,117.7,2.0,1.0,317.9,2.0,1.0,1889.0
3.0,4.0,7.9,3.0,4.0,201.6,2.0,4.0,166.7,2.0,3.0,182.7,2.0,3.0,461.4,2.0,3.0,3056.0
3.0,5.0,15.1,3.0,5.0,283.2,2.0,5.0,222.5,2.0,5.0,183.7,2.0,4.0,462.2,2.0,4.0,2007.0
3.0,6.0,53.2,3.0,6.0,691.3,2.0,6.0,468.2,2.0,6.0,349.0,2.0,6.0,534.4,2.0,5.0,3200.0
4.0,2.0,15.8,4.0,1.0,118.4,4.0,1.0,56.7,3.0,1.0,98.0,3.0,1.0,265.2,3.0,1.0,2248.0
4.0,3.0,13.3,4.0,3.0,169.5,4.0,2.0,117.5,3.0,2.0,175.7,3.0,2.0,471.8,3.0,2.0,3200.0
4.0,5.0,27.2,4.0,5.0,227.6,4.0,5.0,73.0,3.0,5.0,127.6,3.0,4.0,368.8,3.0,4.0,2335.0
4.0,6.0,66.5,4.0,6.0,477.2,4.0,6.0,162.3,3.0,6.0,251.4,3.0,6.0,503.7,3.0,5.0,2542.0
5.0,2.0,42.2,5.0,1.0,325.8,5.0,1.0,106.5,5.0,1.0,88.2,4.0,1.0,218.2,4.0,1.0,1541.0
5.0,3.0,33.3,5.0,3.0,385.8,5.0,2.0,203.5,5.0,2.0,119.2,4.0,2.0,339.8,4.0,2.0,1943.0
5.0,4.0,53.7,5.0,4.0,413.4,5.0,4.0,138.2,5.0,3.0,155.7,4.0,3.0,310.3,4.0,3.0,2068.0
5.0,6.0,124.6,5.0,6.0,905.3,5.0,6.0,251.3,5.0,6.0,142.4,4.0,6.0,313.2,4.0,5.0,1609.0
6.0,2.0,210.8,6.0,1.0,1064.0,6.0,1.0,475.1,6.0,1.0,330.5,6.0,1.0,733.2,5.0,1.0,2507.0
6.0,3.0,197.7,6.0,3.0,1317.0,6.0,2.0,835.7,6.0,2.0,527.7,6.0,2.0,1022.0,5.0,2.0,3258.0
6.0,4.0,226.3,6.0,4.0,1172.0,6.0,4.0,575.7,6.0,3.0,575.1,6.0,3.0,956.2,5.0,3.0,2578.0
6.0,5.0,322.9,6.0,5.0,1807.0,6.0,5.0,679.2,6.0,5.0,372.4,6.0,4.0,842.2,5.0,4.0,1876.0
