1,吉村 誠,吉村 誠.1,2,花本 夏樹,花本 夏樹.1,3,西澤　日花里,西澤　日花里.1,4,下河 雅史,下河 雅史.1,5,小川　日紀太,小川　日紀太.1,6,白井 友晴,白井 友晴.1
2.0,3.0,15.9,1.0,3.0,184.3,1.0,2.0,299.3,1.0,2.0,41.6,1.0,2.0,263.6,1.0,2.0,281.2
2.0,4.0,8.0,1.0,4.0,111.0,1.0,4.0,250.4,1.0,3.0,100.1,1.0,3.0,385.9,1.0,3.0,542.4
2.0,5.0,28.0,1.0,5.0,293.5,1.0,5.0,389.8,1.0,5.0,44.4,1.0,4.0,162.6,1.0,4.0,190.8
2.0,6.0,16.3,1.0,6.0,193.3,1.0,6.0,299.3,1.0,6.0,29.9,1.0,6.0,158.8,1.0,5.0,385.9
3.0,2.0,24.4,3.0,1.0,399.0,2.0,1.0,459.2,2.0,1.0,111.1,2.0,1.0,591.5,2.0,1.0,557.4
3.0,4.0,19.4,3.0,4.0,764.2,2.0,4.0,798.1,2.0,3.0,387.7,2.0,3.0,1191.0,2.0,3.0,1444.0
3.0,5.0,37.5,3.0,5.0,1095.0,2.0,5.0,1132.0,2.0,5.0,283.1,2.0,4.0,842.2,2.0,4.0,742.7
3.0,6.0,28.9,3.0,6.0,1005.0,2.0,6.0,1056.0,2.0,6.0,161.6,2.0,6.0,798.1,2.0,5.0,1659.0
4.0,2.0,7.9,4.0,1.0,206.1,4.0,1.0,455.4,3.0,1.0,339.0,3.0,1.0,850.8,3.0,1.0,1072.0
4.0,3.0,16.8,4.0,3.0,700.3,4.0,2.0,804.5,3.0,2.0,634.9,3.0,2.0,1510.0,3.0,2.0,1752.0
4.0,5.0,18.5,4.0,5.0,696.4,4.0,5.0,885.3,3.0,5.0,669.5,3.0,4.0,1299.0,3.0,4.0,1501.0
4.0,6.0,9.1,4.0,6.0,382.1,4.0,6.0,595.7,3.0,6.0,424.7,3.0,6.0,1487.0,3.0,5.0,2441.0
5.0,2.0,47.9,5.0,1.0,756.1,5.0,1.0,778.4,5.0,1.0,63.3,4.0,1.0,194.3,4.0,1.0,255.3
5.0,3.0,55.1,5.0,3.0,1306.0,5.0,2.0,1158.0,5.0,2.0,152.8,4.0,2.0,395.9,4.0,2.0,530.9
5.0,4.0,39.2,5.0,4.0,1188.0,5.0,4.0,1260.0,5.0,3.0,300.2,4.0,3.0,683.2,4.0,3.0,1095.0
5.0,6.0,41.1,5.0,6.0,1049.0,5.0,6.0,1097.0,5.0,6.0,68.7,4.0,6.0,199.5,4.0,5.0,544.8
6.0,2.0,39.0,6.0,1.0,451.7,6.0,1.0,725.6,6.0,1.0,55.5,6.0,1.0,280.4,5.0,1.0,641.3
6.0,3.0,63.0,6.0,3.0,967.0,6.0,2.0,1155.0,6.0,2.0,117.5,6.0,2.0,574.6,5.0,2.0,1220.0
6.0,4.0,28.8,6.0,4.0,628.5,6.0,4.0,982.1,6.0,3.0,247.8,6.0,3.0,846.5,5.0,3.0,1897.0
6.0,5.0,57.7,6.0,5.0,1282.0,6.0,5.0,1416.0,6.0,5.0,89.1,6.0,4.0,350.4,5.0,4.0,716.3
