1,立間 充宏,立間 充宏.1,2,池田 雄一,池田 雄一.1,3,松本 浩貴,松本 浩貴.1,4,鈴木 孝明,鈴木 孝明.1,5,奥田 誠,奥田 誠.1,6,加藤 翔,加藤 翔.1
2.0,3.0,10.5,1.0,3.0,37.5,1.0,2.0,265.3,1.0,2.0,23.1,1.0,2.0,282.1,1.0,2.0,1080.0
2.0,4.0,3.7,1.0,4.0,15.6,1.0,4.0,405.5,1.0,3.0,108.9,1.0,3.0,799.8,1.0,3.0,3217.0
2.0,5.0,12.8,1.0,5.0,37.9,1.0,5.0,504.1,1.0,5.0,37.6,1.0,4.0,323.1,1.0,4.0,1431.0
2.0,6.0,32.9,1.0,6.0,86.2,1.0,6.0,892.0,1.0,6.0,73.0,1.0,6.0,458.8,1.0,5.0,2753.0
3.0,2.0,32.6,3.0,1.0,230.1,2.0,1.0,392.2,2.0,1.0,41.7,2.0,1.0,441.8,2.0,1.0,1239.0
3.0,4.0,40.1,3.0,4.0,390.6,2.0,4.0,827.6,2.0,3.0,175.6,2.0,3.0,1617.0,2.0,3.0,3624.0
3.0,5.0,68.0,3.0,5.0,537.2,2.0,5.0,1417.0,2.0,5.0,80.3,2.0,4.0,690.0,2.0,4.0,1921.0
3.0,6.0,121.4,3.0,6.0,886.5,2.0,6.0,1431.0,2.0,6.0,136.2,2.0,6.0,870.3,2.0,5.0,2701.0
4.0,2.0,7.1,4.0,1.0,52.6,4.0,1.0,780.2,3.0,1.0,441.8,3.0,1.0,1556.0,3.0,1.0,3671.0
4.0,3.0,27.2,4.0,3.0,215.7,4.0,2.0,1289.0,3.0,2.0,578.4,3.0,2.0,2701.0,3.0,2.0,3329.0
4.0,5.0,19.3,4.0,5.0,169.0,4.0,5.0,1871.0,3.0,5.0,693.3,3.0,4.0,2490.0,3.0,4.0,2952.0
4.0,6.0,36.6,4.0,6.0,279.3,4.0,6.0,2219.0,3.0,6.0,967.3,3.0,6.0,2254.0,3.0,5.0,3492.0
5.0,2.0,44.9,5.0,1.0,241.0,5.0,1.0,1198.0,5.0,1.0,63.5,4.0,1.0,323.9,4.0,1.0,1909.0
5.0,3.0,115.1,5.0,3.0,678.5,5.0,2.0,2121.0,5.0,2.0,80.1,4.0,2.0,398.2,4.0,2.0,2272.0
5.0,4.0,49.3,5.0,4.0,376.2,5.0,4.0,2237.0,5.0,3.0,295.2,4.0,3.0,917.7,4.0,3.0,4033.0
5.0,6.0,107.7,5.0,6.0,491.1,5.0,6.0,2511.0,5.0,6.0,110.4,4.0,6.0,444.6,4.0,5.0,1871.0
6.0,2.0,160.2,6.0,1.0,446.7,6.0,1.0,2002.0,6.0,1.0,198.7,6.0,1.0,811.1,5.0,1.0,2185.0
6.0,3.0,317.1,6.0,3.0,1338.0,6.0,2.0,2835.0,6.0,2.0,246.2,6.0,2.0,873.0,5.0,2.0,2347.0
6.0,4.0,143.0,6.0,4.0,730.4,6.0,4.0,2579.0,6.0,3.0,1008.0,6.0,3.0,1140.0,5.0,3.0,4090.0
6.0,5.0,240.0,6.0,5.0,726.7,6.0,5.0,3014.0,6.0,5.0,248.1,6.0,4.0,765.6,5.0,4.0,1725.0
