1,新田 泰章,新田 泰章.1,2,下河 雅史,下河 雅史.1,3,澤 大介,澤 大介.1,4,伊藤 誠二,伊藤 誠二.1,5,峰重 力也,峰重 力也.1,6,山本　稔太朗,山本　稔太朗.1
2.0,3.0,9.5,1.0,3.0,93.7,1.0,2.0,65.6,1.0,2.0,136.6,1.0,2.0,389.1,1.0,2.0,229.0
2.0,4.0,15.8,1.0,4.0,136.4,1.0,4.0,38.5,1.0,3.0,99.9,1.0,3.0,389.5,1.0,3.0,164.5
2.0,5.0,42.3,1.0,5.0,248.7,1.0,5.0,108.7,1.0,5.0,125.0,1.0,4.0,358.6,1.0,4.0,216.0
2.0,6.0,19.2,1.0,6.0,145.0,1.0,6.0,44.7,1.0,6.0,75.1,1.0,6.0,282.8,1.0,5.0,421.3
3.0,2.0,10.0,3.0,1.0,186.3,2.0,1.0,184.8,2.0,1.0,293.7,2.0,1.0,906.6,2.0,1.0,461.0
3.0,4.0,8.0,3.0,4.0,456.2,2.0,4.0,319.3,2.0,3.0,476.2,2.0,3.0,1309.0,2.0,3.0,768.6
3.0,5.0,29.7,3.0,5.0,723.1,2.0,5.0,527.5,2.0,5.0,479.0,2.0,4.0,1252.0,2.0,4.0,1005.0
3.0,6.0,10.6,3.0,6.0,472.5,2.0,6.0,311.8,2.0,6.0,331.2,2.0,6.0,915.1,2.0,5.0,1088.0
4.0,2.0,19.9,4.0,1.0,368.9,4.0,1.0,89.8,3.0,1.0,162.1,3.0,1.0,796.1,3.0,1.0,247.3
4.0,3.0,14.5,4.0,3.0,586.3,4.0,2.0,269.4,3.0,2.0,455.0,3.0,2.0,1605.0,3.0,2.0,624.4
4.0,5.0,44.1,4.0,5.0,890.1,4.0,5.0,243.8,3.0,5.0,430.2,3.0,4.0,1143.0,3.0,4.0,387.0
4.0,6.0,17.7,4.0,6.0,700.4,4.0,6.0,113.9,3.0,6.0,203.3,3.0,6.0,1001.0,3.0,5.0,844.1
5.0,2.0,80.2,5.0,1.0,774.6,5.0,1.0,376.3,5.0,1.0,141.1,4.0,1.0,391.0,4.0,1.0,347.7
5.0,3.0,80.1,5.0,3.0,1083.0,5.0,2.0,708.5,5.0,2.0,282.5,4.0,2.0,687.6,4.0,2.0,775.9
5.0,4.0,103.5,5.0,4.0,1295.0,5.0,4.0,553.2,5.0,3.0,341.9,4.0,3.0,726.4,4.0,3.0,499.5
5.0,6.0,74.8,5.0,6.0,1035.0,5.0,6.0,391.6,5.0,6.0,112.6,4.0,6.0,324.6,4.0,5.0,644.2
6.0,2.0,37.1,6.0,1.0,492.0,6.0,1.0,124.0,6.0,1.0,103.0,6.0,1.0,511.0,5.0,1.0,810.6
6.0,3.0,26.1,6.0,3.0,797.4,6.0,2.0,320.2,6.0,2.0,231.7,6.0,2.0,911.7,5.0,2.0,1285.0
6.0,4.0,36.6,6.0,4.0,983.1,6.0,4.0,180.0,6.0,3.0,205.8,6.0,3.0,877.4,5.0,3.0,1217.0
6.0,5.0,82.0,6.0,5.0,1224.0,6.0,5.0,334.4,6.0,5.0,143.9,6.0,4.0,534.5,5.0,4.0,817.3
