1,山田 丈,山田 丈.1,2,山口 隆史,山口 隆史.1,3,田中 孝明,田中 孝明.1,4,下河 雅史,下河 雅史.1,5,檀 将太,檀 将太.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,8.5,1.0,3.0,33.2,1.0,2.0,57.8,1.0,2.0,47.9,1.0,2.0,101.2,1.0,2.0,967.1
2.0,4.0,7.6,1.0,4.0,32.4,1.0,4.0,58.7,1.0,3.0,68.6,1.0,3.0,127.9,1.0,3.0,1172.0
2.0,5.0,15.9,1.0,5.0,50.0,1.0,5.0,82.2,1.0,5.0,61.4,1.0,4.0,122.9,1.0,4.0,1450.0
2.0,6.0,147.1,1.0,6.0,275.6,1.0,6.0,473.1,1.0,6.0,279.8,1.0,6.0,282.6,1.0,5.0,1489.0
3.0,2.0,12.6,3.0,1.0,71.7,2.0,1.0,78.4,2.0,1.0,77.9,2.0,1.0,206.8,2.0,1.0,1621.0
3.0,4.0,14.2,3.0,4.0,84.0,2.0,4.0,83.5,2.0,3.0,105.0,2.0,3.0,289.3,2.0,3.0,2450.0
3.0,5.0,22.4,3.0,5.0,112.1,2.0,5.0,113.7,2.0,5.0,109.4,2.0,4.0,298.7,2.0,4.0,2041.0
3.0,6.0,210.0,3.0,6.0,510.4,2.0,6.0,485.6,2.0,6.0,455.5,2.0,6.0,571.2,2.0,5.0,1361.0
4.0,2.0,11.6,4.0,1.0,71.1,4.0,1.0,92.6,3.0,1.0,115.5,3.0,1.0,281.9,3.0,1.0,1837.0
4.0,3.0,17.3,4.0,3.0,100.3,4.0,2.0,111.9,3.0,2.0,126.7,3.0,2.0,380.1,3.0,2.0,3062.0
4.0,5.0,24.4,4.0,5.0,160.2,4.0,5.0,165.7,3.0,5.0,162.8,3.0,4.0,508.0,3.0,4.0,1696.0
4.0,6.0,115.3,4.0,6.0,510.4,4.0,6.0,457.4,3.0,6.0,479.3,3.0,6.0,1002.0,3.0,5.0,2396.0
5.0,2.0,31.7,5.0,1.0,153.7,5.0,1.0,184.0,5.0,1.0,98.9,4.0,1.0,220.9,4.0,1.0,1645.0
5.0,3.0,38.0,5.0,3.0,220.0,5.0,2.0,233.0,5.0,2.0,142.6,4.0,2.0,318.6,4.0,2.0,1934.0
5.0,4.0,43.4,5.0,4.0,231.1,5.0,4.0,278.4,5.0,3.0,237.6,4.0,3.0,496.6,4.0,3.0,1722.0
5.0,6.0,163.5,5.0,6.0,640.9,5.0,6.0,816.6,5.0,6.0,354.5,4.0,6.0,706.7,4.0,5.0,1645.0
6.0,2.0,371.2,6.0,1.0,911.1,6.0,1.0,958.7,6.0,1.0,781.9,6.0,1.0,765.6,5.0,1.0,1934.0
6.0,3.0,420.8,6.0,3.0,1670.0,6.0,2.0,1091.0,6.0,2.0,911.1,6.0,2.0,816.6,5.0,2.0,1225.0
6.0,4.0,348.8,6.0,4.0,1344.0,6.0,4.0,765.6,6.0,3.0,896.3,6.0,3.0,967.1,5.0,3.0,2345.0
6.0,5.0,283.4,6.0,5.0,967.1,6.0,5.0,1645.0,6.0,5.0,422.4,6.0,4.0,1030.0,5.0,4.0,2004.0
